file,size,path
activity_table.csv,138.53 KB,Cleaned_EDA_Outputs\activity_table.csv
activity_type_summary.csv,56.00 B,Cleaned_EDA_Outputs\activity_type_summary.csv
cleaned_data_dictionary.csv,39.76 KB,Cleaned_EDA_Outputs\cleaned_data_dictionary.csv
cleaning_summary.csv,210.00 B,Cleaned_EDA_Outputs\cleaning_summary.csv
column_family_summary_after_cleaning.csv,432.00 B,Cleaned_EDA_Outputs\column_family_summary_after_cleaning.csv
column_family_summary_before_cleaning.csv,734.00 B,Cleaned_EDA_Outputs\column_family_summary_before_cleaning.csv
detected_key_columns.csv,606.00 B,Cleaned_EDA_Outputs\detected_key_columns.csv
distance_between_samples_summary.csv,213.00 B,Cleaned_EDA_Outputs\distance_between_samples_summary.csv
drive_clean_base.parquet,18.66 MB,Cleaned_EDA_Outputs\drive_clean_base.parquet
drive_clean_base_sample_5000.csv,6.92 MB,Cleaned_EDA_Outputs\drive_clean_base_sample_5000.csv
drive_nearest_planning_sample.csv,4.77 MB,Cleaned_EDA_Outputs\drive_nearest_planning_sample.csv
drive_route_lte_rsrp_map.html,10.73 MB,Cleaned_EDA_Outputs\drive_route_lte_rsrp_map.html
event_summary_Events_category.csv,82.00 B,Cleaned_EDA_Outputs\event_summary_Events_category.csv
event_summary_Events_subject.csv,269.00 B,Cleaned_EDA_Outputs\event_summary_Events_subject.csv
event_summary_Events_Tech.csv,61.00 B,Cleaned_EDA_Outputs\event_summary_Events_Tech.csv
event_summary_Events_titles.csv,2.79 KB,Cleaned_EDA_Outputs\event_summary_Events_titles.csv
event_timeline_hourly.csv,921.00 B,Cleaned_EDA_Outputs\event_timeline_hourly.csv
events_long.csv,36.49 MB,Cleaned_EDA_Outputs\events_long.csv
kept_columns_after_cleaning.csv,39.76 KB,Cleaned_EDA_Outputs\kept_columns_after_cleaning.csv
lte_summary_by_pci.csv,26.49 KB,Cleaned_EDA_Outputs\lte_summary_by_pci.csv
missing_threshold_impact.csv,266.00 B,Cleaned_EDA_Outputs\missing_threshold_impact.csv
nearest_planning_distance_summary.csv,262.00 B,Cleaned_EDA_Outputs\nearest_planning_distance_summary.csv
output_index.csv,2.97 KB,Cleaned_EDA_Outputs\output_index.csv
parsed_id_examples.csv,80.99 KB,Cleaned_EDA_Outputs\parsed_id_examples.csv
planning_data_dictionary.csv,2.23 KB,Cleaned_EDA_Outputs\planning_data_dictionary.csv
planning_mod4_check.csv,231.89 KB,Cleaned_EDA_Outputs\planning_mod4_check.csv
planning_stats_sheet.csv,600.00 B,Cleaned_EDA_Outputs\planning_stats_sheet.csv
protected_columns_report.csv,8.64 KB,Cleaned_EDA_Outputs\protected_columns_report.csv
raw_data_dictionary.csv,197.96 KB,Cleaned_EDA_Outputs\raw_data_dictionary.csv
raw_headers.csv,64.54 KB,Cleaned_EDA_Outputs\raw_headers.csv
removed_columns_reason_summary.csv,105.00 B,Cleaned_EDA_Outputs\removed_columns_reason_summary.csv
removed_columns_report.csv,182.17 KB,Cleaned_EDA_Outputs\removed_columns_report.csv
sample_gap_summary.csv,154.00 B,Cleaned_EDA_Outputs\sample_gap_summary.csv
session_summary.csv,182.13 KB,Cleaned_EDA_Outputs\session_summary.csv
technology_availability_summary.csv,258.00 B,Cleaned_EDA_Outputs\technology_availability_summary.csv
wcdma_summary_by_psc.csv,11.97 KB,Cleaned_EDA_Outputs\wcdma_summary_by_psc.csv
