site_sector_ID,siteID,sectors_count,sectorID,Requires_Planning,Azimuth,Latitude,Longitude,Freq Band,Cell Radius,RSI,PCI,Mod4,Unnamed: 15,PCI_numeric,Mod4_numeric,Expected_Mod4,Mod4_Matches
ALX2014-1,ALX2014,4,91,False,0,30.857845,28.883688,N41,7000,410.0,439.0,3.0,,439.0,3.0,3.0,True
ALX2014-2,ALX2014,4,92,False,60,30.857845,28.883688,N41,7000,310.0,294.0,2.0,,294.0,2.0,2.0,True
ALX2014-3,ALX2014,4,93,False,135,30.857845,28.883688,N41,7000,465.0,484.0,0.0,,484.0,0.0,0.0,True
ALX2014-4,ALX2014,4,94,False,320,30.857845,28.883688,N41,7000,480.0,577.0,1.0,,577.0,1.0,1.0,True
ALX3005-1,ALX3005,3,91,False,60,31.2083,29.963,N41,7000,175.0,367.0,3.0,,367.0,3.0,3.0,True
ALX3005-2,ALX3005,3,92,False,205,31.2083,29.963,N41,7000,170.0,982.0,2.0,,982.0,2.0,2.0,True
ALX3005-3,ALX3005,3,93,False,300,31.2083,29.963,N41,7000,165.0,560.0,0.0,,560.0,0.0,0.0,True
ALX3011-1,ALX3011,3,91,False,30,31.26,29.9859,N41,7000,155.0,153.0,1.0,,153.0,1.0,1.0,True
ALX3011-2,ALX3011,3,92,False,125,31.26,29.9859,N41,7000,115.0,167.0,3.0,,167.0,3.0,3.0,True
ALX3011-3,ALX3011,3,93,False,250,31.26,29.9859,N41,7000,110.0,880.0,0.0,,880.0,0.0,0.0,True
ALX3015-1,ALX3015,3,91,False,20,31.2061,29.965,N41,7000,190.0,548.0,0.0,,548.0,0.0,0.0,True
ALX3015-2,ALX3015,3,92,False,120,31.2061,29.965,N41,7000,185.0,482.0,2.0,,482.0,2.0,2.0,True
ALX3015-3,ALX3015,3,93,False,220,31.2061,29.965,N41,7000,180.0,459.0,3.0,,459.0,3.0,3.0,True
ALX3020-1,ALX3020,3,91,False,0,31.2134,29.928,N41,7000,255.0,216.0,0.0,,216.0,0.0,0.0,True
ALX3020-2,ALX3020,3,92,False,140,31.2134,29.928,N41,7000,250.0,217.0,1.0,,217.0,1.0,1.0,True
ALX3020-3,ALX3020,3,93,False,250,31.2134,29.928,N41,7000,245.0,218.0,2.0,,218.0,2.0,2.0,True
ALX3022-1,ALX3022,4,91,False,0,30.85146,28.89478,N41,7000,530.0,843.0,3.0,,843.0,3.0,3.0,True
ALX3022-2,ALX3022,4,92,False,65,30.85146,28.89478,N41,7000,525.0,844.0,0.0,,844.0,0.0,0.0,True
ALX3022-3,ALX3022,4,93,False,140,30.85146,28.89478,N41,7000,520.0,845.0,1.0,,845.0,1.0,1.0,True
