id,rows,time_start,time_end,valid_location_rows,lte_rows,wcdma_rows,nr5g_rows,event_rows,route_label,location_label,test_type,mean_lte_rsrp,p10_lte_rsrp,mean_lte_sinr,p10_lte_sinr,mean_lte_dl_throughput,mean_wcdma_rscp,mean_wcdma_ecno,duration_seconds,lte_pct,wcdma_pct,nr5g_pct,event_pct,min_lat,max_lat,min_lon,max_lon
542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,126,2025-08-25 02:13:29+02:00,2025-08-25 02:15:34+02:00,126,22,108,0,44,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-98.52533972727274,-109.1162865,9.059859018181818,2.7715480400000003,0.037284,-86.51650518518518,-11.904291097222222,125.0,17.46,85.71,0.0,34.92,-17.8159937,-17.815987,177.3955963,177.3955979
542020041221088+20250825122130+Fiji-Nadi-MO-D!20250825121929,130,2025-08-25 02:17:20+02:00,2025-08-25 02:19:29+02:00,130,24,110,0,73,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-108.94030691666667,-110.6194205,5.532001433333334,2.29409801,0.030333999908333336,-84.97994942201835,-13.346840651376146,129.0,18.46,84.62,0.0,56.15,-17.8159948,-17.809161,177.3955963,177.4028049
542020041221088+20250825122951+Fiji-Nadi-MO-D!20250825122134,122,2025-08-25 02:19:33+02:00,2025-08-25 02:21:34+02:00,122,15,111,0,54,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-96.93704993333333,-105.582146,8.703627544,4.2210931800000004,0.052376,-80.04518046363636,-9.88055604,121.0,12.3,90.98,0.0,44.26,-17.8111866,-17.8076322,177.4034012,177.4140589
542020041221088+20250825123812+Fiji-Nadi-MO-D!20250825122338,120,2025-08-25 02:21:39+02:00,2025-08-25 02:23:38+02:00,120,16,109,0,33,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-83.33344968749999,-86.870215,16.88950509375,9.57557575,0.0565568,-67.84473971559633,-8.586397166055047,119.0,13.33,90.83,0.0,27.5,-17.80730984,-17.8066936,177.41432712,177.4240047
542020041221088+20250825124252+Fiji-Nadi-MO-D!20250825122542,121,2025-08-25 02:23:42+02:00,2025-08-25 02:25:42+02:00,121,15,110,0,49,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-85.67037273333334,-91.402164,12.551903350666667,11.876174599999999,0.05475519933333333,-67.34283693636364,-8.279108075454545,120.0,12.4,90.91,0.0,40.5,-17.8071223,-17.8061828,177.4244942,177.4270786
542020041221088+20250825124333+Fiji-Nadi-MO-D!20250825122745,119,2025-08-25 02:25:47+02:00,2025-08-25 02:27:45+02:00,119,15,110,0,45,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-97.63932686666666,-110.9532976,9.221846493333334,4.74271316,0.058086399999999996,-73.67966066972477,-10.622331773394496,118.0,12.61,92.44,0.0,37.82,-17.8099814,-17.8056729,177.4270786,177.4331342
542020041221088+20250825124413+Fiji-Nadi-MO-D!20250825122953,124,2025-08-25 02:27:50+02:00,2025-08-25 02:29:53+02:00,124,15,115,0,77,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-96.85310273333333,-105.01350000000001,6.987318978,1.0663053420000006,0.03893973333333334,-86.56115124561403,-12.254338937719298,123.0,12.1,92.74,0.0,62.1,-17.815219,-17.8104142,177.4333752,177.4410938
542020041221088+20250825124814+Fiji-Nadi-MO-D!20250825123159,123,2025-08-25 02:29:57+02:00,2025-08-25 02:31:59+02:00,123,17,109,0,63,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-95.05750741176472,-100.5356984,6.425472394117647,4.70631278,0.07655623470588235,-85.7907164537037,-9.886957146296297,122.0,13.82,88.62,0.0,51.22,-17.8152448,-17.80746632,177.43170743,177.43985137
542020041221088+20250825125635+Fiji-Nadi-MO-D!20250825123404,122,2025-08-25 02:32:04+02:00,2025-08-25 02:34:05+02:00,122,15,111,0,40,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-83.9924622,-94.784206,10.3863289,5.3650649800000005,0.05655257142857143,-65.4692735,-10.444724518181818,121.0,12.3,90.98,0.0,32.79,-17.8069327,-17.8057218,177.42779287,177.4313921
542020041221088+20250825133001+Fiji-Nadi-MO-D!20250825123609,121,2025-08-25 02:34:10+02:00,2025-08-25 02:36:10+02:00,121,17,108,0,54,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-93.25593629411765,-97.652181,8.12935414117647,2.61566492,0.0562645,-78.51053646728973,-10.534022630841122,120.0,14.05,89.26,0.0,44.63,-17.8057983,-17.7961669,177.4273684,177.4352626
542020041221088+20250825133141+Fiji-Nadi-MO-D!20250825123814,121,2025-08-25 02:36:14+02:00,2025-08-25 02:38:14+02:00,121,17,17,0,38,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-101.26274947058823,-109.40659600000001,4.351959420588235,-0.51619035,0.04380517635294118,-96.3263355625,-17.048393,120.0,14.05,14.05,0.0,31.4,-17.7960608,-17.7852428,177.4356887,177.4450412
542020041221088+20250825134203+Fiji-Nadi-MO-D!20250825124019,123,2025-08-25 02:38:18+02:00,2025-08-25 02:40:20+02:00,123,16,110,0,33,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-101.8802811875,-106.546405,6.475972975,1.71757655,0.07225813306666667,-69.94644006363636,-7.163314292727273,122.0,13.01,89.43,0.0,26.83,-17.7850002,-17.7762902,177.4453993,177.4550865
542020041221088+20250825134223+Fiji-Nadi-MO-D!20250825124219,117,2025-08-25 02:40:24+02:00,2025-08-25 02:42:20+02:00,117,16,105,0,81,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-93.29159493750001,-95.1507425,10.5729625375,5.4603097,0.05416426666666666,-73.09314787619047,-10.876964861904762,116.0,13.68,89.74,0.0,69.23,-17.7757674,-17.7630846,177.4545236,177.4570763
542020041221088+20250825134304+Fiji-Nadi-MO-D!20250825124418,115,2025-08-25 02:42:24+02:00,2025-08-25 02:44:18+02:00,115,17,101,0,44,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,-90.64496794117647,-106.9421676,14.353250229411765,4.17064704,0.06342305882352942,-74.27354712,-6.417113872,114.0,14.78,87.83,0.0,38.26,-17.7634994,-17.7619026,177.4572564,177.4609288
