Location - Latitude,Location - Longitude,plan_distance_km,LTE - NeighborCells(0) - PCI,plan_site_sector_ID,plan_siteID,plan_sectorID,plan_Azimuth,plan_PCI,plan_RSI,plan_Mod4,plan_Cell Radius
-17.8015513,177.4148115,16057.873477541301,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.62279167,177.43525623,16051.605309133733,169.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8089791,177.4035535,16057.128500068788,149.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.62293134,177.43499598,16051.586698591085,169.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7666931,177.4546096,16060.109926289022,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8031526,177.4147985,16057.945695750175,146.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8128906,177.4432635,16061.137521096141,151.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.77354577,177.37455317,16052.705517176373,157.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.77297516,177.42357366,16057.406240157334,129.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.79610678,177.41704659,16057.83916512182,363.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7627512,177.4575202,16060.209278377564,124.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.76183748,177.46545686,16060.932437896621,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7825266,177.3865496,16054.274795375715,157.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.64942419,177.40842085,16050.251340223585,160.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6251981,177.4317688,16051.380670071323,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.81289051,177.44326139,16061.137313486399,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6059575,177.4543511,16052.665376145607,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6298444,177.4584755,16054.169073958103,275.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7733333,177.3787029,16053.095925120315,154.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6158115,177.4402704,16051.765234980016,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6068818,177.4558271,16052.850412016798,139.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8029787,177.416477,16058.099587396517,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.76490347,177.44726619,16059.31962430937,349.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6052529,177.4516253,16052.37010950469,139.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.77769173,177.47865356,16062.933756548357,82.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7536611,177.45446457,16059.49654063234,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8024329,177.4134953,16057.786997302188,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60458221,177.4779901,16054.879050903717,351.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60854543,177.45590293,16052.934805980496,185.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7623318,177.4712003,16061.508899814946,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7593023,177.4588584,16060.179666121085,118.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.65473792,177.43953053,16053.495010967408,488.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6071333,177.4605867,16053.320624372143,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6255666,177.4655234,16054.650112803058,178.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7792359,177.4115196,16056.531556881271,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6338333,177.4597097,16054.472620065944,272.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.62657614,177.45335514,16053.524416155824,167.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.74677517,177.44212042,16057.989606553994,120.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6105254,177.4587138,16053.297359171329,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8148607,177.4386738,16060.785266385783,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7968683,177.4072037,16056.924912120248,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8114167,177.4416341,16060.912776041143,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6281496,177.4806432,16056.226499424063,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6077736,177.4570852,16053.012947360452,183.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6192646,177.4510971,16052.968312929475,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.77808952,177.42473147,16057.752870505277,131.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8050959,177.4149676,16058.051159517918,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.806275,177.43098696,16059.650119080254,393.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60461725,177.45315026,16052.487572947954,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7536292,177.4528801,16059.342315657295,116.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.807015,177.4180679,16058.438187146416,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6269125,177.4801548,16056.122160293116,351.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7467757,177.4420819,16057.985917297863,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6607764,177.4052253,16050.467950861219,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7815458,177.489855,16064.190886936985,333.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.678146,177.3983799,16050.610222677584,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.81508607,177.39648161,16056.726488848173,351.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8069115,177.4265458,16059.251030637337,148.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7680093,177.4745055,16062.088672080534,111.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8159946,177.3955963,16056.682755260044,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7634628,177.482411,16062.641733370894,108.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6290708,177.4519076,16053.500419769973,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6814689,177.3875303,16049.717793411273,318.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.81160131,177.39985085,16056.891656898635,149.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7767537,177.4330257,16058.491259574508,131.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.61004871,177.45227026,16052.654465677491,182.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6525137,177.4071713,16050.27371246785,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.81322,177.434973,16060.353115348036,332.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.62682031,177.46484879,16054.643160382366,273.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6087125,177.4577946,16053.124799787958,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.64995938,177.4455548,16053.854631845694,163.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7759205,177.408341,16056.072754896759,133.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7874421,177.4164702,16057.385810400297,133.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7692405,177.4404038,16058.857368009085,125.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6032795,177.453773,16052.485572210575,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60692446,177.44124224,16051.447201465211,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7701767,177.4380623,16058.674637458482,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.65093164,177.4448784,16053.834404551077,355.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.64478937,177.41140229,16050.32440146868,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6103152,177.4515419,16052.59663729772,139.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6722417,177.4090455,16051.365657281216,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8128905,177.4432647,16061.137632232996,151.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8067936,177.4186471,16058.483887947967,149.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60464106,177.44945365,16052.132529922254,139.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.61411171,177.46504834,16054.073815746178,253.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60214042,177.45852667,16052.890756767014,184.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6044182,177.4519792,16052.365524037157,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.648668,177.4087382,16050.246969758462,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.603836,177.4514464,16052.287210894761,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.64897253,177.44542838,16053.796818162931,0.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60709383,177.46069402,16053.329134870382,375.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8041191,177.4149594,16058.0055554378,149.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6197791,177.45321646,16053.196340443988,231.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6317436,177.4303456,16051.54645765692,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.63130467,177.4386651,16052.32780687819,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7620261,177.4577505,16060.198133957934,124.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7640961,177.4634262,16060.840539845947,48.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6165712,177.4423823,16052.003902073682,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6909033,177.4190173,16053.188089038986,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.77708008,177.43236518,16058.44256656599,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6868424,177.4162406,16052.73308468255,488.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6784341,177.4072933,16051.482645695987,488.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6037157,177.4527026,16052.402662407854,183.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.77252879,177.42408237,16057.434779381054,338.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6461912,177.4371721,16052.872588516955,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6939807,177.4231902,16053.732276203778,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7807496,177.4298803,16058.371550489426,394.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.779869,177.4304916,16058.39004133608,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7623758,177.4584936,16060.285860984864,348.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8049169,177.4149466,16058.040922371583,149.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8070401,177.4181157,16058.443948346838,148.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6278589,177.4328028,16051.603458216774,354.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.78091765,177.4330873,16058.688505438973,394.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60566359,177.45272691,16052.495274982337,184.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7873873,177.4423534,16059.879165353965,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.61796463,177.46544642,16054.290647585436,231.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6032361,177.4538679,16052.492703725238,183.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.61402116,177.44996262,16052.61615650755,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6068141,177.4606374,16053.310716903456,353.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8070145,177.4180696,16058.438328155578,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.800442,177.4525087,16061.457833253047,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.5954017,177.5062653,16057.177208694906,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6164117,177.4649617,16054.172014171469,179.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7625718,177.4727654,16061.670829580293,112.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60624224,177.45743318,16052.975510648606,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.65511989,177.43828782,16053.39290885827,166.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7453087,177.4425499,16057.963523124736,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7644374,177.464267,16060.937299102772,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.64163021,177.45059165,16053.954784696474,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6190285,177.4652294,16054.31901393506,250.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6033732,177.4529805,16052.413562939728,139.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7684884,177.4760101,16062.255764293037,171.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6044396,177.4521768,16052.385553316968,185.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.79180858,177.41228952,16057.183128997893,362.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.69988249,177.42934489,16054.597740653293,488.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.777177,177.4321775,16058.428923023925,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7720687,177.3697493,16052.174424596718,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.62749064,177.48040571,16056.173105584854,374.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.79917589,177.43295356,16059.513994420315,310.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6185983,177.4740205,16055.146082100033,178.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.8061935,177.4270475,16059.266472407267,148.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.65152098,177.40755588,16050.264895456727,437.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6308957,177.4441288,16052.835349916402,166.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.60985057,177.44028073,16051.49012619784,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7665599,177.4477282,16059.440330488287,123.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6209569,177.459541,16053.860253276132,255.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7738097,177.4374857,16058.786017496583,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.6219481,177.4779857,16055.68327065584,353.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.765604,177.466286,16061.185604757755,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.76906107,177.44018496,16058.828019724351,125.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.62990689,177.454568,16053.795462284384,275.0,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
-17.7392619,177.4589342,16059.264692298822,,SIN6252-3,SIN6252,93,270,642.0,395.0,2.0,7000
