id,timestamp,id_route_test_label,id_test_type,Activity.Activity,Activity.Duration,Activity.End TimeStamp,Activity.Power,Activity.Quality,Activity.SINR,Activity.Start TimeStamp,Activity.Status,Activity.Tech,Activity.Throughput,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:15:24+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103147.0,2025-08-25T02:15:24.901000+02:00,-86.77,-11.72,6.58,2025-08-25T02:13:41.754000+02:00,Success,HSPA+,88.0,2025-08-25 02:13:41.754000+02:00,2025-08-25 02:15:24.901000+02:00
542020041221088+20250825122130+Fiji-Nadi-MO-D!20250825121929,2025-08-25 02:19:18+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105144.0,2025-08-25T02:19:18.333000+02:00,-85.33,-13.44,5.56,2025-08-25T02:17:33.189000+02:00,Success,HSPA+,32.0,2025-08-25 02:17:33.189000+02:00,2025-08-25 02:19:18.333000+02:00
542020041221088+20250825122951+Fiji-Nadi-MO-D!20250825122134,2025-08-25 02:21:23+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105168.0,2025-08-25T02:21:23.646000+02:00,-79.26,-8.98,8.37,2025-08-25T02:19:38.479000+02:00,Success,HSPA+,56.0,2025-08-25 02:19:38.479000+02:00,2025-08-25 02:21:23.646000+02:00
542020041221088+20250825123812+Fiji-Nadi-MO-D!20250825122338,2025-08-25 02:23:26+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103140.0,2025-08-25T02:23:26.999000+02:00,-67.06,-8.16,12.42,2025-08-25T02:21:43.859000+02:00,Success,HSPA+,64.0,2025-08-25 02:21:43.859000+02:00,2025-08-25 02:23:26.999000+02:00
542020041221088+20250825124252+Fiji-Nadi-MO-D!20250825122542,2025-08-25 02:25:31+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104140.0,2025-08-25T02:25:31.151000+02:00,-67.01,-8.02,6.51,2025-08-25T02:23:47.011000+02:00,Success,HSPA+,64.0,2025-08-25 02:23:47.011000+02:00,2025-08-25 02:25:31.151000+02:00
542020041221088+20250825124333+Fiji-Nadi-MO-D!20250825122745,2025-08-25 02:27:34+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103172.0,2025-08-25T02:27:34.200000+02:00,-73.32,-10.72,14.35,2025-08-25T02:25:51.028000+02:00,Success,HSPA,72.0,2025-08-25 02:25:51.028000+02:00,2025-08-25 02:27:34.200000+02:00
542020041221088+20250825124413+Fiji-Nadi-MO-D!20250825122953,2025-08-25 02:29:42+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,108153.0,2025-08-25T02:29:42.429000+02:00,-87.71,-12.43,10.6,2025-08-25T02:27:54.277000+02:00,Success,HSPA,64.0,2025-08-25 02:27:54.277000+02:00,2025-08-25 02:29:42.429000+02:00
542020041221088+20250825124814+Fiji-Nadi-MO-D!20250825123159,2025-08-25 02:31:48+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105132.0,2025-08-25T02:31:48.137000+02:00,-86.15,-9.91,8.54,2025-08-25T02:30:03.005000+02:00,Success,HSPA,64.0,2025-08-25 02:30:03.005000+02:00,2025-08-25 02:31:48.137000+02:00
542020041221088+20250825125635+Fiji-Nadi-MO-D!20250825123404,2025-08-25 02:33:53+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105146.0,2025-08-25T02:33:53.748000+02:00,-65.28,-10.43,13.59,2025-08-25T02:32:08.602000+02:00,Success,HSPA,88.0,2025-08-25 02:32:08.602000+02:00,2025-08-25 02:33:53.748000+02:00
542020041221088+20250825133001+Fiji-Nadi-MO-D!20250825123609,2025-08-25 02:35:58+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103148.0,2025-08-25T02:35:58.764000+02:00,-78.19,-10.37,12.37,2025-08-25T02:34:15.616000+02:00,Success,HSPA,80.0,2025-08-25 02:34:15.616000+02:00,2025-08-25 02:35:58.764000+02:00
