family,columns,avg_missing_pct,min_missing_pct,max_missing_pct,zero_missing_columns,fully_missing_columns,above_70pct_missing
LTE,440,83.654,41.725,100.0,0,29,317
NR5G,302,100.0,100.0,100.0,0,302,302
GSM,271,98.468,95.335,100.0,0,119,271
WCDMA,230,88.117,59.969,100.0,0,16,176
Activity,35,99.452,99.284,100.0,0,4,35
SpeedTest,21,100.0,100.0,100.0,0,21,21
Extra_KPIs,20,95.964,65.13,100.0,0,8,18
PCAP,10,0.0,0.0,0.0,10,0,0
YouTube,9,100.0,100.0,100.0,0,9,9
Events,6,60.505,56.826,69.816,0,0,0
Browsing,5,100.0,100.0,100.0,0,5,5
Throughput,5,92.182,80.599,100.0,0,2,5
Location,5,0.0,0.0,0.0,5,0,0
Voice_Quality,3,100.0,100.0,100.0,0,3,3
id,1,0.0,0.0,0.0,1,0,0
imsi,1,0.0,0.0,0.0,1,0,0
timestamp,1,0.0,0.0,0.0,1,0,0
