id,timestamp,Location - Latitude,Location - Longitude,LTE - Serving - PCI,LTE - PrimaryCell Radio - RSRP,LTE - PrimaryCell Radio - PCell_SINR,nearest_plan_distance_km,azimuth_error_deg,inside_planned_radius,plan_site_sector_ID,plan_siteID,plan_sectorID,plan_Requires_Planning,plan_Azimuth,plan_Latitude,plan_Longitude,plan_Freq Band,plan_Cell Radius,plan_RSI,plan_PCI,plan_Mod4
542020041221088+20250825155527+Fiji-Nadi-MO-D!20250825142302,2025-08-25 04:22:39+02:00,-17.801255,177.4156382,,,,16057.93960621709,170.72675648525126,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250828143859+Fiji-Nadi-LTE-DL-D!20250828143815,2025-08-28 04:38:12+02:00,-17.62642496,177.43305938,346.0,-88.81869,8.586021,16051.561813603234,170.4417318771927,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250825122951+Fiji-Nadi-MO-D!20250825122134,2025-08-25 02:19:50+02:00,-17.8094195,177.4059224,,,,16057.377160030863,170.74609314034876,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250828124303+Fiji-Nadi-LTE-DL-D!20250828124223,2025-08-28 02:41:03+02:00,-17.61961854,177.43929149,406.0,-91.844734,10.205554,16051.84721065589,170.42686882694994,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250825134223+Fiji-Nadi-MO-D!20250825124219,2025-08-25 02:42:02+02:00,-17.7636267,177.456436,,,,16060.145011202283,170.64027374209684,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827133446+Fiji-Nadi-LTE-DL-D!20250827125432,2025-08-27 02:53:56+02:00,-17.803482,177.414822,144.0,-84.172554,23.781607,16057.963075070342,170.73079333796386,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250829102513+Nawaka-LTE-DL!20250829102435,2025-08-29 00:24:25+02:00,-17.8128906,177.4432636,469.0,-105.053215,4.5364575,16061.137530739801,170.72632168692013,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827123738+Fiji-Nadi-LTE-DL-D!20250827115101,2025-08-27 01:49:20+02:00,-17.77354577,177.37455317,158.0,-88.65589,23.525303,16052.705517176373,170.71115235554527,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,2025-08-27 01:30:23+02:00,-17.77333944,177.42323338,394.0,-96.40767,13.821688,16057.390168674043,170.6779394819241,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827133827+Fiji-Nadi-LTE-DL-D!20250827130111,2025-08-27 02:59:36+02:00,-17.7958483,177.4179007,362.0,-94.66465,10.370454,16057.909666746413,170.71676624184136,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827105947+Fiji-Nadi-LTE-DL-D!20250827104944,2025-08-27 00:49:05+02:00,-17.76255041,177.45780963,212.0,-97.08645,15.66915,16060.227948537991,170.6376588895244,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250825162849+Fiji-Nadi-MO-D!20250825154102,2025-08-25 05:40:30+02:00,-17.7642289,177.463925,,,,16060.894737467846,170.63614494279807,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827131523+Fiji-Nadi-LTE-DL-D!20250827120845,2025-08-27 02:08:37+02:00,-17.7891704,177.3942886,138.0,-119.877205,1.2444445,16055.326116531714,170.72226071563728,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250828104127+Fiji-Nadi-LTE-DL-D!20250828104043,2025-08-28 00:38:53+02:00,-17.6603383,177.4051564,455.0,-95.68686,-0.92470586,16050.441071666715,170.5136214509708,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250826120804+Fiji-Nadi-MO-D!20250826111835,2025-08-26 01:18:29+02:00,-17.6222334,177.433281,347.0,-90.04744,15.174683,16051.389140376483,170.43504142020294,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250829102033+Nawaka-MO!20250829101815,2025-08-29 00:16:40+02:00,-17.8128903,177.4432634,,,,16061.137497691123,170.72632135206277,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250826150709+Fiji-Nadi-MO-D!20250826140223,2025-08-26 04:01:22+02:00,-17.6056739,177.4526875,,,,16052.491955825782,170.3959841969604,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250828130504+Fiji-Nadi-LTE-DL-D!20250828130441,2025-08-28 03:02:59+02:00,-17.6300627,177.4582015,167.0,-96.691284,13.080459,16054.152777791427,170.43028864628258,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827130936+Fiji-Nadi-LTE-DL-D!20250827120414,2025-08-27 02:02:47+02:00,-17.7733333,177.3787029,155.0,-90.77352,13.355419,16053.095925120315,170.70801841300363,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250826152508+Fiji-Nadi-MO-D!20250826144619,2025-08-26 04:45:24+02:00,-17.6177004,177.4434393,,,,16052.158039142418,170.42105079425664,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250828140057+Fiji-Nadi-LTE-DL-D!20250828135741,2025-08-28 03:57:04+02:00,-17.60697214,177.45584577,182.0,-108.68687,5.076404,16052.856397034504,170.39585649832134,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250825155447+Fiji-Nadi-MO-D!20250825141851,2025-08-25 04:18:12+02:00,-17.8028231,177.4165377,,,,16058.09830187875,170.72860371029412,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827141110+Fiji-Nadi-LTE-DL-D!20250827140445,2025-08-27 04:02:43+02:00,-17.76493678,177.44729012,124.0,-72.25,27.377775,16059.323463147924,170.64851605909348,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250828121542+Fiji-Nadi-LTE-DL-D!20250828115456,2025-08-28 01:53:21+02:00,-17.6052168,177.4514303,139.0,-79.89562,18.002106,16052.34964946022,170.39612817004587,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250827111428+Fiji-Nadi-LTE-DL-D!20250827105835,2025-08-27 00:56:52+02:00,-17.7752078,177.4742766,113.0,-113.33964,3.5030773,16062.39757295435,170.64632613517654,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250825162849+Fiji-Nadi-MO-D!20250825155728,2025-08-25 05:56:01+02:00,-17.7610104,177.4587279,,,,16060.245651295823,170.6346264861997,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250825155527+Fiji-Nadi-MO-D!20250825142302,2025-08-25 04:21:35+02:00,-17.8026917,177.4143062,,,,16057.877072802845,170.72990451268777,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
542020041221088+20250828114252+Fiji-Nadi-LTE-DL-D!20250828111332,2025-08-28 01:13:27+02:00,-17.60243967,177.48453983,373.0,-91.81314,11.031524,16055.410713217943,170.36920875065488,False,SIN6252-3,SIN6252,93,False,270,28.506864,34.516744,N41,7000,395.0,642.0,2.0
