id,id_imsi,id_session_time,id_route_test_label,id_location_label,id_test_type,id_log_time
542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,542020041221088,2025-08-25 12:16:10,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:15:33
542020041221088+20250825122130+Fiji-Nadi-MO-D!20250825121929,542020041221088,2025-08-25 12:21:30,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:19:29
542020041221088+20250825122951+Fiji-Nadi-MO-D!20250825122134,542020041221088,2025-08-25 12:29:51,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:21:34
542020041221088+20250825123812+Fiji-Nadi-MO-D!20250825122338,542020041221088,2025-08-25 12:38:12,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:23:38
542020041221088+20250825124252+Fiji-Nadi-MO-D!20250825122542,542020041221088,2025-08-25 12:42:52,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:25:42
542020041221088+20250825124333+Fiji-Nadi-MO-D!20250825122745,542020041221088,2025-08-25 12:43:33,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:27:45
542020041221088+20250825124413+Fiji-Nadi-MO-D!20250825122953,542020041221088,2025-08-25 12:44:13,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:29:53
542020041221088+20250825124814+Fiji-Nadi-MO-D!20250825123159,542020041221088,2025-08-25 12:48:14,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:31:59
542020041221088+20250825125635+Fiji-Nadi-MO-D!20250825123404,542020041221088,2025-08-25 12:56:35,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:34:04
542020041221088+20250825133001+Fiji-Nadi-MO-D!20250825123609,542020041221088,2025-08-25 13:30:01,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:36:09
542020041221088+20250825133141+Fiji-Nadi-MO-D!20250825123814,542020041221088,2025-08-25 13:31:41,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:38:14
542020041221088+20250825134203+Fiji-Nadi-MO-D!20250825124019,542020041221088,2025-08-25 13:42:03,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:40:19
542020041221088+20250825134223+Fiji-Nadi-MO-D!20250825124219,542020041221088,2025-08-25 13:42:23,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:42:19
542020041221088+20250825134304+Fiji-Nadi-MO-D!20250825124418,542020041221088,2025-08-25 13:43:04,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:44:18
542020041221088+20250825134424+Fiji-Nadi-MO-D!20250825124615,542020041221088,2025-08-25 13:44:24,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:46:15
542020041221088+20250825134444+Fiji-Nadi-MO-D!20250825124818,542020041221088,2025-08-25 13:44:44,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:48:18
542020041221088+20250825134524+Fiji-Nadi-MO-D!20250825125023,542020041221088,2025-08-25 13:45:24,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:50:23
542020041221088+20250825134644+Fiji-Nadi-MO-D!20250825125226,542020041221088,2025-08-25 13:46:44,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:52:26
542020041221088+20250825134704+Fiji-Nadi-MO-D!20250825125431,542020041221088,2025-08-25 13:47:04,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:54:31
542020041221088+20250825134724+Fiji-Nadi-MO-D!20250825125635,542020041221088,2025-08-25 13:47:24,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:56:35
542020041221088+20250825134745+Fiji-Nadi-MO-D!20250825125840,542020041221088,2025-08-25 13:47:45,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 12:58:40
542020041221088+20250825141210+Fiji-Nadi-MO-D!20250825130045,542020041221088,2025-08-25 14:12:10,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:00:45
542020041221088+20250825141230+Fiji-Nadi-MO-D!20250825130248,542020041221088,2025-08-25 14:12:30,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:02:48
542020041221088+20250825142052+Fiji-Nadi-MO-D!20250825130450,542020041221088,2025-08-25 14:20:52,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:04:50
542020041221088+20250825143236+Fiji-Nadi-MO-D!20250825130652,542020041221088,2025-08-25 14:32:36,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:06:52
542020041221088+20250825143256+Fiji-Nadi-MO-D!20250825130855,542020041221088,2025-08-25 14:32:56,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:08:55
542020041221088+20250825143316+Fiji-Nadi-MO-D!20250825131106,542020041221088,2025-08-25 14:33:16,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:11:06
542020041221088+20250825143738+Fiji-Nadi-MO-D!20250825131311,542020041221088,2025-08-25 14:37:38,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:13:11
542020041221088+20250825144621+Fiji-Nadi-MO-D!20250825131517,542020041221088,2025-08-25 14:46:21,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:15:17
542020041221088+20250825145224+Fiji-Nadi-MO-D!20250825131722,542020041221088,2025-08-25 14:52:24,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:17:22
542020041221088+20250825145646+Fiji-Nadi-MO-D!20250825131926,542020041221088,2025-08-25 14:56:46,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:19:26
542020041221088+20250825145726+Fiji-Nadi-MO-D!20250825132131,542020041221088,2025-08-25 14:57:26,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:21:31
542020041221088+20250825145746+Fiji-Nadi-MO-D!20250825132336,542020041221088,2025-08-25 14:57:46,Fiji-Nadi-MO-D,Fiji-Nadi,MO-D,2025-08-25 13:23:36
