dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values
drive_raw,Activity.Activity,Activity,object,465,64484,99.284,2,0.43,"['MO Call', 'MO Call', 'MO Call', 'MO Call', 'MO Call']",,,,,"{'MO Call': 274, 'HTTP/HTTPS Download': 191}"
drive_raw,Activity.Duration,Activity,float64,465,64484,99.284,306,65.806,"['103147.0', '105144.0', '105168.0', '103140.0', '104140.0']",5068.0,180203.0,131165.53333333333,40634.85061283001,
drive_raw,Activity.End TimeStamp,Activity,object,465,64484,99.284,465,100.0,"['2025-08-25T02:15:24.901000+02:00', '2025-08-25T02:19:18.333000+02:00', '2025-08-25T02:21:23.646000+02:00', '2025-08-25T02:23:26.999000+02:00', '2025-08-25T02:25:31.151000+02:00']",,,,,"{'2025-08-25T02:15:24.901000+02:00': 1, '2025-08-27T01:55:19.258000+02:00': 1, '2025-08-27T02:48:27.627000+02:00': 1, '2025-08-27T02:45:26.500000+02:00': 1, '2025-08-27T02:42:25.360000+02:00': 1}"
drive_raw,Activity.Power,Activity,float64,465,64484,99.284,438,94.194,"['-86.77', '-85.33', '-79.26', '-67.06', '-67.01']",-117.36,-57.07,-84.11266666666667,12.47716881269384,
drive_raw,Activity.Quality,Activity,float64,465,64484,99.284,345,74.194,"['-11.72', '-13.44', '-8.98', '-8.16', '-8.02']",-14.54,0.09,-9.621956989247312,2.4940243752523736,
drive_raw,Activity.SINR,Activity,float64,465,64484,99.284,394,84.731,"['6.58', '5.56', '8.37', '12.42', '6.51']",-1.54,23.33,10.655376344086022,4.344359591098185,
drive_raw,Activity.Start TimeStamp,Activity,object,465,64484,99.284,461,99.14,"['2025-08-25T02:13:41.754000+02:00', '2025-08-25T02:17:33.189000+02:00', '2025-08-25T02:19:38.479000+02:00', '2025-08-25T02:21:43.859000+02:00', '2025-08-25T02:23:47.011000+02:00']",,,,,"{'2025-08-28T02:31:34.855000+02:00': 2, '2025-08-27T05:39:59.040000+02:00': 2, '2025-08-28T00:24:21.832000+02:00': 2, '2025-08-27T03:21:06.909000+02:00': 2, '2025-08-27T01:07:02.526000+02:00': 1}"
drive_raw,Activity.Status,Activity,object,465,64484,99.284,2,0.43,"['Success', 'Success', 'Success', 'Success', 'Success']",,,,,"{'Success': 253, 'Failed': 212}"
drive_raw,Activity.Tech,Activity,object,465,64484,99.284,8,1.72,"['HSPA+', 'HSPA+', 'HSPA+', 'HSPA+', 'HSPA+']",,,,,"{'HSPA+': 225, 'LTE CA2': 147, 'LTE CA1': 45, 'HSPA': 19, 'WCDMA': 16}"
drive_raw,Activity.Throughput,Activity,float64,465,64484,99.284,242,52.043,"['88.0', '32.0', '56.0', '64.0', '64.0']",0.0,166008.0,18744.275268817204,27015.37722891566,
drive_raw,Events.subject,Events,object,19604,45345,69.816,586,2.989,"['Fiji-Nadi-MO-D$$$$nan$$$$Start', 'End$$$$Start$$$$MT Available', 'nan$$$$nan$$$$nan$$$$nan$$$$nan', 'nan$$$$nan$$$$nan$$$$nan$$$$nan', 'nan$$$$nan$$$$nan$$$$nan$$$$nan']",,,,,"{'nan$$$$nan': 6013, 'nan$$$$nan$$$$nan': 3072, 'nan$$$$nan$$$$nan$$$$nan': 1631, 'Start': 1139, 'nan$$$$nan$$$$nan$$$$nan$$$$nan': 913}"
drive_raw,Events.description,Events,object,22142,42807,65.909,11055,49.928,"['{""name"":""Fiji-Nadi-MO-D"",""description"":""CSFB-90-10"",""steps"":[{""BM"":false,""id"":""0"",""Type"":""MO_Call"",""Number"":""+6797013801"",""MT_IMSI"":"""",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":0,""beginItemKey"":1},{""endItemKey"":2,""beginItemKey"":0},{""endItemKey"":0,""beginItemKey"":4}],""Duration"":90},{""id"":""1"",""Type"":""Lock_RAT"",""Lock RAT"":""AUTO"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":0,""beginItemKey"":1}]},{""id"":""2"",""Type"":""Wait"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":2,""beginItemKey"":0},{""endItemKey"":3,""beginItemKey"":2}],""Length"":10},{""id"":""3"",""Type"":""Save"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":3,""beginItemKey"":2},{""endItemKey"":4,""beginItemKey"":3}]},{""id"":""4"",""Type"":""Loop"",""Steps"":[0,2,3],""Repeat"":1000,""stepShape"":""ellipse"",""connectors"":[{""endItemKey"":4,""beginItemKey"":3},{""endItemKey"":0,""beginItemKey"":4}]}],""autoTime"":0,""repeat"":1000,""uploadServer"":""POLQA"",""indoor"":false,""indoorMaster"":false,""sync"":false,""PCAP"":false,""deepLayer"":false,""imsisIds"":[""79a8c7aa-0759-45d4-a985-587496c8f1ba"",""ba71750e-61c4-4773-8e9d-33a7ef73e4ca"",""c659f421-120c-42a3-91a2-84b93e85ac96""],""indoorMasterImsi"":null,""first step"":1,""PCAP Length"":0}$$$$1$$$$AUTO', 'AUTO$$$$+6797013801$$$$', '$$$$$$$$$$$$$$$$', '$$$$$$$$CSFB$$$$$$$$', '$$$$$$$$$$$$$$$$']",,,,,"{'$$$$': 4602, '$$$$$$$$': 1967, '$$$$$$$$$$$$': 1013, 'https://syd.download.datapacket.com/10000mb.bin': 606, '$$$$$$$$$$$$$$$$': 472}"
drive_raw,Events.Tech,Events,object,28041,36908,56.826,88,0.314,"['LTE$$$$LTE$$$$LTE', 'LTE$$$$LTE$$$$LTE', 'LTE', 'LTE', 'WCDMA']",,,,,"{'LTE': 6133, 'WCDMA': 3734, 'LTE$$$$LTE': 3610, 'WCDMA$$$$WCDMA': 3164, 'LTE$$$$LTE$$$$LTE': 1890}"
drive_raw,Events.Timestamp,Events,object,28041,36908,56.826,28041,100.0,"['2025-08-25T02:13:31.151000+02:00$$$$2025-08-25T02:13:31.154000+02:00$$$$2025-08-25T02:13:31.157000+02:00', '2025-08-25T02:13:39.210000+02:00$$$$2025-08-25T02:13:39.213000+02:00$$$$2025-08-25T02:13:39.214000+02:00', '2025-08-25T02:13:41.953000+02:00', '2025-08-25T02:13:44.766000+02:00', '2025-08-25T02:13:45.741386+02:00']",,,,,"{'2025-08-25T02:13:31.151000+02:00$$$$2025-08-25T02:13:31.154000+02:00$$$$2025-08-25T02:13:31.157000+02:00': 1, '2025-08-27T03:17:21.338441+02:00$$$$2025-08-27T03:17:21.342104+02:00': 1, '2025-08-27T03:18:09.342000+02:00$$$$2025-08-27T03:18:09.678000+02:00$$$$2025-08-27T03:18:09.907000+02:00': 1, '2025-08-27T03:17:59.614000+02:00': 1, '2025-08-27T03:17:49.069000+02:00$$$$2025-08-27T03:17:49.360000+02:00': 1}"
drive_raw,Events.category,Events,object,28041,36908,56.826,465,1.658,"['Script$$$$Script$$$$Script', 'Script$$$$Script$$$$Script', 'Network', 'Network', 'Network']",,,,,"{'Network': 8437, 'Network$$$$Network': 6012, 'Network$$$$Network$$$$Network': 3072, 'Network$$$$Network$$$$Network$$$$Network': 1631, 'Script': 963}"
drive_raw,Events.titles,Events,object,28041,36908,56.826,5082,18.123,"['Start$$$$Loop Start$$$$Lock RAT', 'Lock RAT$$$$MO Call$$$$MO Call', 'Idle Mode', 'PDP Context Modify Attempt', 'RRC RB Setup']",,,,,"{'UMTS AS Update Attempt$$$$UMTS AS Update Complete': 1453, 'Event A3': 1143, 'Event 1A': 1118, 'LTE CA Init$$$$LTE CA Complete': 1117, 'Event A6': 844}"
drive_raw,Location - Accuracy,Location,float64,64949,0,0.0,18054,27.797,"['3.7899999618530273', '3.7899999618530273', '3.7899999618530273', '3.7899999618530273', '3.7899999618530273']",3.7899999618530273,77.10800170898438,5.8590353838173,2.9483322602535735,
drive_raw,Location - Altitude,Location,float64,64949,0,0.0,31289,48.175,"['71.94793701171875', '71.84796142578125', '71.9117431640625', '71.8612060546875', '71.89715576171875']",24.3826904296875,191.37384033203125,82.90334737154222,20.573137765086315,
drive_raw,Location - Latitude,Location,float64,64949,0,0.0,56862,87.549,"['-17.815987', '-17.815987', '-17.815987', '-17.8159871', '-17.8159873']",-17.8171366,-17.595244,-17.708209974425625,0.08058186566469676,
drive_raw,Location - Longitude,Location,float64,64949,0,0.0,56717,87.325,"['177.3955979', '177.3955976', '177.3955977', '177.3955976', '177.3955972']",177.367364,177.5065131,177.4408574524308,0.024549348886154666,
drive_raw,Location - Speed,Location,float64,64949,0,0.0,44715,68.846,"['0.042176567018032', '0.0148733416572213', '0.0244976095855236', '0.0065126586705446', '0.0178619399666786']",0.0,69.156,13.086857874643215,13.502040656798002,
drive_raw,id,id,object,64949,0,0.0,546,0.841,"['542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533', '542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533', '542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533', '542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533', '542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533']",,,,,"{'542020041221088+20250826095657+Fiji-Nadi-MO-D!20250826095518': 135, '542020041221088+20250825165336+Fiji-Nadi-MO-D!20250825165217': 134, '542020041221088+20250825122130+Fiji-Nadi-MO-D!20250825121929': 130, '542020041221088+20250826115020+Fiji-Nadi-MO-D!20250826103706': 128, '542020041221088+20250825162534+Fiji-Nadi-MO-D!20250825144202': 128}"
drive_raw,imsi,imsi,int64,64949,0,0.0,1,0.002,"['542020041221088', '542020041221088', '542020041221088', '542020041221088', '542020041221088']",542020041221088.0,542020041221088.0,542020041221088.0,724.0055736682667,
drive_raw,timestamp,timestamp,"datetime64[ns, UTC+02:00]",64949,0,0.0,64949,100.0,"['2025-08-25 02:13:29+02:00', '2025-08-25 02:13:31+02:00', '2025-08-25 02:13:30+02:00', '2025-08-25 02:13:34+02:00', '2025-08-25 02:13:37+02:00']",,,,,"{'2025-08-25 02:13:29+02:00': 1, '2025-08-27 03:35:53+02:00': 1, '2025-08-27 03:35:55+02:00': 1, '2025-08-27 03:36:04+02:00': 1, '2025-08-27 03:36:20+02:00': 1}"
