WCDMA - ServingCell - PSC,rows,mean_rscp,p10_rscp,mean_ecno,p10_ecno
305.0,635,-70.69299242362204,-79.72952,-11.70308558031496,-15.4734696
168.0,622,-67.45162206591641,-79.4185905,-9.391652582315112,-11.6354024
73.0,570,-88.0525939367311,-101.93054679999999,-11.918815831634445,-16.1368494
211.0,564,-77.40275896985816,-92.651525,-10.384457238475177,-14.6891579
392.0,516,-74.88818601747573,-88.858508,-9.264928942524271,-13.588548199999998
225.0,514,-77.71206666015625,-88.74497000000001,-10.17447314609375,-16.544638600000003
292.0,488,-81.42766050718686,-89.661772,-12.19092928788501,-15.510132
300.0,479,-75.18284923430963,-86.66349699999999,-9.557303381171549,-13.9052588
397.0,470,-79.20899266595745,-91.1627955,-9.627815270212766,-15.3182823
1.0,454,-73.80816992376683,-85.58668,-8.711824839461883,-11.5645615
196.0,446,-70.10411063882619,-81.15696080000001,-11.426587674943566,-16.003455000000002
205.0,422,-77.70783257819906,-86.0757936,-10.174862398104265,-14.885
204.0,409,-78.20030917892157,-87.410796,-10.752039235784315,-15.22306045
241.0,398,-72.22070461306532,-83.24049600000001,-7.961514674623116,-13.720356899999999
268.0,391,-73.76143044501278,-87.59157,-8.498245778516624,-12.184697
313.0,363,-66.79658030027548,-76.061584,-10.273486329476585,-14.7099984
89.0,358,-72.42124294413408,-83.1846048,-10.688100089664804,-14.87195
376.0,350,-71.22538830285714,-82.16512859999999,-7.853314147714285,-10.9176884
308.0,340,-72.89770024411764,-85.37617200000001,-9.743695579705882,-15.6153657
297.0,316,-65.61978923734178,-74.00245000000001,-10.553911925,-13.8282635
116.0,313,-74.61401526045016,-83.96832,-8.095820490996784,-11.740407
113.0,298,-79.97174330201342,-91.92274400000001,-10.572645958724832,-15.9938494
90.0,294,-69.79118395563141,-81.539842,-8.193401209556313,-14.677321599999999
212.0,275,-72.95578390545455,-84.833626,-6.390064791636363,-10.853503199999999
30.0,267,-72.10594795454544,-87.701478,-10.047285842424243,-15.369183
395.0,266,-78.00751113909774,-89.08489,-9.520413583082707,-13.5368215
20.0,263,-71.75197407279693,-88.910065,-9.683461783141762,-15.87734
273.0,259,-78.09915014285714,-88.22765,-11.239759017374517,-17.739649
263.0,256,-74.70791070980393,-84.073685,-10.557004231764704,-15.004381200000001
60.0,251,-69.77829310441767,-81.101202,-9.394946874698796,-15.139199399999999
16.0,251,-73.36558820325203,-86.53045,-9.490940947967479,-14.028777999999999
176.0,250,-75.400801448,-89.246968,-10.996816710400001,-15.128366
233.0,245,-69.0590584612245,-79.2381164,-7.976467968571428,-11.666004999999998
169.0,240,-72.12678189583333,-86.395471,-8.449336382916666,-14.4070211
12.0,235,-69.82170684848485,-84.594315,-9.344069952813854,-14.497702
164.0,227,-71.02669919823789,-81.2517756,-9.281722895154184,-12.7840366
384.0,219,-73.09331142009133,-85.0788468,-10.323445846118721,-17.3181376
132.0,217,-80.77571319907408,-89.628,-11.911163024999999,-17.940329
436.0,215,-74.33924211267606,-86.808176,-9.03119132112676,-16.1009118
153.0,205,-76.97017084878048,-92.164517,-8.922333376585366,-16.0154228
340.0,204,-74.90327422058823,-83.12811,-7.628222110294118,-11.352183100000001
25.0,202,-69.5138628241206,-79.00027399999999,-7.299781351758794,-10.9521266
148.0,202,-77.07568047263682,-86.94091,-11.49181992885572,-17.389906
41.0,200,-71.52525171500001,-82.605397,-8.645036966500001,-12.2903977
217.0,196,-84.96157221938775,-92.4847925,-12.848416177551021,-15.46012
121.0,196,-70.70987951020408,-80.199795,-5.4026051545918365,-9.370015
321.0,189,-85.48732138095238,-90.676758,-12.258661304232804,-14.752652600000001
438.0,185,-78.34041697826088,-86.977288,-10.844705101086957,-13.9358688
100.0,184,-83.7907633423913,-90.43646700000001,-11.81584541304348,-15.9714835
57.0,183,-78.38082807650272,-93.85105399999999,-10.177971499453552,-13.8753034
39.0,181,-82.54107012154697,-91.050735,-9.796229794475138,-14.032184
81.0,179,-68.94863946368714,-78.7237008,-10.447840247486033,-15.0613776
97.0,174,-71.3598429770115,-85.318806,-10.410515522988506,-13.9732691
330.0,173,-80.35958314450866,-95.0991378,-11.441683066473988,-15.510132
353.0,173,-77.81338517919076,-88.680054,-12.220362676300578,-16.505198
208.0,172,-76.49458287209302,-91.893827,-9.93532885639535,-15.5610202
44.0,169,-71.86174695266271,-83.546174,-10.147035752662722,-16.6589018
248.0,169,-73.62118524260354,-88.663144,-8.49040272366864,-14.0681904
344.0,167,-75.94678067065868,-89.0964596,-9.255884934730538,-15.5455878
213.0,166,-65.18654604216867,-75.21960999999999,-9.134930103012048,-14.791177000000001
161.0,159,-79.65839288607594,-90.49892700000001,-10.450455183544303,-16.2427652
360.0,158,-75.5878120443038,-81.36730349999999,-11.225575914556963,-15.8643596
252.0,157,-73.69754617307693,-84.74014299999999,-11.265364868589744,-15.3954255
488.0,155,-76.15361205806452,-87.459676,-8.189765302580645,-14.2688964
390.0,153,-81.45846553594772,-91.0662908,-9.531566034640523,-14.665873399999999
362.0,152,-72.67184311184211,-88.8821815,-8.870064103289474,-13.5451412
224.0,151,-66.52879229139073,-80.82732,-7.590475899337749,-14.729552
238.0,150,-71.09990832,-84.502515,-7.439489186666666,-11.9722394
210.0,148,-83.69780536486486,-93.3339855,-12.571673757432432,-16.596087400000002
200.0,141,-77.10501703546099,-85.31399,-9.467942237588652,-15.064335
289.0,141,-78.23409825531914,-92.05626,-12.666406668794327,-16.810034
401.0,139,-73.8601228705036,-81.3726628,-10.614771094964029,-13.857799799999999
367.0,139,-74.56477610869565,-88.0212075,-10.47521522826087,-15.079493
137.0,137,-76.3111558540146,-87.24162,-11.156644800729927,-17.728803
510.0,134,-78.21201809701492,-89.516705,-9.98475965522388,-17.52111
7.0,133,-82.34946339843749,-91.2103062,-12.5958300078125,-16.6640122
312.0,130,-87.87780092307692,-92.79827,-12.307629606153847,-16.4918398
400.0,128,-91.7006278046875,-106.200836,-10.93793563125,-17.601778
184.0,127,-75.79314007086614,-83.74960800000001,-12.403229748031496,-15.3266378
123.0,126,-65.48526944444444,-77.47843,-8.042773214285713,-16.678894
173.0,124,-73.03092228225806,-86.11398,-10.81773793467742,-14.3591696
49.0,124,-67.37200176612903,-78.3197562,-10.135376850806452,-15.3140634
0.0,122,-91.06429986842106,-103.291612,-13.378467324561404,-17.1805082
197.0,120,-77.77690954621848,-89.369003,-12.392098449579832,-17.148633200000003
324.0,120,-73.02639824166666,-83.334812,-10.062169723333334,-15.2071045
52.0,120,-74.5906529,-90.873717,-8.722532673333335,-14.0434858
145.0,115,-69.43555848695652,-81.98685,-10.094837332173913,-15.8157498
280.0,112,-72.77411839285715,-79.280951,-6.470034534821429,-9.0138306
214.0,109,-80.62465223853211,-92.088638,-10.779553955045872,-15.5303296
296.0,109,-76.38738849074073,-85.686319,-7.151294344444445,-11.163606799999998
328.0,108,-74.09635425,-89.871561,-10.667812459259258,-15.593143199999998
496.0,106,-79.03337961320754,-85.11604299999999,-8.782260403773584,-10.505526
264.0,105,-80.21390736190477,-93.180294,-11.707604514285714,-17.390366
136.0,101,-79.90443020792078,-92.0362,-8.042864167326732,-12.023974
124.0,100,-77.55433904,-89.789127,-9.593534381,-14.7920538
38.0,98,-72.74138859183674,-82.84119,-8.436194018367347,-14.004621
480.0,96,-83.15805296842106,-91.931862,-12.232400246315791,-16.459030000000002
354.0,95,-68.36465306315789,-85.25115799999999,-9.316236128421053,-14.7296884
272.0,91,-78.61588971428571,-87.690796,-10.822764869230769,-14.405719
201.0,91,-85.49909981318682,-95.289566,-12.992338961538463,-17.262548
281.0,90,-77.16871470000001,-86.5526184,-10.910127088888888,-16.217222
140.0,88,-87.60311219318181,-96.081585,-13.58647540340909,-17.8618422
177.0,85,-81.3645381882353,-92.986404,-12.881380911764705,-16.6721386
33.0,83,-66.86232431325301,-78.44295600000001,-10.168902796385543,-15.0022796
410.0,81,-77.18242638271605,-88.46255,-10.780352432098764,-15.064335
222.0,77,-75.89562581818181,-90.165773,-9.06735508831169,-14.648816799999999
144.0,76,-59.38361984210526,-69.068745,-5.543932342105263,-9.81347025
239.0,75,-72.83783381333333,-81.9227984,-11.285950692,-14.9990006
232.0,74,-75.20799321621621,-90.14979579999999,-9.65826315135135,-14.6649685
156.0,72,-67.93169559722223,-76.32699960000001,-9.617100268055555,-13.4503313
2.0,72,-73.6258684117647,-83.7983632,-11.418006427941176,-17.645495999999998
240.0,72,-62.59778554929578,-82.70293,-8.294261597183098,-13.996539
152.0,72,-76.27789879166667,-86.15754100000001,-10.939977216666668,-14.8272548
216.0,69,-81.5039054057971,-96.440716,-11.091419223188407,-17.623767
369.0,66,-89.94376272727273,-98.6912575,-12.157713633333334,-18.3235375
194.0,65,-81.6156052,-87.447655,-12.941533930769232,-14.7362182
361.0,61,-83.1923133442623,-91.18859,-10.866574236065574,-13.198839
98.0,60,-69.33683543333333,-83.6064875,-9.363465731666668,-14.9406444
160.0,60,-71.88183972413793,-87.3871315,-10.73327196724138,-15.0706311
181.0,58,-67.77273522413793,-77.626721,-9.206654058620689,-13.6191152
82.0,57,-56.58549089473684,-64.9524264,-6.787980819298246,-11.3882694
207.0,55,-79.0264296909091,-86.48022759999999,-9.196416274545454,-12.977822999999999
23.0,52,-66.13496110416666,-76.65687480000001,-10.958886466666668,-16.0313202
332.0,43,-72.76512141860465,-79.90341599999999,-8.293249425581395,-11.754507
448.0,42,-80.14818792857143,-98.31807,-12.998607799999998,-18.570778
511.0,42,-65.13102066666667,-81.8968106,-7.352138721428572,-15.469425499999998
195.0,42,-72.02784304761906,-75.366148,-11.045827011904763,-12.587206
13.0,40,-68.06314940740741,-80.836142,-8.450228307407407,-12.0788658
3.0,40,-68.95136236111111,-79.10561,-9.443571244444446,-16.269695
249.0,38,-82.45793072972972,-90.39914,-10.715825937837838,-16.31473
4.0,36,-64.37017171875,-71.616462,-8.0356630875,-11.665361500000001
260.0,36,-70.8407625,-79.49977,-9.403995508333333,-14.1532305
107.0,36,-73.14809638888889,-87.3458325,-9.464304491666667,-13.6351335
192.0,35,-84.98143034285714,-90.32969,-13.319521057142858,-16.8078772
257.0,33,-84.14907636363637,-91.693008,-12.061966857575756,-16.3622368
477.0,32,-75.95861378125,-87.63607649999999,-10.620925365625,-15.7220406
18.0,32,-81.22823658064516,-101.74727,-11.610811722580646,-16.504396
46.0,31,-88.32235125806451,-99.00084,-14.39731861935484,-18.029257
15.0,30,-80.43314147999999,-95.33194,-12.1379607,-17.403899
24.0,29,-74.00959675,-82.23238549999999,-8.209628910000001,-10.2282624
408.0,29,-71.82307410344828,-81.407713,-11.794677689655172,-15.2268952
28.0,29,-65.70256864285714,-81.0676192,-10.545891660714286,-16.4141262
185.0,27,-87.88766274074075,-96.677155,-14.582805314814815,-17.7891058
10.0,27,-75.3487275,-89.383254,-10.343272194444445,-14.5620795
108.0,26,-85.05016026923077,-94.27871999999999,-11.691673096153846,-16.1952945
209.0,22,-65.26901018181819,-78.14594,-7.981710118181818,-9.7876399
14.0,21,-73.00931317647058,-88.12906600000001,-9.641765105882353,-14.4046132
409.0,17,-68.01229111764707,-80.222702,-10.469762294117647,-13.40479
19.0,17,-68.97856329999999,-82.741581,-8.47151325,-12.3071493
22.0,16,-84.19508766666667,-91.008201,-11.628154791666667,-16.27545
8.0,15,-77.3223122,-88.34987,-9.9612896,-14.7251989
5.0,15,-66.43411871428572,-72.207418,-6.215786157142857,-8.2654966
9.0,13,-75.37850033333333,-85.97533,-10.97795,-14.7444035
17.0,12,-77.90313633333334,-87.51505399999999,-10.64034271111111,-15.0735978
11.0,12,-69.1340996,-85.45377099999999,-9.85942483,-12.83750715
320.0,10,-95.446803,-102.830197,-13.32705895,-16.6159321
27.0,9,-73.173772,-83.8403936,-10.02531752857143,-11.573257
21.0,8,-75.00858816666667,-77.8802175,-8.895308466666668,-10.66309375
6.0,8,-78.68251657142856,-86.453136,-12.075798,-13.5060286
127.0,7,-81.34107857142858,-86.751274,-13.873723714285715,-16.6467458
336.0,7,-87.76115442857143,-93.30124839999999,-12.961071928571428,-17.4383844
254.0,6,-97.29113,-97.29113,-18.275705,-18.275705
31.0,6,-78.641656,-81.704652,-8.604483,-11.4370264
502.0,3,-97.62999866666667,-99.9757972,-17.489201333333334,-18.5201968
129.0,3,-62.53695666666666,-65.385032,-8.4264368,-10.7452334
261.0,3,-79.44140333333333,-85.68705800000001,-15.459733666666665,-16.6757332
242.0,2,-89.042993,-92.2394274,-17.422995,-18.208103
230.0,2,-91.337305,-94.26813299999999,-16.988374999999998,-17.773491
