operational_incident_id,id,route_label,start_time,end_time,strict_episodes,rows,max_priority,mean_priority,max_impact,max_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,primary_serving_pci,duration_seconds
INC-000670,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:49:04+02:00,2025-08-28 00:49:04+02:00,1,1,86.35,86.35,75.18,100.0,1,0,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,163.0,0.0
INC-000409,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,2025-08-27 03:39:42+02:00,2025-08-27 03:39:42+02:00,1,1,85.1,85.1,72.9,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,137.0,0.0
INC-000359,542020041221088+20250827134427+Fiji-Nadi-LTE-DL-D!20250827131213,Fiji-Nadi-LTE-DL-D,2025-08-27 03:10:11+02:00,2025-08-27 03:10:11+02:00,1,1,84.94,84.94,72.62,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,131.0,0.0
INC-000805,542020041221088+20250828123823+Fiji-Nadi-LTE-DL-D!20250828123754,Fiji-Nadi-LTE-DL-D,2025-08-28 02:37:35+02:00,2025-08-28 02:37:36+02:00,1,2,84.75,84.75,81.28,89.0,1,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,313.0,1.0
INC-000187,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:31+02:00,2025-08-27 01:30:31+02:00,1,1,84.48,84.48,71.78,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,394.0,0.0
INC-000189,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:49+02:00,2025-08-27 01:30:49+02:00,1,1,84.1,84.1,71.09,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,394.0,0.0
INC-001023,542020041221088+20250828141838+Fiji-Nadi-LTE-DL-D!20250828141754,Fiji-Nadi-LTE-DL-D,2025-08-28 04:16:02+02:00,2025-08-28 04:16:02+02:00,1,1,83.71,83.71,70.37,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,230.0,0.0
INC-000204,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:35:17+02:00,2025-08-27 01:35:18+02:00,1,2,83.33,83.33,77.47,90.5,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,394.0,1.0
INC-000199,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:34:11+02:00,2025-08-27 01:34:12+02:00,1,2,82.71,82.71,74.83,92.35,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,394.0,1.0
INC-000590,542020041221088+20250827161114+Fiji-Nadi-LTE-DL-D!20250827160608,Fiji-Nadi-LTE-DL-D,2025-08-27 06:04:06+02:00,2025-08-27 06:04:06+02:00,1,1,82.71,82.71,68.57,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,469.0,0.0
INC-000417,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,2025-08-27 03:41:22+02:00,2025-08-27 03:41:22+02:00,1,1,82.68,82.68,68.51,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,135.0,0.0
INC-000328,542020041221088+20250827133907+Fiji-Nadi-LTE-DL-D!20250827130324,Fiji-Nadi-LTE-DL-D,2025-08-27 03:01:56+02:00,2025-08-27 03:01:56+02:00,1,1,82.55,82.55,68.27,100.0,1,0,0,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,322.0,0.0
INC-000521,542020041221088+20250827151552+Fiji-Nadi-LTE-DL-D!20250827151524,Fiji-Nadi-LTE-DL-D,2025-08-27 05:14:38+02:00,2025-08-27 05:14:38+02:00,1,1,82.07,82.07,67.4,100.0,1,0,0,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,50.0,0.0
INC-000348,542020041221088+20250827134247+Fiji-Nadi-LTE-DL-D!20250827130749,Fiji-Nadi-LTE-DL-D,2025-08-27 03:06:16+02:00,2025-08-27 03:06:17+02:00,1,2,81.91,81.91,76.11,89.0,1,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,394.0,1.0
INC-000337,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,2025-08-27 03:04:22+02:00,2025-08-27 03:04:24+02:00,1,3,81.89,81.89,78.96,85.47,1,2,0,radio_limited_degradation,normal,394.0,2.0
INC-000669,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:48:57+02:00,2025-08-28 00:48:58+02:00,1,2,81.87,81.87,75.87,89.2,1,1,0,radio_limited_degradation,ml_quantile_p75_resource_underperformance,163.0,1.0
INC-000619,542020041221088+20250828102746+Fiji-Nadi-LTE-DL-D!20250828102524,Fiji-Nadi-LTE-DL-D,2025-08-28 00:23:38+02:00,2025-08-28 00:23:42+02:00,1,5,81.69,81.69,79.51,84.35,1,4,0,ca_underperformance,normal,338.0,4.0
INC-001069,542020041221088+20250828153922+Fiji-Nadi-LTE-DL-D!20250828152928,Fiji-Nadi-LTE-DL-D,2025-08-28 05:28:25+02:00,2025-08-28 05:28:25+02:00,1,1,81.66,81.66,66.65,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,454.0,0.0
INC-000188,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:40+02:00,2025-08-27 01:30:41+02:00,1,2,81.6,81.6,74.26,90.56,1,1,0,ca_underperformance,ml_hgb_strict_causal_temporal_underperformance,394.0,1.0
INC-000305,542020041221088+20250827132825+Fiji-Nadi-LTE-DL-D!20250827122826,Fiji-Nadi-LTE-DL-D,2025-08-27 02:26:47+02:00,2025-08-27 02:26:49+02:00,1,3,81.59,81.59,72.3,92.94,2,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,149.0,2.0
INC-000367,542020041221088+20250827134607+Fiji-Nadi-LTE-DL-D!20250827131425,Fiji-Nadi-LTE-DL-D,2025-08-27 03:12:45+02:00,2025-08-27 03:12:47+02:00,1,3,81.11,81.11,71.55,92.8,2,1,0,radio_limited_degradation,ml_quantile_p75_resource_underperformance,129.0,2.0
