family,columns,avg_missing_pct,min_missing_pct,max_missing_pct,zero_missing_columns,fully_missing_columns,above_threshold_missing
LTE,98,88.92,82.029,99.215,0,0,98
WCDMA,69,31.234,22.868,58.327,0,0,0
Activity,33,99.343,99.165,99.994,0,0,33
PCAP,10,0.0,0.0,0.0,10,0,0
Extra_KPIs,7,78.574,31.508,99.221,0,0,5
Events,6,59.497,55.192,68.242,0,0,0
Location,5,0.0,0.0,0.0,5,0,0
Throughput,2,99.43,99.43,99.43,0,0,2
activity_duration_seconds_from_timestamps,1,99.165,99.165,99.165,0,0,1
distance_from_prev_m,1,0.844,0.844,0.844,0,0,0
prev_lat,1,0.844,0.844,0.844,0,0,0
prev_lon,1,0.844,0.844,0.844,0,0,0
sample_gap_seconds,1,0.844,0.844,0.844,0,0,0
date,1,0.0,0.0,0.0,1,0,0
has_valid_location,1,0.0,0.0,0.0,1,0,0
hour,1,0.0,0.0,0.0,1,0,0
id,1,0.0,0.0,0.0,1,0,0
id_imsi,1,0.0,0.0,0.0,1,0,0
id_location_label,1,0.0,0.0,0.0,1,0,0
id_log_time,1,0.0,0.0,0.0,1,0,0
id_log_time_raw,1,0.0,0.0,0.0,1,0,0
id_route_test_label,1,0.0,0.0,0.0,1,0,0
id_session_time,1,0.0,0.0,0.0,1,0,0
id_session_time_raw,1,0.0,0.0,0.0,1,0,0
id_test_type,1,0.0,0.0,0.0,1,0,0
imsi,1,0.0,0.0,0.0,1,0,0
minute,1,0.0,0.0,0.0,1,0,0
session_elapsed_seconds,1,0.0,0.0,0.0,1,0,0
timestamp,1,0.0,0.0,0.0,1,0,0
