family,columns,avg_missing_pct,min_missing_pct,max_missing_pct,zero_missing_columns,fully_missing_columns,above_threshold_missing
LTE,440,95.75,82.029,100.0,0,57,440
NR5G,302,100.0,100.0,100.0,0,302,302
GSM,271,96.951,90.713,100.0,0,119,271
WCDMA,230,76.784,22.868,100.0,0,40,160
Activity,35,99.428,99.165,100.0,0,4,35
SpeedTest,21,100.0,100.0,100.0,0,21,21
Extra_KPIs,20,92.355,31.508,100.0,0,8,18
PCAP,10,0.0,0.0,0.0,10,0,0
YouTube,9,100.0,100.0,100.0,0,9,9
Events,6,59.497,55.192,68.242,0,0,0
Browsing,5,100.0,100.0,100.0,0,5,5
Throughput,5,99.771,99.43,100.0,0,2,5
Location,5,0.0,0.0,0.0,5,0,0
Voice_Quality,3,100.0,100.0,100.0,0,3,3
id,1,0.0,0.0,0.0,1,0,0
imsi,1,0.0,0.0,0.0,1,0,0
timestamp,1,0.0,0.0,0.0,1,0,0
