source_index,event_order_in_sample,id,sample_timestamp,Events.Timestamp,Events.category,Events.Tech,Events.titles,Events.description,Events.subject,event_timestamp,event_delay_from_sample_seconds,event_family
2,0,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:31+02:00,2025-08-25T02:13:31.151000+02:00,Script,LTE,Start,"{""name"":""Fiji-Nadi-MO-D"",""description"":""CSFB-90-10"",""steps"":[{""BM"":false,""id"":""0"",""Type"":""MO_Call"",""Number"":""+6797013801"",""MT_IMSI"":"""",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":0,""beginItemKey"":1},{""endItemKey"":2,""beginItemKey"":0},{""endItemKey"":0,""beginItemKey"":4}],""Duration"":90},{""id"":""1"",""Type"":""Lock_RAT"",""Lock RAT"":""AUTO"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":0,""beginItemKey"":1}]},{""id"":""2"",""Type"":""Wait"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":2,""beginItemKey"":0},{""endItemKey"":3,""beginItemKey"":2}],""Length"":10},{""id"":""3"",""Type"":""Save"",""stepShape"":""rectangle"",""connectors"":[{""endItemKey"":3,""beginItemKey"":2},{""endItemKey"":4,""beginItemKey"":3}]},{""id"":""4"",""Type"":""Loop"",""Steps"":[0,2,3],""Repeat"":1000,""stepShape"":""ellipse"",""connectors"":[{""endItemKey"":4,""beginItemKey"":3},{""endItemKey"":0,""beginItemKey"":4}]}],""autoTime"":0,""repeat"":1000,""uploadServer"":""POLQA"",""indoor"":false,""indoorMaster"":false,""sync"":false,""PCAP"":false,""deepLayer"":false,""imsisIds"":[""79a8c7aa-0759-45d4-a985-587496c8f1ba"",""ba71750e-61c4-4773-8e9d-33a7ef73e4ca"",""c659f421-120c-42a3-91a2-84b93e85ac96""],""indoorMasterImsi"":null,""first step"":1,""PCAP Length"":0}",Fiji-Nadi-MO-D,2025-08-25 02:13:31.151000+02:00,0.151,other
2,1,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:31+02:00,2025-08-25T02:13:31.154000+02:00,Script,LTE,Loop Start,1,nan,2025-08-25 02:13:31.154000+02:00,0.154,other
2,2,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:31+02:00,2025-08-25T02:13:31.157000+02:00,Script,LTE,Lock RAT,AUTO,Start,2025-08-25 02:13:31.157000+02:00,0.157,other
10,0,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:39+02:00,2025-08-25T02:13:39.210000+02:00,Script,LTE,Lock RAT,AUTO,End,2025-08-25 02:13:39.210000+02:00,0.21,other
10,1,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:39+02:00,2025-08-25T02:13:39.213000+02:00,Script,LTE,MO Call,+6797013801,Start,2025-08-25 02:13:39.213000+02:00,0.213,other
10,2,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:39+02:00,2025-08-25T02:13:39.214000+02:00,Script,LTE,MO Call,,MT Available,2025-08-25 02:13:39.214000+02:00,0.214,other
12,0,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:41+02:00,2025-08-25T02:13:41.953000+02:00,Network,LTE,Idle Mode,,,2025-08-25 02:13:41.953000+02:00,0.953,other
13,0,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:42+02:00,2025-08-25T02:13:41.876550+02:00,Network,LTE,Outgoing Call Attempt,CSFB,nan,2025-08-25 02:13:41.876550+02:00,-0.12345,other
13,1,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:42+02:00,2025-08-25T02:13:41.953151+02:00,Network,LTE,ERRC Connection Complete,,nan,2025-08-25 02:13:41.953151+02:00,-0.046849,other
13,2,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:42+02:00,2025-08-25T02:13:42.608000+02:00,Network,LTE,Dedicated Mode,,nan,2025-08-25 02:13:42.608000+02:00,0.608,other
14,0,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:43+02:00,2025-08-25T02:13:42.136384+02:00,Network,LTE,UMTS Cell Reselection,,nan,2025-08-25 02:13:42.136384+02:00,-0.863616,handover_execution
14,1,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:43+02:00,2025-08-25T02:13:42.136384+02:00,Network,LTE,RAT Change,,nan,2025-08-25 02:13:42.136384+02:00,-0.863616,other
14,2,542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:13:43+02:00,2025-08-25T02:13:42.608728+02:00,Network,LTE,RRC Connection Attempt,,nan,2025-08-25 02:13:42.608728+02:00,-0.391272,other
