method_or_case,flag_role,flagged_rows,flagged_pct,flagged_pct_of_all_lte_dl_rows
low_tp_family_flag,trigger_family_independent,45,10.922,10.922
temporal_drop_family_flag,trigger_family_independent,51,12.379,12.379
expected_tp_family_flag,trigger_family_independent,14,3.398,3.398
rb_efficiency_family_flag,trigger_family,5,1.214,1.214
sustained_window_family_flag,context_or_case_family_alias,6,1.456,1.456
radio_limited_family_flag,context_or_case_family_alias,11,2.67,2.67
ca_underperformance_family_flag,context_or_case_family_alias,6,1.456,1.456
low_tp_fixed_flag,trigger_detail,25,6.068,6.068
low_tp_global_p10_flag,trigger_detail,42,10.194,10.194
low_tp_session_p10_flag,trigger_detail,38,9.223,9.223
low_tp_robust_z_flag,trigger_detail,21,5.097,5.097
low_tp_iqr_flag,trigger_detail,23,5.583,5.583
rolling_drop_flag,trigger_detail,37,8.981,8.981
rolling_sustained_degradation_flag,trigger_detail,6,1.456,1.456
sudden_drop_flag,trigger_detail,40,9.709,9.709
underperform_vs_p75_flag,trigger_detail,12,2.913,2.913
underperform_vs_rb_p75_flag,trigger_detail,7,1.699,1.699
low_rb_efficiency_high_rb_flag,trigger_detail,5,1.214,1.214
ca_underperformance_flag,trigger_detail,6,1.456,1.456
radio_limited_degradation_flag,case_context,11,2.67,2.67
unexpected_underperformance_flag,case_context,11,2.67,2.67
event_related_degradation_flag,context_only,2,0.485,0.485
bad_session_flag,context_only,0,0.0,0.0
bad_session_sample_flag,context_only,0,0.0,0.0
underperform_vs_p75_context_flag,context_only,52,12.621,12.621
underperform_vs_rb_p75_context_flag,context_only,40,9.709,9.709
p75_underperformance_demand_unknown_context_flag,context_only,22,5.34,5.34
low_tp_low_rb_flag,case_context,33,8.01,8.01
rb_low_usage_flag,context_only,103,25.0,25.0
low_tail_robust_consensus_flag,unknown,23,5.583,5.583
weak_low_rb_only_candidate_flag,context_only,13,3.155,3.155
is_throughput_anomaly,candidate_gate,69,16.748,16.748
rca_handoff_flag,handoff_gate,55,13.35,13.35
