serving_pci,anomalies,episodes,mean_score,mean_actual_tp,mean_expected_tp,mean_expected_rb_p75,mean_rb_usage,mean_throughput_per_rb,mean_rsrp,mean_sinr,total_lte_dl_rows_on_pci,analysis_rows_on_pci,median_tp_all_rows_on_pci,median_rb_usage_on_pci,ca_median_carrier_count_on_pci,anomaly_rate_on_pci_pct,episode_rate_on_pci_pct,anomaly_rate_ci_low_pct,anomaly_rate_ci_high_pct
134.91628957100428,1,1,93.6,1.4,62.465,68.421,106.09,0.013,-111.71,8.244,1,1,1.4,106.09,1.973,100.0,100.0,20.654,100.0
140.62933831547522,1,1,93.8,0.897,80.596,50.825,65.164,0.014,-102.227,13.913,1,1,0.897,65.164,1.947,100.0,100.0,20.654,100.0
140.874278382318,1,1,58.7,19.01,80.596,68.421,131.697,0.144,-109.875,12.078,1,1,19.01,131.697,1.978,100.0,100.0,20.654,100.0
141.7149752565512,1,1,50.0,19.655,36.313,36.449,90.6,0.217,-111.36,4.206,1,1,19.655,90.6,1.044,100.0,100.0,20.654,100.0
142.11595205377358,1,1,81.9,2.021,36.313,24.64,35.143,0.058,-109.56,9.242,1,1,2.021,35.143,0.944,100.0,100.0,20.654,100.0
144.11187607906743,1,1,57.0,18.278,62.465,68.421,160.281,0.114,-111.89,8.339,1,1,18.278,160.281,1.985,100.0,100.0,20.654,100.0
144.4246165279139,1,1,80.1,8.123,62.465,68.421,144.469,0.056,-104.841,6.999,1,1,8.123,144.469,1.979,100.0,100.0,20.654,100.0
144.86572344692485,1,1,93.9,0.649,106.145,50.825,0.41,1.582,-97.938,20.341,1,1,0.649,0.41,2.003,100.0,100.0,20.654,100.0
145.08403319806774,1,1,65.9,6.029,36.006,29.201,67.323,0.09,-107.881,11.2,1,1,6.029,67.323,1.013,100.0,100.0,20.654,100.0
146.2726517874031,1,1,54.5,13.006,36.313,24.64,67.931,0.191,-112.4,6.186,1,1,13.006,67.931,1.012,100.0,100.0,20.654,100.0
146.54995436855157,1,1,56.5,14.597,36.313,24.64,73.846,0.198,-107.801,8.958,1,1,14.597,73.846,1.001,100.0,100.0,20.654,100.0
147.0543396422168,1,1,56.5,11.383,36.313,24.64,74.225,0.153,-113.059,7.923,1,1,11.383,74.225,1.06,100.0,100.0,20.654,100.0
147.19439294927932,1,1,88.8,10.473,108.961,68.421,106.196,0.099,-101.831,18.141,1,1,10.473,106.196,2.04,100.0,100.0,20.654,100.0
147.71974955627473,1,1,89.5,4.588,62.465,65.932,182.012,0.025,-109.528,5.664,1,1,4.588,182.012,2.012,100.0,100.0,20.654,100.0
148.81898819400027,1,1,71.2,5.096,36.006,29.201,61.569,0.083,-109.345,10.849,1,1,5.096,61.569,1.011,100.0,100.0,20.654,100.0
149.37835652039104,1,1,75.8,3.236,36.313,24.64,51.324,0.063,-112.13,7.65,1,1,3.236,51.324,0.986,100.0,100.0,20.654,100.0
149.4959146612578,1,1,61.0,34.4,108.961,116.727,171.903,0.2,-101.469,16.506,1,1,34.4,171.903,1.991,100.0,100.0,20.654,100.0
149.61112979929803,1,1,94.1,0.5,108.961,50.825,3.035,0.165,-105.055,16.395,1,1,0.5,3.035,2.035,100.0,100.0,20.654,100.0
150.50945868626354,1,1,91.3,6.908,106.145,50.825,58.157,0.119,-99.84,20.368,1,1,6.908,58.157,2.009,100.0,100.0,20.654,100.0
150.8751260181673,1,1,52.0,19.955,62.465,68.421,157.781,0.126,-109.368,4.45,1,1,19.955,157.781,1.992,100.0,100.0,20.654,100.0
151.48190063511896,1,1,52.0,43.95,106.145,68.421,119.876,0.367,-99.329,18.497,1,1,43.95,119.876,1.941,100.0,100.0,20.654,100.0
151.60662335506885,1,1,50.0,27.437,37.173,29.201,39.669,0.692,-105.111,18.481,1,1,27.437,39.669,1.003,100.0,100.0,20.654,100.0
152.25290885567034,1,1,50.0,22.534,37.173,29.201,80.676,0.279,-103.969,17.139,1,1,22.534,80.676,1.069,100.0,100.0,20.654,100.0
