operational_incident_id,id,route_label,start_time,end_time,strict_episodes,rows,max_priority,mean_priority,max_impact,max_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,primary_serving_pci,duration_seconds
INC-000012,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:52+02:00,2025-08-26 23:45:52+02:00,1,1,80.92,80.92,65.31,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,147.19439294927932,0.0
INC-000001,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:20+02:00,2025-08-26 23:39:21+02:00,1,2,74.44,74.44,61.07,90.78,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,144.4246165279139,1.0
INC-000011,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:43+02:00,2025-08-26 23:45:43+02:00,1,1,71.85,71.85,70.78,73.17,0,1,0,sudden_drop,normal,140.62933831547522,0.0
INC-000002,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:49+02:00,2025-08-26 23:39:50+02:00,1,2,70.75,70.75,63.7,79.37,0,2,0,ca_underperformance,ml_quantile_p75_resource_underperformance,289.9762236884399,1.0
INC-000007,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:04+02:00,2025-08-26 23:43:04+02:00,1,1,70.6,70.6,69.94,71.4,0,1,0,rb_efficiency_underperformance,normal,134.91628957100428,0.0
INC-000006,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:42:12+02:00,2025-08-26 23:42:12+02:00,1,1,68.61,68.61,63.53,74.82,0,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,147.71974955627473,0.0
INC-000010,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:35+02:00,2025-08-26 23:45:35+02:00,1,1,66.82,66.82,70.31,62.56,0,1,0,radio_limited_degradation,normal,149.61112979929803,0.0
INC-000005,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:41:36+02:00,2025-08-26 23:41:36+02:00,1,1,62.46,62.46,62.38,62.56,0,1,0,radio_limited_degradation,normal,298.6086892967707,0.0
INC-000009,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:52+02:00,2025-08-26 23:43:52+02:00,1,1,61.42,61.42,58.55,64.92,0,1,0,sudden_drop,normal,150.50945868626354,0.0
INC-000008,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:37+02:00,2025-08-26 23:43:37+02:00,1,1,60.1,60.1,59.2,61.2,0,1,0,sudden_drop,normal,144.86572344692485,0.0
INC-000004,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:41:14+02:00,2025-08-26 23:41:14+02:00,1,1,56.43,56.43,55.94,57.02,0,1,0,radio_limited_degradation,normal,287.37994585447046,0.0
INC-000003,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:40:00+02:00,2025-08-26 23:40:01+02:00,1,2,54.89,54.89,45.81,66.0,0,2,0,rb_conditioned_underperformance,ml_hgb_strict_causal_temporal_underperformance,276.456382851785,1.0
