view,feature_type,column
capability_pure,numeric,session_elapsed_seconds
capability_pure,numeric,speed
capability_pure,numeric,location_accuracy
capability_pure,numeric,altitude
capability_pure,numeric,distance_from_prev_m
capability_pure,numeric,lte_rsrp
capability_pure,numeric,lte_rsrq
capability_pure,numeric,lte_sinr
capability_pure,numeric,lte_rssi
capability_pure,numeric,carrier_count
capability_pure,numeric,lte_agg_bandwidth_dl
capability_pure,numeric,lte_bandwidth_dl
capability_pure,numeric,scell1_rsrp
capability_pure,numeric,scell1_rsrq
capability_pure,numeric,scell1_sinr
capability_pure,categorical,serving_earfcn
capability_pure,categorical,serving_band
capability,numeric,session_elapsed_seconds
capability,numeric,speed
capability,numeric,location_accuracy
capability,numeric,altitude
capability,numeric,distance_from_prev_m
capability,numeric,lte_rsrp
capability,numeric,lte_rsrq
capability,numeric,lte_sinr
capability,numeric,lte_rssi
capability,numeric,carrier_count
capability,numeric,lte_agg_bandwidth_dl
capability,numeric,lte_bandwidth_dl
capability,numeric,scell1_rsrp
capability,numeric,scell1_rsrq
capability,numeric,scell1_sinr
capability,numeric,download_activity_window_raw_flag
capability,numeric,download_analysis_window_flag
capability,numeric,inactive_download_context_flag
capability,categorical,serving_earfcn
capability,categorical,serving_band
capability,categorical,download_context_label
resource,numeric,session_elapsed_seconds
resource,numeric,speed
resource,numeric,location_accuracy
resource,numeric,altitude
resource,numeric,distance_from_prev_m
resource,numeric,lte_rsrp
resource,numeric,lte_rsrq
resource,numeric,lte_sinr
resource,numeric,lte_rssi
resource,numeric,carrier_count
resource,numeric,lte_agg_bandwidth_dl
resource,numeric,lte_bandwidth_dl
resource,numeric,scell1_rsrp
resource,numeric,scell1_rsrq
resource,numeric,scell1_sinr
resource,numeric,lte_cqi
resource,numeric,lte_mcs
resource,numeric,lte_bler
resource,numeric,lte_rank
resource,numeric,lte_rb_count
resource,numeric,lte_agg_rb_dl
resource,numeric,rb_usage_value
resource,numeric,rb_utilization_pct_clipped
resource,numeric,estimated_available_rb
resource,numeric,scell1_cqi
resource,numeric,scell1_mcs
resource,numeric,scell1_bler
resource,numeric,scell1_rb_count
resource,numeric,download_activity_window_raw_flag
resource,numeric,download_analysis_window_flag
resource,numeric,inactive_download_context_flag
resource,numeric,rb_low_usage_flag
resource,numeric,rb_medium_or_high_usage_flag
resource,numeric,rb_high_usage_flag
resource,categorical,serving_earfcn
resource,categorical,serving_band
resource,categorical,download_context_label
resource,categorical,rb_usage_bucket
resource,categorical,rb_demand_confidence_ml
resource,categorical,rb_capacity_estimation_method
capability_augmented,numeric,session_elapsed_seconds
capability_augmented,numeric,speed
capability_augmented,numeric,location_accuracy
capability_augmented,numeric,altitude
capability_augmented,numeric,distance_from_prev_m
capability_augmented,numeric,lte_rsrp
capability_augmented,numeric,lte_rsrq
capability_augmented,numeric,lte_sinr
capability_augmented,numeric,lte_rssi
capability_augmented,numeric,carrier_count
capability_augmented,numeric,lte_agg_bandwidth_dl
capability_augmented,numeric,lte_bandwidth_dl
capability_augmented,numeric,scell1_rsrp
capability_augmented,numeric,scell1_rsrq
capability_augmented,numeric,scell1_sinr
capability_augmented,numeric,download_activity_window_raw_flag
capability_augmented,numeric,download_analysis_window_flag
capability_augmented,numeric,inactive_download_context_flag
capability_augmented,numeric,poor_sinr_flag
capability_augmented,numeric,high_bler_flag
capability_augmented,numeric,low_cqi_flag
capability_augmented,numeric,low_rb_allocation_flag
capability_augmented,categorical,serving_earfcn
capability_augmented,categorical,serving_band
capability_augmented,categorical,download_context_label
capability_augmented,categorical,rsrp_bin
capability_augmented,categorical,rsrq_bin
capability_augmented,categorical,sinr_bin
cell_aware,numeric,session_elapsed_seconds
cell_aware,numeric,speed
cell_aware,numeric,location_accuracy
cell_aware,numeric,altitude
cell_aware,numeric,distance_from_prev_m
cell_aware,numeric,lte_rsrp
cell_aware,numeric,lte_rsrq
cell_aware,numeric,lte_sinr
cell_aware,numeric,lte_rssi
cell_aware,numeric,carrier_count
cell_aware,numeric,lte_agg_bandwidth_dl
cell_aware,numeric,lte_bandwidth_dl
cell_aware,numeric,scell1_rsrp
cell_aware,numeric,scell1_rsrq
cell_aware,numeric,scell1_sinr
cell_aware,numeric,download_activity_window_raw_flag
cell_aware,numeric,download_analysis_window_flag
cell_aware,numeric,inactive_download_context_flag
cell_aware,categorical,serving_earfcn
cell_aware,categorical,serving_band
cell_aware,categorical,download_context_label
cell_aware,categorical,serving_pci
cell_aware,categorical,serving_eci
temporal_lag,numeric,session_elapsed_seconds
temporal_lag,numeric,speed
temporal_lag,numeric,location_accuracy
temporal_lag,numeric,altitude
temporal_lag,numeric,distance_from_prev_m
temporal_lag,numeric,lte_rsrp
temporal_lag,numeric,lte_rsrq
temporal_lag,numeric,lte_sinr
temporal_lag,numeric,lte_rssi
temporal_lag,numeric,carrier_count
temporal_lag,numeric,lte_agg_bandwidth_dl
temporal_lag,numeric,lte_bandwidth_dl
temporal_lag,numeric,scell1_rsrp
temporal_lag,numeric,scell1_rsrq
temporal_lag,numeric,scell1_sinr
temporal_lag,numeric,lte_cqi
temporal_lag,numeric,lte_mcs
temporal_lag,numeric,lte_bler
temporal_lag,numeric,lte_rank
temporal_lag,numeric,lte_rb_count
temporal_lag,numeric,lte_agg_rb_dl
temporal_lag,numeric,rb_usage_value
temporal_lag,numeric,rb_utilization_pct_clipped
temporal_lag,numeric,estimated_available_rb
temporal_lag,numeric,scell1_cqi
temporal_lag,numeric,scell1_mcs
temporal_lag,numeric,scell1_bler
temporal_lag,numeric,scell1_rb_count
temporal_lag,numeric,download_activity_window_raw_flag
temporal_lag,numeric,download_analysis_window_flag
temporal_lag,numeric,inactive_download_context_flag
temporal_lag,numeric,rb_low_usage_flag
temporal_lag,numeric,rb_medium_or_high_usage_flag
temporal_lag,numeric,rb_high_usage_flag
temporal_lag,numeric,ml_tp_log_lag_1
temporal_lag,numeric,ml_tp_log_lag_2
temporal_lag,numeric,ml_tp_log_lag_3
temporal_lag,numeric,ml_tp_log_lag_5
temporal_lag,numeric,ml_tp_log_lag_10
temporal_lag,numeric,ml_tp_log_past_median_5
temporal_lag,numeric,ml_tp_log_past_mean_10
temporal_lag,numeric,ml_tp_log_past_slope_5
temporal_lag,numeric,ml_rsrp_lag_1
temporal_lag,numeric,ml_rsrp_past_mean_5
temporal_lag,numeric,ml_sinr_lag_1
temporal_lag,numeric,ml_sinr_past_mean_5
temporal_lag,numeric,ml_rb_lag_1
temporal_lag,numeric,ml_rb_past_mean_5
temporal_lag,numeric,ml_bler_lag_1
temporal_lag,numeric,ml_bler_past_mean_5
temporal_lag,numeric,ml_cqi_lag_1
temporal_lag,numeric,ml_cqi_past_mean_5
temporal_lag,numeric,ml_temporal_history_count
temporal_lag,categorical,serving_earfcn
temporal_lag,categorical,serving_band
temporal_lag,categorical,download_context_label
temporal_lag,categorical,rb_usage_bucket
temporal_lag,categorical,rb_demand_confidence_ml
temporal_lag,categorical,rb_capacity_estimation_method
lstm_temporal,numeric,session_elapsed_seconds
lstm_temporal,numeric,speed
lstm_temporal,numeric,distance_from_prev_m
lstm_temporal,numeric,lte_rsrp
lstm_temporal,numeric,lte_rsrq
lstm_temporal,numeric,lte_sinr
lstm_temporal,numeric,lte_rssi
lstm_temporal,numeric,lte_cqi
lstm_temporal,numeric,lte_mcs
lstm_temporal,numeric,lte_bler
lstm_temporal,numeric,lte_rank
lstm_temporal,numeric,lte_rb_count
lstm_temporal,numeric,lte_agg_rb_dl
lstm_temporal,numeric,rb_usage_value
lstm_temporal,numeric,rb_utilization_pct_clipped
lstm_temporal,numeric,carrier_count
lstm_temporal,numeric,lte_agg_bandwidth_dl
lstm_temporal,numeric,lte_bandwidth_dl
lstm_temporal,numeric,scell1_rsrp
lstm_temporal,numeric,scell1_rsrq
lstm_temporal,numeric,scell1_sinr
lstm_temporal,numeric,scell1_cqi
lstm_temporal,numeric,scell1_mcs
lstm_temporal,numeric,scell1_bler
lstm_temporal,numeric,scell1_rb_count
