dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values,is_protected,remove_reason
drive_raw,Activity.DAB,Activity,float64,0,32474,100.0,0,0.0,[],,,,,,True,100% missing
drive_raw,Activity.MSISDN,Activity,float64,0,32474,100.0,0,0.0,[],,,,,,True,100% missing
drive_raw,Activity.Round Trip Time,Activity,float64,0,32474,100.0,0,0.0,[],,,,,,True,100% missing
drive_raw,Activity.TCP Connection Time,Activity,float64,0,32474,100.0,0,0.0,[],,,,,,True,100% missing
drive_raw,Activity.DNS Resolution Time,Activity,float64,2,32472,99.994,2,100.0,"['117.77252289096776', '702.2598539449112']",117.77252289096776,702.2598539449112,410.0161884179395,413.29495530586996,,True,
drive_raw,Activity.Remote Address,Activity,object,2,32472,99.994,2,100.0,"['syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)', 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.5)']",,,,,"{'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)': 1, 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.5)': 1}",True,
drive_raw,Activity.Remote IPs,Activity,object,2,32472,99.994,2,100.0,"['syd.download.datapacket.com/143.244.62.9', 'syd.download.datapacket.com/143.244.62.9$$$$syd.download.datapacket.com/143.244.62.5']",,,,,"{'syd.download.datapacket.com/143.244.62.9': 1, 'syd.download.datapacket.com/143.244.62.9$$$$syd.download.datapacket.com/143.244.62.5': 1}",True,
drive_raw,Activity.Source Ports,Activity,object,2,32472,99.994,2,100.0,"['44460$$$$44464$$$$44470$$$$44262$$$$44274$$$$44284', '41372$$$$44640$$$$37408$$$$41804$$$$41818$$$$48212$$$$47388']",,,,,"{'44460$$$$44464$$$$44470$$$$44262$$$$44274$$$$44284': 1, '41372$$$$44640$$$$37408$$$$41804$$$$41818$$$$48212$$$$47388': 1}",True,
drive_raw,Activity.Sub Activity,Activity,object,2,32472,99.994,1,50.0,"['https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin']",,,,,{'https://syd.download.datapacket.com/10000mb.bin': 2},True,
drive_raw,Activity.TTFB,Activity,float64,2,32472,99.994,2,100.0,"['2007.66450087456', '10327.808959314789']",2007.66450087456,10327.808959314789,6167.736730094674,5883.230567014761,,True,
drive_raw,Activity.Error,Activity,object,23,32451,99.929,3,13.043,"['Call Block', 'Call Block', 'Call Block', 'Call Block', 'Call Block']",,,,,"{'Call Block': 20, 'Timeout': 2, 'Call Drop': 1}",True,
drive_raw,Throughput.HTTP_DL,Throughput,float64,185,32289,99.43,185,100.0,"['21.477179564202704', '22.576890766738636', '30.288802086945985', '28.401287672773872', '8.335631694605818']",-1.1626967741812537,115.63854394069958,30.991498087664553,17.99350095501933,,True,
drive_raw,Throughput.Physical_DL,Throughput,float64,185,32289,99.43,185,100.0,"['24.242401312003576', '26.339817839651463', '32.91918190153225', '31.206718139848036', '9.164465491091606']",-2.772817947139396,124.37755991867705,34.717038698289706,20.52917156056123,,True,
drive_raw,Activity.Band,Activity,object,239,32235,99.264,6,2.51,"['8.0', '8.0', '8.0', '8.0', '8.0']",,,,,"{'8.0': 220, '41.0': 8, '8': 6, '-': 2, '1.0': 2}",True,
drive_raw,Extra_KPIs.Attach Delay,Extra_KPIs,float64,253,32221,99.221,253,100.0,"['910.1225117061019', '1166.9330555678387', '821.4403442987286', '759.6527093697395', '891.2409468900591']",681.3824083483267,5373.494667420753,994.3740983963377,532.6747756050204,,True,
drive_raw,LTE - SecondaryCell 1 - SCell1_EARFCN_UL,LTE,float64,255,32219,99.215,255,100.0,"['40784.46852600128', '40977.478310717204', '40984.71647021294', '41002.44631302604', '40995.84885919698']",40750.70546935462,41401.86359401542,41069.21414402116,220.04030778178182,,True,
drive_raw,Activity.LCI,Activity,object,267,32207,99.178,128,47.94,"['321.0', '321.0', '207.0', '168.0', '211.0']",,,,,"{'168.0': 6, '225.0': 6, '204.0': 6, '305.0': 6, '211.0': 5}",True,
drive_raw,Activity.ARFCN,Activity,float64,269,32205,99.172,269,100.0,"['3166.4920812807773', '3271.3204139690015', '3188.733249567441', '2862.2636883172427', '2896.926889376203']",-196.85716958546828,41670.59873382521,3766.8988427978707,6204.50655539664,,True,
drive_raw,Activity.Private IP,Activity,object,269,32205,99.172,241,89.591,"['10.39.241.237', '10.49.17.239', '10.29.21.111', '10.29.25.251', '10.49.38.44']",,,,,"{'10.49.137.227': 3, '10.29.244.183': 3, '10.49.217.5': 2, '10.49.241.91': 2, '10.39.38.194': 2}",True,
drive_raw,Activity.Activity,Activity,object,271,32203,99.165,2,0.738,"['MO Call', 'MO Call', 'MO Call', 'MO Call', 'MO Call']",,,,,"{'MO Call': 269, 'HTTP/HTTPS Download': 2}",True,
drive_raw,Activity.Connection Reset,Activity,float64,271,32203,99.165,271,100.0,"['-1.9215400332969286e-10', '8.698535099062118e-10', '5.294942111068478e-10', '1.0375945010393484e-09', '-5.55444928675161e-10']",-3.174014989275327e-09,3.061934215144882e-09,2.4958674351797188e-11,1.0127786585717853e-09,,True,
drive_raw,Activity.Duplicated ACK,Activity,float64,271,32203,99.165,271,100.0,"['2.470974395569421e-10', '5.900446896356545e-10', '-4.402559711463243e-10', '-5.364872328895752e-10', '1.2103495061495265e-09']",-2.723740808982293e-09,2.7287434604909573e-09,-1.5388967639589503e-12,9.751581417157132e-10,,True,
drive_raw,Activity.Duration,Activity,float64,271,32203,99.165,271,100.0,"['103650.34290571032', '105006.55185625542', '104213.59662119384', '103557.38429127357', '103062.91117858002']",5551.615243212676,180673.94682494414,102943.44588210569,12638.140434682693,,True,
drive_raw,Activity.End TimeStamp,Activity,object,271,32203,99.165,271,100.0,"['2025-08-25T02:15:24.901000+02:00', '2025-08-25T02:19:18.333000+02:00', '2025-08-25T02:21:23.646000+02:00', '2025-08-25T02:23:26.999000+02:00', '2025-08-25T02:25:31.151000+02:00']",,,,,"{'2025-08-25T02:15:24.901000+02:00': 1, '2025-08-25T02:19:18.333000+02:00': 1, '2025-08-25T02:21:23.646000+02:00': 1, '2025-08-25T02:23:26.999000+02:00': 1, '2025-08-25T02:25:31.151000+02:00': 1}",True,
drive_raw,Activity.Fast Retransmission,Activity,float64,271,32203,99.165,271,100.0,"['9.322124642613475e-10', '2.335128244082802e-09', '3.328221940213495e-11', '-1.2017032233456455e-10', '5.121814153130074e-10']",-2.11055104640603e-09,2.423481818240132e-09,4.586703910757674e-11,9.904998914732903e-10,,True,
drive_raw,Activity.Out of Order,Activity,float64,271,32203,99.165,271,100.0,"['-5.34942810447724e-10', '1.2410938614927125e-09', '-1.1026725633851991e-09', '3.5408903821728684e-10', '1.2634847676048288e-10']",-2.9462639293669165e-09,2.5738055167117893e-09,-7.42911827215773e-11,9.961968454545978e-10,,True,
drive_raw,Activity.Packet Loss Rate,Activity,float64,271,32203,99.165,271,100.0,"['1.1669290384592525e-09', '-1.1630913307497986e-09', '-2.582698248985284e-10', '2.954673843087012e-10', '-1.9455976352303784e-09']",-2.6463543666140473e-09,2.706740692975581e-09,-3.2470960815047063e-12,9.308512237492179e-10,,True,
drive_raw,Activity.Power,Activity,float64,271,32203,99.165,271,100.0,"['-87.037729112073', '-85.50732997968373', '-79.5615228913959', '-66.76248966676707', '-67.02669732146367']",-107.9284201760434,-57.17148693158528,-75.82336764329366,7.645197514881969,,True,
drive_raw,Activity.Public IP,Activity,object,271,32203,99.165,173,63.838,"['82.132.246.198', '82.132.212.215', '82.132.233.116', '82.132.228.223', '82.132.223.12']",,,,,"{'No Network Available': 56, '102.218.86.139': 5, '82.132.233.116': 3, '82.132.228.223': 3, '27.123.173.16': 3}",True,
drive_raw,Activity.Quality,Activity,float64,271,32203,99.165,271,100.0,"['-11.706504126265278', '-13.428408849188289', '-9.21262286406677', '-8.18016034195169', '-7.900152766547287']",-13.609769877367246,0.16301288090171645,-8.810167707443137,2.836579741794738,,True,
drive_raw,Activity.SINR,Activity,float64,271,32203,99.165,271,100.0,"['6.645258653853402', '5.560405426315766', '8.563521182633494', '11.950171280674287', '6.616308177564102']",-1.8914006563575603,19.7786189231908,9.395000712652058,3.8336469473298957,,True,
drive_raw,Activity.Size,Activity,float64,271,32203,99.165,271,100.0,"['2950.132894705027', '-2245.087607620914', '-7305.37139011458', '5974.482541623864', '-47.0308442311258']",-8662.622291703496,747024.8205750145,9129.561629564203,63166.703839612084,,True,
drive_raw,Activity.Spurious Retransmission,Activity,float64,271,32203,99.165,271,100.0,"['-1.8194886421936348e-09', '1.7855732131838392e-09', '-1.3421498067531e-09', '6.429976688186288e-10', '4.4695451536890254e-10']",-3.735083345352495e-09,2.4958621777697745e-09,6.756624602480583e-11,9.637261814921014e-10,,True,
drive_raw,Activity.Start TimeStamp,Activity,object,271,32203,99.165,271,100.0,"['2025-08-25T02:13:41.754000+02:00', '2025-08-25T02:17:33.189000+02:00', '2025-08-25T02:19:38.479000+02:00', '2025-08-25T02:21:43.859000+02:00', '2025-08-25T02:23:47.011000+02:00']",,,,,"{'2025-08-25T02:13:41.754000+02:00': 1, '2025-08-25T02:17:33.189000+02:00': 1, '2025-08-25T02:19:38.479000+02:00': 1, '2025-08-25T02:21:43.859000+02:00': 1, '2025-08-25T02:23:47.011000+02:00': 1}",True,
drive_raw,Activity.Status,Activity,object,271,32203,99.165,2,0.738,"['Success', 'Success', 'Success', 'Success', 'Success']",,,,,"{'Success': 248, 'Failed': 23}",True,
drive_raw,Activity.TCP Window Update,Activity,float64,271,32203,99.165,271,100.0,"['8.28524405266053e-10', '-1.419686046630253e-09', '2.3997605346234897e-09', '-2.0848492797568302e-10', '-8.624345683486446e-11']",-3.0067519953775514e-09,2.766250957060326e-09,-5.6140039333097344e-11,1.0681363144906247e-09,,True,
drive_raw,Activity.Tech,Activity,object,271,32203,99.165,8,2.952,"['HSPA+', 'HSPA+', 'HSPA+', 'HSPA+', 'HSPA+']",,,,,"{'HSPA+': 222, 'HSPA': 19, 'WCDMA': 14, 'LTE CA2': 6, 'LTE CA1': 4}",True,
drive_raw,Activity.Throughput,Activity,float64,271,32203,99.165,271,100.0,"['-97.59904662467497', '-13.324436828611312', '66.0837961180796', '116.11897661035215', '73.36185592808876']",-398.6691499318763,33384.971245567824,556.2291659689438,2935.3179399678834,,True,
drive_raw,Activity.Throughput WIFI,Activity,float64,271,32203,99.165,271,100.0,"['16.417620215085716', '1.2951062221616914', '39.24958983576041', '8.077748001448601', '-18.62484489068393']",-131.81652206955934,9116.252820266775,213.48290868286745,996.0580667664802,,True,
drive_raw,Extra_KPIs.RRC Connection Setup Time,Extra_KPIs,float64,271,32203,99.165,271,100.0,"['232.9408945063988', '386.32542300852936', '356.94118549679325', '222.51771684467604', '199.06191567940925']",-20.664442126329412,1621.8699908441695,297.83815101918833,234.3869585380137,,True,
