anomaly_episode_id,id,route_label,test_type,start_time,end_time,rows,dominant_type,max_score,mean_score,min_actual_tp,median_actual_tp,median_expected_tp,median_expected_radio_p75,median_expected_rb_conditioned_p75,expected_radio_confidence_mode,expected_rb_confidence_mode,min_ratio,min_rb_ratio,median_rb_usage,rb_usage_bucket_mode,rb_demand_confidence_mode,median_throughput_per_rb,primary_serving_pci,primary_earfcn,primary_band,mean_rsrp,mean_sinr,serving_pci_count,duration_seconds,any_event_near_rows,any_event_near_rows_pct,any_event_event_count_sum,measurement_report_event_near_rows,measurement_report_event_near_rows_pct,measurement_report_event_event_count_sum,handover_execution_near_rows,handover_execution_near_rows_pct,handover_execution_event_count_sum,handover_failure_near_rows,handover_failure_near_rows_pct,handover_failure_event_count_sum,rach_attempt_near_rows,rach_attempt_near_rows_pct,rach_attempt_event_count_sum,rach_failure_near_rows,rach_failure_near_rows_pct,rach_failure_event_count_sum,ca_activation_change_near_rows,ca_activation_change_near_rows_pct,ca_activation_change_event_count_sum,failure_other_near_rows,failure_other_near_rows_pct,failure_other_event_count_sum,max_speed,min_distance_from_prev_m,max_distance_from_prev_m,max_severity
LTE-TP-EP-000049,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:45:35+02:00,2025-08-26 23:45:35+02:00,1,radio_limited_degradation,94.1,94.1,0.5,0.5,108.961,108.961,50.825,high,not_available_or_sparse,0.005,0.01,3.035,low_rb_usage,low_or_uncertain,0.165,149.61112979929803,39619.66892537369,42.651471837825206,-105.055,16.395,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.353,849.937,849.937,High
LTE-TP-EP-000039,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:37+02:00,2025-08-26 23:43:37+02:00,1,sudden_drop,93.9,93.9,0.649,0.649,106.145,106.145,50.825,high,not_available_or_sparse,0.006,0.013,0.41,low_rb_usage,low_or_uncertain,1.582,144.86572344692485,39998.261505414855,41.194187857083094,-97.938,20.341,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,38.739,153.078,153.078,High
LTE-TP-EP-000050,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:45:43+02:00,2025-08-26 23:45:43+02:00,1,sudden_drop,93.8,93.8,0.897,0.897,80.596,80.596,50.825,medium,not_available_or_sparse,0.011,0.018,65.164,low_rb_usage,low_or_uncertain,0.014,140.62933831547522,41943.90016169486,40.57996370027506,-102.227,13.913,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.131,332.083,332.083,High
LTE-TP-EP-000023,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:41:36+02:00,2025-08-26 23:41:36+02:00,1,radio_limited_degradation,93.6,93.6,0.222,0.222,62.465,62.465,50.825,high,not_available_or_sparse,0.004,0.004,24.158,low_rb_usage,low_or_uncertain,0.009,298.6086892967707,41444.12221932226,39.98776774052094,-105.852,5.391,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.446,522.125,522.125,High
LTE-TP-EP-000034,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:04+02:00,2025-08-26 23:43:04+02:00,1,rb_efficiency_underperformance,93.6,93.6,1.4,1.4,62.465,62.465,68.421,high,medium,0.022,0.02,106.09,medium_rb_usage,medium,0.013,134.91628957100428,42229.439987345606,40.30445139579159,-111.71,8.244,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8.167,93.225,93.225,Critical
LTE-TP-EP-000013,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:39:49+02:00,2025-08-26 23:39:50+02:00,2,ca_underperformance,92.6,84.9,5.075,8.266,62.465,62.465,67.177,high,high,0.081,0.077,165.105,high_rb_usage,high,0.051,289.9762236884399,40279.69684862522,41.73898512403283,-107.936,5.656,2,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.096,1153.842,1153.842,High
LTE-TP-EP-000042,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:52+02:00,2025-08-26 23:43:52+02:00,1,sudden_drop,91.3,91.3,6.908,6.908,106.145,106.145,50.825,high,not_available_or_sparse,0.065,0.136,58.157,low_rb_usage,low_or_uncertain,0.119,150.50945868626354,42156.41039850406,39.08681575007839,-99.84,20.368,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,38.92,335.437,335.437,High
LTE-TP-EP-000009,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:39:20+02:00,2025-08-26 23:39:21+02:00,2,rb_efficiency_underperformance,89.9,85.0,1.782,4.952,49.389,49.389,57.561,high,high,0.049,0.038,119.335,medium_rb_usage,medium,0.038,275.9911311829387,41339.44257763383,40.87799289236326,-106.477,7.333,2,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.271,152.694,1059.156,High
LTE-TP-EP-000021,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:41:14+02:00,2025-08-26 23:41:14+02:00,1,radio_limited_degradation,89.6,89.6,0.339,0.339,36.313,36.313,24.64,high,high,0.009,0.014,-0.035,low_rb_usage,low_or_uncertain,-9.827,287.37994585447046,42255.30857914681,40.68098704600575,-108.281,8.69,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.311,382.936,382.936,High
LTE-TP-EP-000028,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:42:09+02:00,2025-08-26 23:42:13+02:00,4,radio_limited_degradation,89.5,72.825,2.289,6.018,49.819,49.819,47.567,high,medium,0.062,0.07,121.308,low_rb_usage,low_or_uncertain,0.062,300.1414947082862,40153.99027626169,40.411791484811424,-111.017,4.617,4,4.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.632,242.051,818.866,High
