id,Activity.Activity,Activity.Status,Activity.Tech,download_raw_start_utc,download_raw_end_utc,download_analysis_start_utc,download_analysis_end_utc,raw_duration_seconds,analysis_duration_seconds
542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 21:37:50.113000+00:00,2025-08-26 21:40:50.246000+00:00,2025-08-26 21:37:55.113000+00:00,2025-08-26 21:40:48.246000+00:00,180.133,173.133
542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 21:40:51.209000+00:00,2025-08-26 21:43:51.333000+00:00,2025-08-26 21:40:56.209000+00:00,2025-08-26 21:43:49.333000+00:00,180.124,173.124
542020041221088+20250827095105+Fiji-Nadi-LTE-DL-D!20250827094821,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 21:43:52.325000+00:00,2025-08-26 21:46:52.420000+00:00,2025-08-26 21:43:57.325000+00:00,2025-08-26 21:46:50.420000+00:00,180.095,173.095
542020041221088+20250827095145+Fiji-Nadi-LTE-DL-D!20250827095034,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 21:46:53.434000+00:00,2025-08-26 21:49:53.560000+00:00,2025-08-26 21:46:58.434000+00:00,2025-08-26 21:49:51.560000+00:00,180.126,173.126
542020041221088+20250827095225+Fiji-Nadi-LTE-DL-D!20250827095140,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 21:49:54.565000+00:00,2025-08-26 21:51:40.643000+00:00,2025-08-26 21:49:59.565000+00:00,2025-08-26 21:51:38.643000+00:00,106.078,99.078
542020041221088+20250827100005+Fiji-Nadi-LTE-DL-D!20250827095853,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 21:54:49.511000+00:00,2025-08-26 21:57:49.619000+00:00,2025-08-26 21:54:54.511000+00:00,2025-08-26 21:57:47.619000+00:00,180.108,173.108
542020041221088+20250827100145+Fiji-Nadi-LTE-DL-D!20250827100105,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 21:57:50.626000+00:00,2025-08-26 22:00:50.723000+00:00,2025-08-26 21:57:55.626000+00:00,2025-08-26 22:00:48.723000+00:00,180.097,173.097
542020041221088+20250827100525+Fiji-Nadi-LTE-DL-D!20250827100437,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:00:51.713000+00:00,2025-08-26 22:03:51.812000+00:00,2025-08-26 22:00:56.713000+00:00,2025-08-26 22:03:49.812000+00:00,180.099,173.099
542020041221088+20250827102346+Fiji-Nadi-LTE-DL-D!20250827102142,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:17:39.409000+00:00,2025-08-26 22:20:39.514000+00:00,2025-08-26 22:17:44.409000+00:00,2025-08-26 22:20:37.514000+00:00,180.105,173.105
542020041221088+20250827102526+Fiji-Nadi-LTE-DL-D!20250827102354,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:20:40.524000+00:00,2025-08-26 22:23:40.633000+00:00,2025-08-26 22:20:45.524000+00:00,2025-08-26 22:23:38.633000+00:00,180.109,173.109
542020041221088+20250827102926+Fiji-Nadi-LTE-DL-D!20250827102813,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 22:23:41.644000+00:00,2025-08-26 22:26:41.744000+00:00,2025-08-26 22:23:46.644000+00:00,2025-08-26 22:26:39.744000+00:00,180.1,173.1
542020041221088+20250827103246+Fiji-Nadi-LTE-DL-D!20250827103001,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:26:42.739000+00:00,2025-08-26 22:29:42.833000+00:00,2025-08-26 22:26:47.739000+00:00,2025-08-26 22:29:40.833000+00:00,180.094,173.094
542020041221088+20250827103246+Fiji-Nadi-LTE-DL-D!20250827103001,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:29:43.839000+00:00,2025-08-26 22:30:01.871000+00:00,2025-08-26 22:29:48.839000+00:00,2025-08-26 22:29:59.871000+00:00,18.032,11.032
542020041221088+20250827104126+Fiji-Nadi-LTE-DL-D!20250827104054,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:36:51.372000+00:00,2025-08-26 22:39:51.482000+00:00,2025-08-26 22:36:56.372000+00:00,2025-08-26 22:39:49.482000+00:00,180.11,173.11
542020041221088+20250827104347+Fiji-Nadi-LTE-DL-D!20250827104305,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 22:39:52.476000+00:00,2025-08-26 22:42:52.596000+00:00,2025-08-26 22:39:57.476000+00:00,2025-08-26 22:42:50.596000+00:00,180.12,173.12
542020041221088+20250827105427+Fiji-Nadi-LTE-DL-D!20250827104733,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:42:53.610000+00:00,2025-08-26 22:45:53.719000+00:00,2025-08-26 22:42:58.610000+00:00,2025-08-26 22:45:51.719000+00:00,180.109,173.109
542020041221088+20250827105947+Fiji-Nadi-LTE-DL-D!20250827104944,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:45:54.735000+00:00,2025-08-26 22:48:54.837000+00:00,2025-08-26 22:45:59.735000+00:00,2025-08-26 22:48:52.837000+00:00,180.102,173.102
542020041221088+20250827110227+Fiji-Nadi-LTE-DL-D!20250827105156,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:48:55.857000+00:00,2025-08-26 22:51:55.958000+00:00,2025-08-26 22:49:00.857000+00:00,2025-08-26 22:51:53.958000+00:00,180.101,173.101
542020041221088+20250827111028+Fiji-Nadi-LTE-DL-D!20250827105621,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 22:51:56.958000+00:00,2025-08-26 22:54:57.054000+00:00,2025-08-26 22:52:01.958000+00:00,2025-08-26 22:54:55.054000+00:00,180.096,173.096
