metric,value,qc_note
flagged_rows,8086.0,Number of anomaly rows used for score-distribution checks.
score_p10,37.0,Flagged-score percentile.
score_p25,41.8,Flagged-score percentile.
score_p50,57.0,Flagged-score percentile.
score_p75,70.1,Flagged-score percentile.
score_p80,73.9,Flagged-score percentile.
score_p90,87.0,Flagged-score percentile.
score_p95,92.9,Flagged-score percentile.
score_p99,94.1,Flagged-score percentile.
severity_pct_Medium,47.255,Share of flagged rows by severity.
severity_pct_High,46.982,Share of flagged rows by severity.
severity_pct_Low,5.664,Share of flagged rows by severity.
severity_pct_Critical,0.099,Share of flagged rows by severity.
pct_exact_low_rb_cap,0.012,Share of flagged scores exactly at the low-RB cap.
pct_exact_soft_cap,0.0,Share of flagged scores exactly at the non-catastrophic soft cap.
