anomaly_type,anomaly_severity,anomalies,episodes,mean_score,mean_actual_tp,mean_expected_tp,mean_expected_radio_p75,mean_expected_rb_conditioned_p75,mean_rb_usage,mean_throughput_per_rb,mean_gap
radio_limited_degradation,High,1164,653,73.95,3.804,52.298,52.298,22.538,46.473,0.071,48.494
radio_limited_degradation,Medium,770,429,47.405,10.342,22.662,22.662,18.238,71.865,0.146,12.32
sudden_drop,High,758,739,77.642,6.427,73.788,73.788,33.381,56.249,0.114,67.361
sudden_drop,Medium,714,708,52.714,24.932,54.458,54.458,45.195,99.775,0.252,29.526
rolling_local_drop,High,538,444,77.633,6.087,72.355,72.355,29.941,51.816,0.111,66.268
ca_underperformance,High,538,405,71.41,8.639,56.176,56.176,59.272,153.833,0.056,47.538
rb_conditioned_underperformance,High,402,362,65.208,25.538,91.852,91.852,102.801,168.57,0.152,66.314
rolling_local_drop,Medium,321,304,53.035,23.926,58.562,58.562,44.375,96.748,0.26,34.635
sustained_low_throughput_window,Medium,217,118,45.971,6.948,25.057,25.057,22.879,93.608,0.075,18.109
rb_conditioned_underperformance,Medium,195,176,57.48,22.816,88.509,88.509,86.524,139.815,0.165,65.694
rb_efficiency_underperformance,High,179,133,72.065,5.804,27.597,27.597,33.569,151.832,0.039,21.794
sustained_low_throughput_window,High,157,90,70.634,3.904,56.383,56.383,36.467,97.866,0.04,52.48
radio_p75_underperformance,Medium,136,119,57.47,31.152,104.95,104.95,84.55,143.015,0.22,73.798
ca_underperformance,Medium,84,77,56.925,12.382,49.972,49.972,47.419,144.81,0.086,37.589
radio_p75_underperformance,High,36,35,61.453,30.021,99.04,99.04,84.972,146.528,0.209,69.018
ca_underperformance,Critical,7,7,91.757,1.325,82.257,82.257,84.487,159.714,0.009,80.933
rb_efficiency_underperformance,Critical,1,1,100.0,0.737,62.203,62.203,47.696,138.0,0.005,61.466
