family,columns,avg_missing_pct,min_missing_pct,max_missing_pct,zero_missing_columns,fully_missing_columns,above_threshold_missing
LTE,124,52.053,41.725,88.882,0,0,5
WCDMA,42,62.075,59.969,64.969,0,0,0
Activity,33,99.376,99.284,99.717,0,0,33
Extra_KPIs,7,88.68,65.13,99.604,0,0,5
Events,6,60.505,56.826,69.816,0,0,0
Location,5,0.0,0.0,0.0,5,0,0
Throughput,2,80.599,80.599,80.599,0,0,2
activity_duration_seconds_from_timestamps,1,99.284,99.284,99.284,0,0,1
distance_from_prev_m,1,0.841,0.841,0.841,0,0,0
prev_lat,1,0.841,0.841,0.841,0,0,0
prev_lon,1,0.841,0.841,0.841,0,0,0
sample_gap_seconds,1,0.841,0.841,0.841,0,0,0
date,1,0.0,0.0,0.0,1,0,0
has_valid_location,1,0.0,0.0,0.0,1,0,0
hour,1,0.0,0.0,0.0,1,0,0
id,1,0.0,0.0,0.0,1,0,0
id_imsi,1,0.0,0.0,0.0,1,0,0
id_location_label,1,0.0,0.0,0.0,1,0,0
id_log_time,1,0.0,0.0,0.0,1,0,0
id_log_time_raw,1,0.0,0.0,0.0,1,0,0
id_route_test_label,1,0.0,0.0,0.0,1,0,0
id_session_time,1,0.0,0.0,0.0,1,0,0
id_session_time_raw,1,0.0,0.0,0.0,1,0,0
id_test_type,1,0.0,0.0,0.0,1,0,0
imsi,1,0.0,0.0,0.0,1,0,0
minute,1,0.0,0.0,0.0,1,0,0
session_elapsed_seconds,1,0.0,0.0,0.0,1,0,0
timestamp,1,0.0,0.0,0.0,1,0,0
