independent_trigger_count,context_flag_count,rows,anomaly_rows,mean_score,median_score,median_tp
0,0,18676,0,0.0,0.0,65.806
0,1,3547,0,0.0,0.0,27.633
0,2,763,0,0.0,0.0,20.434
0,3,863,0,0.0,0.0,17.12
0,4,287,0,0.0,0.0,13.598
0,5,16,0,0.0,0.0,12.53
1,0,478,478,50.197,52.0,30.429
1,1,391,391,50.408,50.0,18.121
1,2,872,872,45.22,40.6,8.837
1,3,1220,1220,56.789,57.0,12.014
1,4,1030,1030,43.161,40.2,3.99
1,5,847,847,55.136,54.8,3.298
1,6,346,346,47.454,41.0,2.974
1,7,176,176,58.63,57.4,4.269
1,8,24,24,70.462,73.55,2.187
2,0,26,26,55.838,53.5,8.442
2,1,77,77,61.906,60.1,5.808
2,2,283,283,61.276,60.5,6.561
2,3,574,574,70.614,68.85,10.506
2,4,492,492,79.382,84.8,3.199
2,5,581,581,81.293,88.1,2.547
2,6,162,162,84.038,89.65,1.557
2,7,38,38,81.534,81.2,3.038
2,8,3,3,91.9,94.0,0.61
3,0,2,2,66.5,66.5,6.055
3,1,18,18,69.083,67.7,5.778
3,2,7,7,66.957,64.5,7.014
3,3,140,140,69.884,66.5,7.744
3,4,17,17,72.894,70.7,5.866
3,5,69,69,71.977,68.5,5.786
3,6,2,2,78.05,78.05,3.779
4,2,4,4,76.425,77.6,5.039
4,3,182,182,80.07,82.05,5.871
4,4,6,6,89.4,89.75,3.597
4,5,19,19,76.105,77.7,6.133
