column,feature_type
ml_hour_sin,numeric
ml_hour_cos,numeric
session_elapsed_seconds,numeric
speed,numeric
location_accuracy,numeric
altitude,numeric
distance_from_prev_m,numeric
lte_rsrp,numeric
lte_rsrq,numeric
lte_sinr,numeric
lte_rssi,numeric
carrier_count,numeric
lte_agg_bandwidth_dl,numeric
lte_bandwidth_dl,numeric
scell1_rsrp,numeric
scell1_rsrq,numeric
scell1_sinr,numeric
neighbor_count,numeric
best_neighbor_rsrp,numeric
strong_neighbor_count,numeric
serving_minus_best_neighbor_rsrp,numeric
neighbor_pci_count,numeric
serving_earfcn,categorical
serving_band,categorical
id_test_type,categorical
ca_condition_label,categorical
