incident_id,session_id,start_time,end_time,serving_cell_key,serving_pci,detection_case,priority_score_0_100,impact_score_0_100,detection_confidence_0_100,severity,requires_human_review
INC-000794,542020041221088+20250828124043+Fiji-Nadi-LTE-DL-D!20250828124009,2025-08-28 02:38:34+02:00,2025-08-28 02:38:36+02:00,ECI:3642943.0,313.0,ca_underperformance,97.83,96.06,100.0,High,False
INC-000337,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,2025-08-27 03:05:08+02:00,2025-08-27 03:05:08+02:00,ECI:1072704.0,395.0,ca_underperformance,97.6,98.1,97.0,Critical,False
INC-000659,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,2025-08-28 00:49:04+02:00,2025-08-28 00:49:04+02:00,ECI:1078590.0,163.0,ca_underperformance,96.95,94.46,100.0,Critical,False
INC-000345,542020041221088+20250827134247+Fiji-Nadi-LTE-DL-D!20250827130749,2025-08-27 03:06:58+02:00,2025-08-27 03:06:59+02:00,ECI:1072702.0,394.0,radio_limited_degradation,94.38,89.79,100.0,Critical,False
INC-000413,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,2025-08-27 03:41:27+02:00,2025-08-27 03:41:35+02:00,ECI:1069373.0,135.0,radio_limited_degradation,92.71,97.63,89.28,High,False
INC-000521,542020041221088+20250827151812+Fiji-Nadi-LTE-DL-D!20250827151738,2025-08-27 05:15:56+02:00,2025-08-27 05:16:10+02:00,ECI:1068575.0,122.0,radio_limited_degradation,92.47,95.8,100.0,High,False
INC-000881,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,2025-08-28 03:13:40+02:00,2025-08-28 03:13:40+02:00,ECI:3638848.0,254.0,temporal_local_drop,91.2,88.63,94.33,Critical,False
INC-000331,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,2025-08-27 03:04:10+02:00,2025-08-27 03:04:10+02:00,ECI:1065535.0,394.0,temporal_local_drop,90.68,91.61,89.55,Critical,False
INC-000913,542020041221088+20250828133556+Fiji-Nadi-LTE-DL-D!20250828132602,2025-08-28 03:24:27+02:00,2025-08-28 03:24:28+02:00,ECI:3638807.0,253.0,temporal_local_drop,89.92,86.5,95.52,High,False
INC-000644,542020041221088+20250828104547+Fiji-Nadi-LTE-DL-D!20250828104505,2025-08-28 00:44:54+02:00,2025-08-28 00:44:54+02:00,ECI:3643082.0,312.0,temporal_sudden_drop,77.76,60.91,98.36,High,False
INC-001037,542020041221088+20250828144319+Fiji-Nadi-LTE-DL-D!20250828144243,2025-08-28 04:42:29+02:00,2025-08-28 04:42:29+02:00,ECI:1081652.0,356.0,rb_conditioned_expected_underperformance,72.86,69.8,76.59,High,False
INC-000148,542020041221088+20250827112649+Fiji-Nadi-LTE-DL-D!20250827110516,2025-08-27 01:04:21+02:00,2025-08-27 01:04:21+02:00,ECI:1067325.0,108.0,rb_conditioned_expected_underperformance,72.08,70.21,74.36,High,False
INC-000241,542020041221088+20250827123738+Fiji-Nadi-LTE-DL-D!20250827115101,2025-08-27 01:49:12+02:00,2025-08-27 01:49:12+02:00,ECI:1066816.0,157.0,temporal_sudden_drop,71.87,58.05,88.76,High,False
INC-000302,542020041221088+20250827132825+Fiji-Nadi-LTE-DL-D!20250827122826,2025-08-27 02:27:40+02:00,2025-08-27 02:27:41+02:00,ECI:1064759.0,149.0,radio_condition_expected_underperformance,64.48,56.33,74.44,Medium,False
INC-000970,542020041221088+20250828140157+Fiji-Nadi-LTE-DL-D!20250828135953,2025-08-28 03:58:42+02:00,2025-08-28 03:58:43+02:00,ECI:1080085.0,196.0,radio_condition_expected_underperformance,62.74,61.69,65.42,Medium,False
