id,timestamp,id_route_test_label,id_test_type,Activity.Remote IPs,Activity.Source Ports,Activity.TTFB,Activity.DNS Resolution Time,Activity.Remote Address,Activity.Sub Activity,Activity.Error,Activity.Band,Activity.LCI,Activity.ARFCN,Activity.Private IP,Activity.Activity,Activity.Connection Reset,Activity.Duplicated ACK,Activity.Duration,Activity.End TimeStamp,Activity.Fast Retransmission,Activity.Out of Order,Activity.Packet Loss Rate,Activity.Power,Activity.Public IP,Activity.Quality,Activity.SINR,Activity.Size,Activity.Spurious Retransmission,Activity.Start TimeStamp,Activity.Status,Activity.TCP Window Update,Activity.Tech,Activity.Throughput,Activity.Throughput WIFI,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:15:24+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,321.0,3087.0,10.39.241.237,MO Call,0.0,0.0,103147.0,2025-08-25T02:15:24.901000+02:00,0.0,0.0,0.0,-86.77,82.132.246.198,-11.72,6.58,1234.0,0.0,2025-08-25T02:13:41.754000+02:00,Success,0.0,HSPA+,88.0,0.0,2025-08-25 02:13:41.754000+02:00,2025-08-25 02:15:24.901000+02:00
542020041221088+20250825122130+Fiji-Nadi-MO-D!20250825121929,2025-08-25 02:19:18+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,321.0,3066.0,10.49.17.239,MO Call,0.0,0.0,105144.0,2025-08-25T02:19:18.333000+02:00,0.0,0.0,0.0,-85.33,82.132.212.215,-13.44,5.56,511.0,0.0,2025-08-25T02:17:33.189000+02:00,Success,0.0,HSPA+,32.0,0.0,2025-08-25 02:17:33.189000+02:00,2025-08-25 02:19:18.333000+02:00
542020041221088+20250825122951+Fiji-Nadi-MO-D!20250825122134,2025-08-25 02:21:23+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,207.0,3087.0,10.29.21.111,MO Call,0.0,0.0,105168.0,2025-08-25T02:21:23.646000+02:00,0.0,0.0,0.0,-79.26,82.132.233.116,-8.98,8.37,738.0,0.0,2025-08-25T02:19:38.479000+02:00,Success,0.0,HSPA+,56.0,0.0,2025-08-25 02:19:38.479000+02:00,2025-08-25 02:21:23.646000+02:00
542020041221088+20250825123812+Fiji-Nadi-MO-D!20250825122338,2025-08-25 02:23:26+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,168.0,3066.0,10.29.25.251,MO Call,0.0,0.0,103140.0,2025-08-25T02:23:26.999000+02:00,0.0,0.0,0.0,-67.06,82.132.228.223,-8.16,12.42,906.0,0.0,2025-08-25T02:21:43.859000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 02:21:43.859000+02:00,2025-08-25 02:23:26.999000+02:00
542020041221088+20250825124252+Fiji-Nadi-MO-D!20250825122542,2025-08-25 02:25:31+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3087.0,10.49.38.44,MO Call,0.0,0.0,104140.0,2025-08-25T02:25:31.151000+02:00,0.0,0.0,0.0,-67.01,82.132.223.12,-8.02,6.51,886.0,0.0,2025-08-25T02:23:47.011000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 02:23:47.011000+02:00,2025-08-25 02:25:31.151000+02:00
542020041221088+20250825124333+Fiji-Nadi-MO-D!20250825122745,2025-08-25 02:27:34+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3066.0,10.49.42.86,MO Call,0.0,0.0,103172.0,2025-08-25T02:27:34.200000+02:00,0.0,0.0,0.0,-73.32,82.132.236.54,-10.72,14.35,930.0,0.0,2025-08-25T02:25:51.028000+02:00,Success,0.0,HSPA,72.0,0.0,2025-08-25 02:25:51.028000+02:00,2025-08-25 02:27:34.200000+02:00
542020041221088+20250825124413+Fiji-Nadi-MO-D!20250825122953,2025-08-25 02:29:42+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3087.0,10.49.46.158,MO Call,0.0,0.0,108153.0,2025-08-25T02:29:42.429000+02:00,0.0,0.0,0.0,-87.71,82.132.229.162,-12.43,10.6,948.0,0.0,2025-08-25T02:27:54.277000+02:00,Success,0.0,HSPA,64.0,0.0,2025-08-25 02:27:54.277000+02:00,2025-08-25 02:29:42.429000+02:00
542020041221088+20250825124814+Fiji-Nadi-MO-D!20250825123159,2025-08-25 02:31:48+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3087.0,10.49.50.198,MO Call,0.0,0.0,105132.0,2025-08-25T02:31:48.137000+02:00,0.0,0.0,0.0,-86.15,197.231.207.229,-9.91,8.54,935.0,0.0,2025-08-25T02:30:03.005000+02:00,Success,0.0,HSPA,64.0,0.0,2025-08-25 02:30:03.005000+02:00,2025-08-25 02:31:48.137000+02:00
542020041221088+20250825125635+Fiji-Nadi-MO-D!20250825123404,2025-08-25 02:33:53+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3066.0,10.29.47.163,MO Call,0.0,0.0,105146.0,2025-08-25T02:33:53.748000+02:00,0.0,0.0,0.0,-65.28,156.175.7.142,-10.43,13.59,1158.0,0.0,2025-08-25T02:32:08.602000+02:00,Success,0.0,HSPA,88.0,0.0,2025-08-25 02:32:08.602000+02:00,2025-08-25 02:33:53.748000+02:00
542020041221088+20250825133001+Fiji-Nadi-MO-D!20250825123609,2025-08-25 02:35:58+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,410.0,3066.0,10.59.218.44,MO Call,0.0,0.0,103148.0,2025-08-25T02:35:58.764000+02:00,0.0,0.0,0.0,-78.19,82.132.233.116,-10.37,12.37,1052.0,0.0,2025-08-25T02:34:15.616000+02:00,Success,0.0,HSPA,80.0,0.0,2025-08-25 02:34:15.616000+02:00,2025-08-25 02:35:58.764000+02:00
