Events.titles,event_count
Event A3,5758
Event A1,4980
LTE CA Init,4365
LTE CA Complete,4363
UMTS AS Update Attempt,4187
UMTS AS Update Complete,4187
LTE RACH Msg1,4168
Event A6,3734
Event 1A,3493
LTE RACH Msg3,2959
LTE RACH Msg2,2959
LTE RACH Attempt,2944
LTE RACH Complete,2885
HTTP DL Link,2795
Event A5,2559
HTTP/HTTPS Upload,2468
Event 1B,2322
LTE Handover Attempt,2315
LTE Handover Complete,2268
Event A2,2239
Event 2F,2159
LTE MeasGap Setup,2080
ANR Report,1326
LTE RACH Failure,1314
LTE CA Activation,1274
LTE Intra-Freq Handover Attempt,1258
LTE Intra-Freq Handover Complete,1168
LTE Inter-Freq Handover Complete,1100
LTE CA Deactivation,1070
LTE Inter-Freq Handover Attempt,1057
Save,1037
Event 1E,953
Event 1D,874
Dedicated Mode,844
Event 1C,823
MO Call,822
Idle Mode,807
TAU Attempt,806
LTE RACH Msg4,690
LTE MeasGap Release,606
RAT Change,583
HTTP/HTTPS Download,577
TAU Complete,547
ERRC Connection Attempt,543
ERRC Connection Setup Complete,543
Wait,536
RRC RB Setup,536
Event 1F,533
PDP Context Modify Complete,532
ERRC Connection Complete,523
Event A4,350
UMTS Cell Reselection,309
RRC Connection Attempt,300
RRC Connection Established,276
Outgoing Call Attempt,275
RAU Attempt,273
RAU Complete,272
Outgoing Call Setup,272
PDP Context Modify Attempt,266
LTE Cell Redirection,262
Outgoing Call Alerting,259
Attach Attempt,258
Attach Complete,257
TAU Failure,257
Default EPS Bearer Activation Complete,256
Default EPS Bearer Activation Attempt,256
Outgoing Call Connected,254
Outgoing Call Complete,253
RRC Connection Abnormal Release,214
UMTS Fast Return to LTE,193
Event 2D,144
HS ServCell Handoff,135
GSM Handover Attempt,127
GSM Handover Complete,119
GSM Cell Reselection,117
Event 1J,80
LTE Cell Selection,71
LTE Radio Link Failure,60
UMTS Handover To GSM Attempt,57
UMTS Handover To GSM Complete,52
ERRC Connection Reestablishment Complete,48
Lock RAT,48
Time,46
LTE Handover Failure,45
RRC RB Setup Failure,42
RRC Connection Reestablishment Request,34
GPS,31
Start,24
Loop Start,24
RRC Connection Reestablishment Failure,23
Outgoing Call Failure,21
LAU Attempt,20
LAU Complete,19
Outgoing Call Block,14
Loop End,14
GSM Fast Return to LTE,13
ERRC Connection Reestablishment Failure,12
No Service Mode,11
EPS Bearer Modify Attempt,10
EPS Bearer Modify Complete,10
RRC Connection Reestablishment Complete,9
End,6
UMTS Handover To GSM Failure,5
RRC Connection Normal Release,5
LTE Cell Reselection,4
GSM Handover Failure,3
Call Reestablishment Request,3
LTE Cell Reselection Attempt,3
Event 3C,3
Call Reestablishment Complete,2
PDP Context Activation Attempt,1
PDP Context Activation Complete,1
Outgoing Call Drop,1
GSM Handover to UTRAN Attempt,1
GSM Handover to UTRAN Complete,1
SMS,1
Call Reestablishment Failure,1
