independent_trigger_count,context_flag_count,rows,anomaly_rows,mean_score,median_score,median_tp
0,0,18676,0,0.0,0.0,65.806
0,1,3547,0,0.0,0.0,27.633
0,2,763,0,0.0,0.0,20.434
0,3,863,0,0.0,0.0,17.12
0,4,287,0,0.0,0.0,13.598
0,5,16,0,0.0,0.0,12.53
1,0,289,289,51.727,52.0,38.773
1,1,418,418,50.727,52.0,20.173
1,2,566,566,47.68,52.0,11.061
1,3,970,970,51.294,54.0,10.798
1,4,1165,1165,53.044,57.9,8.021
1,5,1007,1007,47.364,41.0,3.821
1,6,609,609,56.535,57.9,2.865
1,7,273,273,50.592,41.6,3.078
1,8,76,76,62.12,62.65,4.105
1,9,11,11,77.236,78.6,0.853
2,0,3,3,53.5,53.5,14.312
2,1,25,25,57.952,55.5,8.273
2,2,187,187,61.493,60.5,6.416
2,3,449,449,69.173,66.5,9.36
2,4,610,610,76.179,75.05,5.21
2,5,631,631,81.213,86.9,2.597
2,6,249,249,82.047,86.9,2.444
2,7,63,63,81.505,82.1,3.725
2,8,19,19,81.837,87.5,2.823
3,1,2,2,68.5,68.5,6.055
3,2,18,18,71.028,69.7,5.778
3,3,27,27,68.952,66.5,8.952
3,4,125,125,71.865,68.5,7.625
3,5,18,18,75.556,76.3,5.053
3,6,65,65,73.594,70.2,5.786
4,2,1,1,82.0,82.0,4.628
4,3,60,60,85.252,90.7,5.788
4,4,129,129,79.616,81.0,6.219
4,5,4,4,84.15,88.1,6.626
4,6,17,17,77.541,79.7,6.133
