method_or_case,flag_role,flagged_rows,flagged_pct,flagged_pct_of_all_lte_dl_rows
low_tp_family_flag,trigger_family_independent,5782,17.935,17.935
temporal_drop_family_flag,trigger_family_independent,3685,11.431,11.431
expected_tp_family_flag,trigger_family_independent,1480,4.591,4.591
rb_efficiency_family_flag,trigger_family,518,1.607,1.607
sustained_window_family_flag,context_or_case_family_alias,3565,11.058,11.058
radio_limited_family_flag,context_or_case_family_alias,2247,6.97,6.97
ca_underperformance_family_flag,context_or_case_family_alias,641,1.988,1.988
low_tp_fixed_flag,trigger_detail,5549,17.213,17.213
low_tp_global_p10_flag,trigger_detail,3224,10.001,10.001
low_tp_session_p10_flag,trigger_detail,2685,8.329,8.329
low_tp_robust_z_flag,trigger_detail,1145,3.552,3.552
low_tp_iqr_flag,trigger_detail,1279,3.967,3.967
rolling_drop_flag,trigger_detail,2814,8.729,8.729
rolling_sustained_degradation_flag,trigger_detail,3565,11.058,11.058
sudden_drop_flag,trigger_detail,2362,7.327,7.327
underperform_vs_p75_flag,trigger_detail,1252,3.884,3.884
underperform_vs_rb_p75_flag,trigger_detail,1290,4.001,4.001
low_rb_efficiency_high_rb_flag,trigger_detail,518,1.607,1.607
ca_underperformance_flag,trigger_detail,641,1.988,1.988
radio_limited_degradation_flag,case_context,2247,6.97,6.97
unexpected_underperformance_flag,case_context,1239,3.843,3.843
event_related_degradation_flag,context_only,4232,13.127,13.127
bad_session_flag,context_only,3760,11.663,11.663
bad_session_sample_flag,context_only,2118,6.57,6.57
underperform_vs_p75_context_flag,context_only,6423,19.924,19.924
underperform_vs_rb_p75_context_flag,context_only,3433,10.649,10.649
p75_underperformance_demand_unknown_context_flag,context_only,4989,15.476,15.476
low_tp_low_rb_flag,case_context,4089,12.684,12.684
rb_low_usage_flag,context_only,8134,25.231,25.231
low_tail_robust_consensus_flag,unknown,1279,3.967,3.967
weak_low_rb_only_candidate_flag,context_only,1751,5.431,5.431
is_throughput_anomaly,candidate_gate,8086,25.082,25.082
rca_handoff_flag,handoff_gate,6217,19.285,19.285
