serving_pci,anomalies,episodes,mean_score,mean_actual_tp,mean_expected_tp,mean_expected_rb_p75,mean_rb_usage,mean_throughput_per_rb,mean_rsrp,mean_sinr,total_lte_dl_rows_on_pci,analysis_rows_on_pci,median_tp_all_rows_on_pci,median_rb_usage_on_pci,ca_median_carrier_count_on_pci,anomaly_rate_on_pci_pct,episode_rate_on_pci_pct,anomaly_rate_ci_low_pct,anomaly_rate_ci_high_pct
330.0,2,2,48.75,2.08,6.792,3.133,65.5,0.031,-102.69,-3.62,2,2,2.08,65.5,1.5,100.0,100.0,34.237,100.0
360.0,1,1,62.0,4.425,6.655,12.619,87.0,0.051,-116.806,-4.744,1,1,4.425,87.0,1.0,100.0,100.0,20.654,100.0
405.0,1,1,40.0,3.155,3.266,0.896,57.0,0.055,-122.917,-3.85,1,1,3.155,57.0,1.0,100.0,100.0,20.654,100.0
468.0,1,1,68.5,8.523,6.706,24.346,187.0,0.046,-109.439,-4.255,1,1,8.523,187.0,2.0,100.0,100.0,20.654,100.0
311.0,6,1,73.817,6.022,43.97,24.508,87.833,0.06,-109.383,5.904,7,7,4.681,122.0,2.0,85.714,14.286,48.687,97.432
299.0,3,2,60.367,5.727,18.158,19.358,82.0,0.067,-110.844,3.841,4,4,7.578,85.5,1.0,75.0,50.0,30.064,95.441
332.0,32,18,63.822,7.423,34.73,34.623,118.719,0.067,-109.262,2.215,44,44,8.264,132.0,2.0,72.727,40.909,58.151,83.654
8.0,5,4,59.58,15.793,43.162,54.848,137.8,0.121,-102.594,1.531,8,8,16.45,177.5,2.0,62.5,50.0,30.574,86.316
167.0,157,48,73.169,5.951,70.031,46.326,95.019,0.064,-93.047,11.958,267,267,5.997,98.0,2.0,58.801,17.978,52.813,64.54
385.0,95,30,67.311,8.843,50.215,44.406,125.411,0.071,-95.62,5.992,171,171,11.546,116.0,2.0,55.556,17.544,48.067,62.8
384.0,12,9,64.717,13.411,51.361,50.959,140.5,0.097,-93.156,3.176,22,22,18.809,162.5,2.0,54.545,40.909,34.659,73.08
138.0,123,49,49.424,5.694,11.653,14.786,88.837,0.065,-115.492,2.462,228,228,7.926,86.0,1.0,53.947,21.491,47.466,60.298
136.0,13,9,59.854,5.936,23.8,27.189,122.462,0.053,-111.304,1.547,26,26,6.408,90.0,2.0,50.0,34.615,32.06,67.94
211.0,1,1,70.8,3.845,18.318,12.917,141.0,0.027,-113.473,-0.344,2,2,8.806,157.0,2.0,50.0,50.0,9.453,90.547
323.0,1,1,58.5,4.913,21.672,12.524,74.0,0.066,-110.979,1.178,2,2,8.085,81.0,1.0,50.0,50.0,9.453,90.547
366.0,1,1,54.0,27.439,53.836,27.219,86.0,0.319,-99.636,5.366,2,2,30.698,107.0,2.0,50.0,50.0,9.453,90.547
436.0,1,1,59.3,2.203,8.512,8.2,35.0,0.063,-109.963,2.283,2,2,13.874,58.0,1.0,50.0,50.0,9.453,90.547
449.0,1,1,57.5,7.127,22.691,27.024,80.0,0.089,-106.864,9.081,2,2,9.617,87.5,1.0,50.0,50.0,9.453,90.547
363.0,86,47,60.322,6.119,22.847,24.064,106.151,0.059,-110.414,4.773,175,175,7.044,84.0,1.0,49.143,26.857,41.834,56.488
0.0,7,6,60.286,14.56,48.785,56.05,141.143,0.101,-95.293,5.102,15,15,27.683,164.0,2.0,46.667,40.0,24.809,69.883
383.0,75,21,49.665,8.3,23.844,21.469,56.333,0.274,-99.367,7.355,162,162,9.903,82.5,2.0,46.296,12.963,38.793,53.972
169.0,61,22,63.985,7.314,45.687,28.403,91.738,0.091,-97.393,6.704,135,135,11.542,89.0,2.0,45.185,16.296,37.039,53.598
377.0,13,11,60.177,3.675,18.596,10.358,61.923,0.078,-107.728,2.812,29,29,4.207,63.0,2.0,44.828,37.931,28.413,62.452
429.0,4,4,73.175,6.315,29.624,31.954,143.0,0.038,-112.029,0.586,9,9,2.018,150.0,2.0,44.444,44.444,18.878,73.335
170.0,15,12,67.793,14.616,70.275,62.896,146.467,0.101,-85.938,6.382,34,34,16.648,117.5,2.0,44.118,35.294,28.883,60.546
375.0,97,24,65.561,3.786,36.575,18.635,79.99,0.051,-102.256,5.23,226,226,4.156,76.0,2.0,42.92,10.619,36.639,49.439
320.0,15,11,68.547,5.359,37.904,24.768,92.6,0.066,-103.004,5.089,38,38,12.865,78.0,2.0,39.474,28.947,25.598,55.282
130.0,32,11,54.275,6.487,25.105,19.787,60.719,0.159,-103.672,7.723,82,82,8.858,37.5,1.0,39.024,13.415,29.185,49.847
16.0,12,6,67.542,16.027,73.75,85.42,158.333,0.096,-93.792,11.874,34,34,37.166,175.5,2.0,35.294,17.647,21.488,52.086
355.0,26,14,65.838,10.701,55.049,49.857,124.038,0.083,-93.772,8.777,78,78,25.14,165.5,2.0,33.333,17.949,23.873,44.359
374.0,5,5,65.8,18.248,42.509,47.379,142.8,0.107,-98.735,1.87,15,15,24.831,158.0,2.0,33.333,33.333,15.176,58.287
126.0,5,2,77.16,11.677,102.379,30.164,64.2,0.145,-81.983,17.647,16,16,44.453,124.0,2.0,31.25,12.5,14.164,55.596
403.0,9,4,74.489,7.219,36.025,41.391,77.667,0.091,-99.179,10.189,29,29,43.651,126.0,2.0,31.034,13.793,17.275,49.23
