anomaly_type,anomaly_severity,anomalies,episodes,mean_score,mean_actual_tp,mean_expected_tp,mean_expected_radio_p75,mean_expected_rb_conditioned_p75,mean_rb_usage,mean_throughput_per_rb,mean_gap
radio_limited_degradation,High,1198,672,74.351,3.958,51.366,51.366,22.339,47.756,0.071,47.408
sudden_drop,High,771,750,77.877,6.596,73.543,73.543,33.528,56.9,0.115,66.946
radio_limited_degradation,Medium,736,411,48.0,10.393,22.809,22.809,18.363,70.948,0.149,12.416
sudden_drop,Medium,701,695,53.28,25.089,54.369,54.369,45.252,99.866,0.253,29.281
rolling_local_drop,High,547,450,77.96,6.362,72.277,72.277,30.344,52.309,0.113,65.915
ca_underperformance,High,538,405,72.897,8.655,56.182,56.182,59.258,153.827,0.056,47.527
rb_conditioned_underperformance,High,441,392,65.888,24.806,89.919,89.919,100.099,166.59,0.149,65.113
rolling_local_drop,Medium,312,296,53.524,23.96,58.3,58.3,44.084,97.179,0.26,34.341
sustained_low_throughput_window,Medium,202,113,46.361,7.161,24.665,24.665,22.805,93.129,0.078,17.504
rb_efficiency_underperformance,High,179,133,73.619,5.804,27.597,27.597,33.569,151.832,0.039,21.794
sustained_low_throughput_window,High,172,95,71.059,3.919,54.111,54.111,35.369,98.058,0.04,50.192
rb_conditioned_underperformance,Medium,156,144,58.215,24.205,93.138,93.138,90.093,138.224,0.177,68.933
radio_p75_underperformance,Medium,120,106,58.185,30.765,102.539,102.539,84.571,142.425,0.219,71.774
ca_underperformance,Medium,83,77,58.613,12.406,49.824,49.824,47.415,144.783,0.086,37.418
radio_p75_underperformance,High,52,49,61.769,31.263,106.422,106.422,84.792,146.808,0.216,75.159
ca_underperformance,Critical,8,8,91.125,1.368,79.39,79.39,80.791,158.5,0.009,78.022
rb_efficiency_underperformance,Critical,1,1,100.0,0.737,62.203,62.203,47.696,138.0,0.005,61.466
