condition,value,rows,empirical_q75_coverage,coverage_error_from_0_75,calibration_status,pinball_loss_log,median_actual_mbps,median_q75_expected_mbps
rb_usage_bucket,below_median_rb_usage,7932,0.761976802824004,0.01197680282400404,OK,0.11856295357413375,30.779000499999995,41.481983882375836
rb_usage_bucket,high_rb_usage,8123,0.7534162255324387,0.003416225532438699,OK,0.07111440946500788,83.39938999999997,98.64490757192823
rb_usage_bucket,low_rb_usage,8134,0.7821490041799852,0.03214900417998523,OK,0.14053136003948888,10.35814,15.4147313497521
rb_usage_bucket,medium_rb_usage,8049,0.7536339918002236,0.0036339918002236127,OK,0.10055836639618085,55.35194399999999,70.78873995810278
ca_condition_label,2CC_CA,22195,0.7655778328452354,0.015577832845235395,OK,0.10607923063035332,49.34956699999999,62.71846312144076
ca_condition_label,3CC_or_more_CA,1351,0.6639526276831976,-0.08604737231680237,REVIEW,0.10150989145450567,94.20584999999997,113.23722433044703
ca_condition_label,single_carrier,8692,0.7711688909341924,0.021168890934192386,OK,0.11263364959993337,18.367663999999998,23.419119566190034
sinr_bin,Excellent,11886,0.7535756352010768,0.0035756352010768433,OK,0.093598287712132,69.93437250000001,85.56771317398898
sinr_bin,Fair,11675,0.7665952890792291,0.016595289079229136,OK,0.12067939448058977,19.743495999999997,25.457895553110188
sinr_bin,Good,8209,0.7670849068095992,0.017084906809599176,OK,0.1055057200269356,41.721810000000005,51.38236292140711
sinr_bin,Poor,468,0.8290598290598291,0.07905982905982911,REVIEW,0.17744110151698614,4.480792,9.491104729475605
rsrp_bin,Excellent,10190,0.7533856722276742,0.0033856722276741635,OK,0.09938984016372293,64.37445250000002,80.06588226275704
rsrp_bin,Fair,11336,0.7733768525052929,0.023376852505292867,OK,0.11544038604142862,20.507636499999997,26.28599107224505
rsrp_bin,Good,10502,0.7581413064178252,0.008141306417825178,OK,0.10540956235101498,46.010532999999995,57.83680937914593
rsrp_bin,Poor,210,0.8857142857142857,0.13571428571428568,REVIEW,0.20073408701913936,1.0622840000000002,5.502483221716542
serving_band,1.0,4970,0.7058350100603622,-0.0441649899396378,OK,0.12008231565562287,42.63275499999999,50.480199071770855
serving_band,3.0,4086,0.7408223201174743,-0.009177679882525713,OK,0.10821907895527778,36.205072,44.32862610533557
serving_band,28.0,1466,0.762619372442019,0.01261937244201905,OK,0.13174763267646625,29.8652435,39.07640831548966
serving_band,41.0,21716,0.7800239454779886,0.03002394547798859,OK,0.10307818081575522,38.79119250000001,49.10713244745733
serving_earfcn,356.0,1272,0.7012578616352201,-0.04874213836477992,OK,0.15228185735312202,18.5945555,25.389253258027864
serving_earfcn,500.0,3698,0.7074094104921579,-0.042590589507842114,OK,0.1090066485276567,54.26190749999998,64.05452477864085
serving_earfcn,1850.0,4086,0.7408223201174743,-0.009177679882525713,OK,0.10821907895527778,36.205072,44.32862610533557
serving_earfcn,9310.0,1466,0.762619372442019,0.01261937244201905,OK,0.13174763267646625,29.8652435,39.07640831548966
serving_earfcn,40790.0,4680,0.7587606837606837,0.00876068376068373,OK,0.09734933215642882,46.257584,57.53957596863668
serving_earfcn,40988.0,4014,0.7907324364723468,0.04073243647234681,OK,0.12123357712789938,39.2779865,54.35496847287368
serving_earfcn,41186.0,4399,0.7697203909979541,0.019720390997954085,OK,0.10047189388287209,38.644062000000005,47.989494802484316
serving_earfcn,41384.0,8623,0.7918357880088136,0.0418357880088136,OK,0.09906569179180225,35.011257,42.41971031484141
