final_episode_id,id,route_label,start_time,end_time,rows,latitude_start,longitude_start,latitude_end,longitude_end,primary_serving_cell_key,primary_serving_eci,primary_serving_pci,primary_earfcn,primary_band,min_actual_tp,median_actual_tp,max_expected_tp,max_expected_gap,min_actual_expected_ratio,max_row_priority,mean_row_priority,max_row_impact,mean_row_impact,max_row_confidence,mean_row_confidence,consensus_rows,statistical_only_rows,ml_only_rows,high_quality_direct_evidence_rows,dominant_statistical_type,dominant_ml_type,dominant_impact_family,fusion_source_mode,duration_seconds,span_seconds_inclusive,observed_anomalous_seconds,episode_density_0_1,internal_gap_seconds,longest_consecutive_run_seconds,distance_affected_m,agreement_pct,direct_evidence_coverage_0_1,strong_direct_evidence_rows,radio_limited_degradation_flag_rows,coverage_planning_review_flag,episode_persistence_score_0_100,episode_impact_score_0_100,episode_detection_confidence_0_100,episode_final_priority_0_100,episode_impact_severity,episode_detection_confidence,episode_confidence_gate_pass,episode_critical_override_flag,episode_critical_override_reason,final_episode_handoff_flag,episode_keep_path,episode_priority_severity,operational_incident_id,incident_bridge_decision
LTE-TP-EP-000001,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,2025-08-26 23:37:42+02:00,2025-08-26 23:37:42+02:00,1,-17.8159714,177.3955939,-17.8159714,177.3955939,ECI:1067720.0,1067720.0,351.0,500.0,1.0,0.031944,0.031944,,,,76.65,76.65,90.89,90.89,59.24,59.24,0,1,0,0,radio_limited_degradation,normal,radio,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,True,22.25,73.73,44.43,60.54,High,Medium,True,False,,True,priority_and_confidence_gate,Medium,INC-000001,new_session_or_first_episode
LTE-TP-EP-000002,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,2025-08-26 23:38:05+02:00,2025-08-26 23:38:06+02:00,2,-17.81597138,177.39559379,-17.8159714,177.3955938,ECI:1065267.0,1065267.0,145.0,41186.0,41.0,3.2676,4.082736,,,,57.63,56.43,58.56,55.71,58.13,57.315,0,2,0,2,radio_limited_degradation,normal,radio,statistical_only_retained,1.0,2.0,2.0,1.0,0.0,2.0,0.00492602320891773,0.0,1.0,2,2,True,29.5,50.58,53.39,51.85,Medium,Medium,True,False,,True,priority_and_confidence_gate,Medium,INC-000002,"new:gap=23.0s,dist=0.011855343780824396m,cell=False,family=True"
LTE-TP-EP-000003,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:20+02:00,2025-08-26 23:39:21+02:00,2,-17.8159712,177.3955936,-17.8159712,177.3955936,ECI:1065280.0,1065280.0,145.0,40988.0,41.0,1.880664,4.747592,32.41143,25.533956163937656,0.06860076808483032,76.7,68.595,66.39,57.785,89.29,81.80000000000001,0,2,0,2,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_only_retained,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2,0,False,29.5,55.02,75.1,64.05,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000003,"new:gap=74.0s,dist=0.030705855946123645m,cell=False,family=False"
LTE-TP-EP-000004,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:27+02:00,2025-08-26 23:39:27+02:00,1,-17.8159712,177.3955937,-17.8159712,177.3955937,ECI:1064509.0,1064509.0,288.0,40988.0,41.0,0.744216,0.744216,25.09617452067155,24.35195852067155,0.029654559478258104,73.55,73.55,75.19,75.19,71.55,71.55,0,1,0,1,sudden_drop,normal,temporal,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,False,22.25,61.96,63.66,62.72,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000004,"new:gap=6.0s,dist=0.010586261860169551m,cell=False,family=False"
LTE-TP-EP-000005,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:49+02:00,2025-08-26 23:39:49+02:00,1,-17.8159711,177.3955936,-17.8159711,177.3955936,EARFCN:40790.0|PCI:288.0,,288.0,40790.0,41.0,5.243832,5.243832,49.4498,44.205968000000006,0.1060435431488095,80.75,80.75,69.36,69.36,94.68,94.68,0,1,0,1,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,1,0,False,22.25,57.58,81.01,68.12,High,Very High,True,False,,True,priority_and_confidence_gate,High,INC-000005,new_session_or_first_episode
LTE-TP-EP-000006,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:50+02:00,2025-08-26 23:39:50+02:00,1,-17.81597115,177.39559364,-17.81597115,177.39559364,ECI:1064509.0,1064509.0,288.0,40790.0,41.0,10.927048,10.927048,41.78372959526875,30.856681595268753,0.26151442453421603,72.49,72.49,57.21,57.21,91.17,91.17,1,0,0,1,ca_underperformance,ml_quantile_p75_resource_underperformance,temporal,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,0.0,1.0,0.006988694733692624,100.0,1.0,1,0,False,22.25,48.47,93.38,68.68,Medium,Very High,True,False,,True,priority_and_confidence_gate,High,INC-000006,"new:gap=1.0s,dist=0.006988696115813095m,cell=False,family=True"
LTE-TP-EP-000007,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:40:01+02:00,2025-08-26 23:40:01+02:00,1,-17.8159711,177.3955937,-17.8159711,177.3955937,ECI:1064509.0,1064509.0,288.0,40790.0,41.0,14.059544,14.059544,53.47080336184639,39.41125936184639,0.2629387089035595,75.07,75.07,57.43,57.43,96.63,96.63,1,0,0,1,ca_underperformance,ml_quantile_p75_resource_underperformance,temporal,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,0.0,1.0,0.011119508138052268,100.0,1.0,1,0,False,22.25,48.64,97.47,70.61,Medium,Very High,True,False,,True,priority_and_confidence_gate,High,INC-000007,"new:gap=11.0s,dist=0.008441309875576878m,cell=True,family=True"
LTE-TP-EP-000008,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:40:15+02:00,2025-08-26 23:40:15+02:00,1,-17.8159711,177.3955937,-17.8159711,177.3955937,ECI:1064509.0,1064509.0,288.0,40790.0,41.0,0.021688,0.021688,,,,70.55,70.55,69.92,69.92,71.31,71.31,0,1,0,1,radio_limited_degradation,normal,radio,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,True,22.25,58.0,63.48,60.47,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000008,"new:gap=14.0s,dist=0.0m,cell=True,family=False"
LTE-TP-EP-000009,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:41:14+02:00,2025-08-26 23:41:14+02:00,1,-17.8159711,177.3955937,-17.8159711,177.3955937,ECI:1064509.0,1064509.0,288.0,40790.0,41.0,0.025384,0.025384,,,,71.13,71.13,69.91,69.91,72.62,72.62,0,1,0,1,radio_limited_degradation,normal,radio,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,True,22.25,58.0,64.46,60.91,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000009,"new:gap=59.0s,dist=0.0m,cell=True,family=True"
LTE-TP-EP-000010,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,2025-08-26 23:41:35+02:00,2025-08-26 23:41:36+02:00,2,-17.815971,177.3955936,-17.815971,177.3955936,ECI:1064509.0,1064509.0,288.0,40790.0,41.0,0.031312,0.03888,25.206385,25.175073,0.0012422249362611893,80.15,80.135,77.98,77.95500000000001,82.8,82.8,0,2,0,2,radio_limited_degradation,normal,temporal,statistical_only_retained,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2,2,True,29.5,65.85,72.1,68.66,High,High,True,False,,True,priority_and_confidence_gate,High,INC-000010,"new:gap=21.0s,dist=0.015352927855225991m,cell=True,family=True"
