operational_incident_id,id,route_label,start_time,end_time,strict_episodes,rows,total_anomalous_seconds,max_longest_run_seconds,peak_row_priority_0_100,episode_adjusted_priority_0_100,max_episode_impact,mean_episode_impact,max_episode_confidence,mean_episode_confidence,consensus_rows,high_quality_direct_evidence_rows,statistical_only_rows,ml_only_rows,coverage_planning_review_flag,dominant_statistical_type,dominant_ml_type,dominant_impact_family,primary_serving_cell_key,primary_serving_eci,primary_serving_pci,primary_earfcn,primary_band,latitude_start,longitude_start,latitude_end,longitude_end,duration_seconds,incident_agreement_coverage_0_1,incident_direct_evidence_coverage_0_1,incident_persistence_score_0_100,incident_final_impact_score_0_100,incident_final_confidence_0_100,incident_final_priority_0_100,incident_priority_severity,max_priority,mean_priority,max_impact,max_confidence,max_persistence
INC-000547,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,2025-08-27 03:41:08+02:00,2025-08-27 03:41:35+02:00,5,12,12.0,3.0,94.1,83.38,80.57,75.642,100.0,81.078,2,12,10,0,True,radio_limited_degradation,normal,temporal,ECI:1069373.0,1069373.0,135.0,40790.0,41.0,-17.7735735,177.4075404,-17.772151,177.4061,27.0,0.16666666666666666,1.0,53.0,72.2,85.99,78.41,High,78.41,78.41,72.2,85.99,53.0
INC-000840,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:49:04+02:00,2025-08-28 00:49:04+02:00,1,1,1.0,1.0,96.95,87.02,76.41,76.41,100.0,100.0,1,1,0,0,False,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,capability,ECI:1078590.0,1078590.0,163.0,40790.0,41.0,-17.6488558,177.4435416,-17.6488558,177.4435416,0.0,1.0,1.0,13.17,60.6,100.0,78.33,High,78.33,78.33,60.6,100.0,13.17
INC-000476,542020041221088+20250827134427+Fiji-Nadi-LTE-DL-D!20250827131213,Fiji-Nadi-LTE-DL-D,2025-08-27 03:10:11+02:00,2025-08-27 03:10:11+02:00,1,1,1.0,1.0,95.08,85.62,73.85,73.85,100.0,100.0,1,1,0,0,False,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,ECI:1067153.0,1067153.0,131.0,1850.0,3.0,-17.77721003,177.43119349,-17.77721003,177.43119349,0.0,1.0,1.0,13.17,58.68,100.0,77.27,High,77.27,77.27,58.68,100.0,13.17
INC-000239,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:31+02:00,2025-08-27 01:30:31+02:00,1,1,1.0,1.0,94.46,85.15,73.0,73.0,100.0,100.0,1,1,0,0,False,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,ECI:1072439.0,1072439.0,394.0,41384.0,41.0,-17.77260188,177.42392483,-17.77260188,177.42392483,0.0,1.0,1.0,13.17,58.04,100.0,76.92,High,76.92,76.92,58.04,100.0,13.17
INC-001289,542020041221088+20250828141838+Fiji-Nadi-LTE-DL-D!20250828141754,Fiji-Nadi-LTE-DL-D,2025-08-28 04:16:02+02:00,2025-08-28 04:16:02+02:00,1,1,1.0,1.0,93.43,84.38,71.6,71.6,100.0,100.0,1,1,0,0,False,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,EARFCN:1850.0|PCI:230.0,,230.0,1850.0,3.0,-17.6158366,177.4576468,-17.6158366,177.4576468,0.0,1.0,1.0,13.17,56.99,100.0,76.35,High,76.35,76.35,56.99,100.0,13.17
INC-000747,542020041221088+20250827161114+Fiji-Nadi-LTE-DL-D!20250827160608,Fiji-Nadi-LTE-DL-D,2025-08-27 06:04:06+02:00,2025-08-27 06:04:06+02:00,1,1,1.0,1.0,92.1,83.39,69.79,69.79,100.0,100.0,1,1,0,0,False,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,ECI:1065015.0,1065015.0,469.0,41384.0,41.0,-17.81116123,177.44284917,-17.81116123,177.44284917,0.0,1.0,1.0,13.17,55.64,100.0,75.6,High,75.6,75.6,55.64,100.0,13.17
INC-001018,542020041221088+20250828123823+Fiji-Nadi-LTE-DL-D!20250828123754,Fiji-Nadi-LTE-DL-D,2025-08-28 02:37:35+02:00,2025-08-28 02:37:36+02:00,1,2,2.0,2.0,96.49,85.26,81.28,81.28,90.12,90.12,1,2,1,0,False,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,temporal,ECI:3642943.0,3642943.0,313.0,41384.0,41.0,-17.631383,177.4424822,-17.6314479,177.4424856,1.0,0.5,1.0,19.67,65.88,87.1,75.43,High,75.43,75.43,65.88,87.1,19.67
INC-000442,542020041221088+20250827133907+Fiji-Nadi-LTE-DL-D!20250827130324,Fiji-Nadi-LTE-DL-D,2025-08-27 03:01:56+02:00,2025-08-27 03:01:56+02:00,1,1,1.0,1.0,91.57,82.99,69.07,69.07,100.0,100.0,1,1,0,0,True,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,capability,ECI:1065506.0,1065506.0,322.0,1850.0,3.0,-17.78942887,177.42703991,-17.78942887,177.42703991,0.0,1.0,1.0,13.17,55.09,100.0,75.3,High,75.3,75.3,55.09,100.0,13.17
INC-000662,542020041221088+20250827151552+Fiji-Nadi-LTE-DL-D!20250827151524,Fiji-Nadi-LTE-DL-D,2025-08-27 05:14:38+02:00,2025-08-27 05:14:38+02:00,1,1,1.0,1.0,91.25,82.75,68.63,68.63,100.0,100.0,1,1,0,0,True,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,capability,ECI:1066294.0,1066294.0,50.0,41384.0,41.0,-17.7477968,177.4522131,-17.7477968,177.4522131,0.0,1.0,1.0,13.17,54.76,100.0,75.12,High,75.12,75.12,54.76,100.0,13.17
INC-001349,542020041221088+20250828153922+Fiji-Nadi-LTE-DL-D!20250828152928,Fiji-Nadi-LTE-DL-D,2025-08-28 05:28:25+02:00,2025-08-28 05:28:25+02:00,1,1,1.0,1.0,90.69,82.33,67.87,67.87,100.0,100.0,1,1,0,0,False,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,ECI:1081375.0,1081375.0,454.0,1850.0,3.0,-17.6783773,177.408984,-17.6783773,177.408984,0.0,1.0,1.0,13.17,54.2,100.0,74.81,High,74.81,74.81,54.2,100.0,13.17
