anomaly_episode_id,id,route_label,test_type,start_time,end_time,rows,dominant_type,max_score,mean_score,min_actual_tp,median_actual_tp,median_expected_tp,median_expected_radio_p75,median_expected_rb_conditioned_p75,expected_radio_confidence_mode,expected_rb_confidence_mode,min_ratio,min_rb_ratio,median_rb_usage,rb_usage_bucket_mode,rb_demand_confidence_mode,median_throughput_per_rb,primary_serving_pci,primary_earfcn,primary_band,mean_rsrp,mean_sinr,serving_pci_count,duration_seconds,any_event_near_rows,any_event_near_rows_pct,any_event_event_count_sum,measurement_report_event_near_rows,measurement_report_event_near_rows_pct,measurement_report_event_event_count_sum,handover_execution_near_rows,handover_execution_near_rows_pct,handover_execution_event_count_sum,handover_failure_near_rows,handover_failure_near_rows_pct,handover_failure_event_count_sum,rach_attempt_near_rows,rach_attempt_near_rows_pct,rach_attempt_event_count_sum,rach_failure_near_rows,rach_failure_near_rows_pct,rach_failure_event_count_sum,ca_activation_change_near_rows,ca_activation_change_near_rows_pct,ca_activation_change_event_count_sum,failure_other_near_rows,failure_other_near_rows_pct,failure_other_event_count_sum,max_speed,min_distance_from_prev_m,max_distance_from_prev_m,max_severity
LTE-TP-EP-002315,542020041221088+20250828123202+Fiji-Nadi-LTE-DL-D!20250828122853,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:27:00+02:00,2025-08-28 02:27:04+02:00,5,ca_underperformance,100.0,72.92,0.737,5.903,62.203,62.203,47.696,high,high,0.012,0.015,138.0,medium_rb_usage,medium,0.065,354.0,40790.0,41.0,-96.442,9.592,2,4.0,5,100.0,390,5,100.0,54,5,100.0,26,0,0.0,0,5,100.0,75,0,0.0,0,5,100.0,53,0,0.0,0,33.804,0.18,9.308,Critical
LTE-TP-EP-002632,542020041221088+20250828133115+Fiji-Nadi-LTE-DL-D!20250828132346,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 03:22:57+02:00,2025-08-28 03:22:57+02:00,1,radio_limited_degradation,94.4,94.4,0.066,0.066,82.333,82.333,29.693,high,high,0.001,0.002,6.0,low_rb_usage,low_or_uncertain,0.011,273.0,500.0,1.0,-88.429,6.157,1,0.0,1,100.0,185,1,100.0,6,1,100.0,4,0,0.0,0,1,100.0,25,0,0.0,0,1,100.0,18,0,0.0,0,12.132,0.097,0.097,High
LTE-TP-EP-002305,542020041221088+20250828122802+Fiji-Nadi-LTE-DL-D!20250828122423,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:22:40+02:00,2025-08-28 02:22:44+02:00,4,radio_limited_degradation,94.3,85.75,0.083,0.962,118.448,118.448,42.486,high,high,0.001,0.004,50.5,below_median_rb_usage,unknown,0.056,180.0,40790.0,41.0,-87.321,18.086,1,4.0,4,100.0,508,3,75.0,11,3,75.0,6,0,0.0,0,4,100.0,40,0,0.0,0,4,100.0,58,0,0.0,0,19.512,4.606,10.53,High
LTE-TP-EP-000547,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 01:30:18+02:00,2025-08-27 01:30:24+02:00,6,radio_limited_degradation,94.2,80.517,0.041,6.751,70.749,70.749,33.103,high,high,0.0,0.001,87.0,high_rb_usage,high,0.071,394.0,41384.0,41.0,-98.702,12.558,2,6.0,6,100.0,439,4,66.667,26,4,66.667,8,0,0.0,0,6,100.0,30,0,0.0,0,6,100.0,48,0,0.0,0,47.556,0.283,26.616,High
LTE-TP-EP-001292,542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 04:05:02+02:00,2025-08-27 04:05:09+02:00,6,radio_limited_degradation,94.2,80.75,0.046,6.912,103.734,103.734,38.169,high,high,0.0,0.001,38.5,low_rb_usage,low_or_uncertain,0.168,125.0,41186.0,41.0,-82.46,26.796,1,7.0,6,100.0,154,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,100.0,83,0,0.0,0,22.608,0.345,12.866,High
LTE-TP-EP-002617,542020041221088+20250828132735+Fiji-Nadi-LTE-DL-D!20250828132130,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 03:20:20+02:00,2025-08-28 03:20:24+02:00,5,radio_limited_degradation,94.2,89.06,0.02,0.062,173.726,173.726,34.146,high,high,0.0,0.001,23.0,low_rb_usage,low_or_uncertain,0.005,250.0,500.0,1.0,-92.73,12.305,1,4.0,5,100.0,557,5,100.0,11,1,20.0,2,0,0.0,0,5,100.0,25,0,0.0,0,5,100.0,106,0,0.0,0,34.668,0.027,20.429,High
LTE-TP-EP-000040,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:44:43+02:00,2025-08-26 23:44:48+02:00,4,radio_limited_degradation,94.2,82.55,0.115,2.81,81.381,81.381,40.496,high,high,0.001,0.002,71.5,below_median_rb_usage,unknown,0.088,151.0,41186.0,41.0,-102.488,16.211,1,5.0,4,100.0,60,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,100.0,32,0,0.0,0,0.0,0.0,0.005,High
LTE-TP-EP-000539,542020041221088+20250827121333+Fiji-Nadi-LTE-DL-D!20250827112914,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 01:28:58+02:00,2025-08-27 01:29:01+02:00,4,rolling_local_drop,94.2,83.3,0.006,0.901,77.801,77.801,50.625,high,high,0.0,0.0,51.5,below_median_rb_usage,unknown,0.015,321.0,356.0,1.0,-96.594,18.861,1,3.0,4,100.0,466,4,100.0,24,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,100.0,11,0,0.0,0,24.732,0.754,12.632,High
LTE-TP-EP-001031,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 03:04:40+02:00,2025-08-27 03:04:43+02:00,4,rolling_local_drop,94.2,74.05,0.002,22.652,111.795,111.795,63.129,high,high,0.0,0.0,73.0,low_rb_usage,low_or_uncertain,0.16,395.0,40988.0,41.0,-84.617,19.164,1,3.0,4,100.0,113,0,0.0,0,0,0.0,0,0,0.0,0,4,100.0,20,0,0.0,0,4,100.0,35,0,0.0,0,25.92,6.489,7.288,High
LTE-TP-EP-001411,542020041221088+20250827151332+Fiji-Nadi-LTE-DL-D!20250827151309,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-27 05:12:02+02:00,2025-08-27 05:12:07+02:00,4,radio_limited_degradation,94.2,75.725,0.02,24.101,137.059,137.059,30.167,high,high,0.0,0.001,42.0,low_rb_usage,low_or_uncertain,0.331,115.0,9310.0,28.0,-68.436,22.585,1,5.0,4,100.0,92,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,100.0,32,0,0.0,0,23.76,0.148,12.97,High
LTE-TP-EP-001679,542020041221088+20250828102346+Fiji-Nadi-LTE-DL-D!20250828102312,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 00:22:10+02:00,2025-08-28 00:22:13+02:00,4,radio_limited_degradation,94.2,75.075,0.028,12.782,103.049,103.049,37.855,high,high,0.0,0.001,83.5,low_rb_usage,low_or_uncertain,0.085,338.0,1850.0,3.0,-89.503,9.886,1,3.0,4,100.0,185,4,100.0,23,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,100.0,11,0,0.0,0,0.0,0.0,0.0,High
LTE-TP-EP-001688,542020041221088+20250828102746+Fiji-Nadi-LTE-DL-D!20250828102524,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 00:24:13+02:00,2025-08-28 00:24:16+02:00,4,radio_limited_degradation,94.2,87.425,0.002,3.722,91.337,91.337,49.115,high,high,0.0,0.0,68.0,low_rb_usage,low_or_uncertain,0.029,338.0,1850.0,3.0,-89.717,12.194,1,3.0,4,100.0,584,4,100.0,20,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,100.0,11,4,100.0,28,0.608,0.0,0.569,High
LTE-TP-EP-002264,542020041221088+20250828122241+Fiji-Nadi-LTE-DL-D!20250828121359,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:13:39+02:00,2025-08-28 02:13:42+02:00,4,radio_limited_degradation,94.2,80.9,0.018,5.407,111.795,111.795,16.868,high,high,0.0,0.001,26.5,low_rb_usage,low_or_uncertain,0.116,184.0,40988.0,41.0,-79.299,20.324,1,3.0,4,100.0,44,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,100.0,8,0,0.0,0,0.181,0.108,0.231,High
LTE-TP-EP-002266,542020041221088+20250828122402+Fiji-Nadi-LTE-DL-D!20250828121612,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-28 02:14:10+02:00,2025-08-28 02:14:14+02:00,4,rb_conditioned_underperformance,94.2,66.3,0.012,28.336,111.795,111.795,98.655,high,high,0.0,0.001,128.0,medium_rb_usage,medium,0.216,184.0,40988.0,41.0,-77.738,18.291,1,4.0,4,100.0,59,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,100.0,28,0,0.0,0,0.357,0.079,0.316,High
