metric,value,qc_note
flagged_rows,8086.0,Number of anomaly rows used for score-distribution checks.
score_p10,37.2,Flagged-score percentile.
score_p25,42.1,Flagged-score percentile.
score_p50,58.7,Flagged-score percentile.
score_p75,71.2,Flagged-score percentile.
score_p80,75.0,Flagged-score percentile.
score_p90,87.6,Flagged-score percentile.
score_p95,92.9,Flagged-score percentile.
score_p99,94.2,Flagged-score percentile.
severity_pct_High,48.603,Share of flagged rows by severity.
severity_pct_Medium,45.869,Share of flagged rows by severity.
severity_pct_Low,5.417,Share of flagged rows by severity.
severity_pct_Critical,0.111,Share of flagged rows by severity.
pct_exact_low_rb_cap,0.0,Share of flagged scores exactly at the low-RB cap.
pct_exact_soft_cap,0.0,Share of flagged scores exactly at the non-catastrophic soft cap.
