fusion_source,final_priority_severity,detection_confidence,rows,median_actual_tp,median_final_priority,median_raw_priority,median_impact,median_confidence
ml_only_retained,Medium,High,1,15.382952,62.13,62.13,50.05,76.9
ml_only_retained,Medium,Very High,1,30.009735,57.14,57.14,38.14,80.37
not_handed_off,Normal,High,441,10.355992,0.0,45.92,28.43,64.8
not_handed_off,Normal,Low,25563,49.305984,0.0,4.99,0.0,11.09
not_handed_off,Normal,Medium,3023,9.126768,0.0,28.26,15.96,47.71
not_handed_off,Normal,Very High,14,7.750752,0.0,54.195,31.189999999999998,82.51
statistical_and_ml_consensus,Critical,Very High,24,5.462260000000001,94.41999999999999,94.41999999999999,89.855,100.0
statistical_and_ml_consensus,High,Very High,111,18.31904,80.59,80.59,64.75,100.0
statistical_and_ml_consensus,Medium,Very High,1,15.2183275,64.69,64.69,41.72,92.76
statistical_only_retained,Critical,Very High,23,2.249976,93.35,93.35,94.23,94.43
statistical_only_retained,High,High,930,0.703452,75.11500000000001,75.11500000000001,77.83,72.0
statistical_only_retained,High,Low,62,1.4702,67.27,67.27,94.685,35.91
statistical_only_retained,High,Medium,499,0.83376,73.35,73.35,90.95,51.7
statistical_only_retained,High,Very High,224,5.861136,77.71000000000001,77.71000000000001,69.935,85.815
statistical_only_retained,Medium,High,459,11.536144,60.44,60.44,55.69,65.78
statistical_only_retained,Medium,Low,168,4.406456,58.985,58.985,81.58,32.085
statistical_only_retained,Medium,Medium,675,10.995176,56.81,56.81,58.36,54.67
statistical_only_retained,Medium,Very High,19,10.787104,61.26,61.26,44.24,82.17
