column,dtype,non_null,missing_pct,description
anomaly_id,object,6217,0.0,RCA handoff / anomaly evidence column
anomaly_episode_id,object,6217,0.0,RCA handoff / anomaly evidence column
source_index,int64,6217,0.0,RCA handoff / anomaly evidence column
id,object,6217,0.0,RCA handoff / anomaly evidence column
timestamp,"datetime64[ns, pytz.FixedOffset(120)]",6217,0.0,RCA handoff / anomaly evidence column
date,object,6217,0.0,RCA handoff / anomaly evidence column
hour,int32,6217,0.0,RCA handoff / anomaly evidence column
minute,int32,6217,0.0,RCA handoff / anomaly evidence column
id_route_test_label,object,6217,0.0,RCA handoff / anomaly evidence column
id_location_label,object,6217,0.0,RCA handoff / anomaly evidence column
id_test_type,object,6217,0.0,RCA handoff / anomaly evidence column
session_elapsed_seconds,float64,6217,0.0,RCA handoff / anomaly evidence column
sample_gap_seconds,float64,6119,1.576,RCA handoff / anomaly evidence column
anomaly_analysis_window_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
download_activity_window_raw_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
download_analysis_window_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
inactive_download_context_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
download_context_label,object,6217,0.0,RCA handoff / anomaly evidence column
latitude,float64,6217,0.0,RCA handoff / anomaly evidence column
longitude,float64,6217,0.0,RCA handoff / anomaly evidence column
speed,float64,6217,0.0,RCA handoff / anomaly evidence column
location_accuracy,float64,6217,0.0,RCA handoff / anomaly evidence column
altitude,float64,6217,0.0,RCA handoff / anomaly evidence column
distance_from_prev_m,float64,6119,1.576,RCA handoff / anomaly evidence column
serving_pci,float64,6217,0.0,RCA handoff / anomaly evidence column
serving_earfcn,float64,6217,0.0,RCA handoff / anomaly evidence column
serving_band,float64,6217,0.0,RCA handoff / anomaly evidence column
serving_eci,float64,6183,0.547,RCA handoff / anomaly evidence column
serving_enodebid,float64,6183,0.547,RCA handoff / anomaly evidence column
serving_lci,float64,6183,0.547,RCA handoff / anomaly evidence column
actual_lte_dl_throughput,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_source_level,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_group_n,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_group_cols,object,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_p75_ci_low,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_p75_ci_high,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_p75_ci_width,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_reliable_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_confidence,object,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_radio_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_radio_source_level,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_radio_group_n,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_radio_group_cols,object,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_radio_p75_ci_low,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_radio_p75_ci_high,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_radio_p75_ci_width,float64,6217,0.0,RCA handoff / anomaly evidence column
throughput_gap_p75_ci_low,float64,6217,0.0,RCA handoff / anomaly evidence column
throughput_ratio_p75_ci_low,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_conditioned_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_source_level,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_group_n,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_group_cols,object,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_p75_ci_low,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_p75_ci_high,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_p75_ci_width,float64,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_reliable_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
expected_tp_rb_confidence,object,6217,0.0,RCA handoff / anomaly evidence column
throughput_gap_rb_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
throughput_ratio_rb_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
log_residual_rb_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
throughput_gap_rb_p75_ci_low,float64,6217,0.0,RCA handoff / anomaly evidence column
throughput_ratio_rb_p75_ci_low,float64,6217,0.0,RCA handoff / anomaly evidence column
underperform_vs_rb_p75_context_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
underperform_vs_rb_p75_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
independent_trigger_count,int64,6217,0.0,RCA handoff / anomaly evidence column
trigger_family_flags,object,6217,0.0,RCA handoff / anomaly evidence column
score_base_from_strongest_trigger,float64,6217,0.0,RCA handoff / anomaly evidence column
score_continuous_magnitude,float64,6217,0.0,RCA handoff / anomaly evidence column
score_independent_trigger_bonus,float64,6217,0.0,RCA handoff / anomaly evidence column
score_evidence_bonus,float64,6217,0.0,RCA handoff / anomaly evidence column
throughput_gap_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
throughput_ratio_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
log_residual_p75,float64,6217,0.0,RCA handoff / anomaly evidence column
rolling_median_tp,float64,6217,0.0,RCA handoff / anomaly evidence column
rolling_p25_tp,float64,6217,0.0,RCA handoff / anomaly evidence column
rolling_count,float64,6217,0.0,RCA handoff / anomaly evidence column
