column,feature_type
ml_hour_sin,numeric
ml_hour_cos,numeric
session_elapsed_seconds,numeric
speed,numeric
distance_from_prev_m,numeric
lte_rsrp,numeric
lte_rsrq,numeric
lte_sinr,numeric
lte_rssi,numeric
lte_cqi,numeric
lte_mcs,numeric
lte_bler,numeric
lte_rank,numeric
lte_rb_count,numeric
lte_agg_rb_dl,numeric
rb_usage_value,numeric
rb_utilization_pct_clipped,numeric
carrier_count,numeric
lte_agg_bandwidth_dl,numeric
lte_bandwidth_dl,numeric
scell1_rsrp,numeric
scell1_rsrq,numeric
scell1_sinr,numeric
scell1_cqi,numeric
scell1_mcs,numeric
scell1_bler,numeric
scell1_rb_count,numeric
best_neighbor_rsrp,numeric
serving_minus_best_neighbor_rsrp,numeric
ml_log1p_handover_execution_count_prev5s,numeric
ml_log1p_handover_failure_count_prev10s,numeric
ml_log1p_rach_failure_count_prev10s,numeric
ml_log1p_ca_activation_change_count_prev10s,numeric
