file,purpose
rca_anomaly_incidents_shortlist_diverse.json,Primary diverse incident shortlist for RCA/demo
rca_anomaly_incidents_full_compact.json,All compact RCA-ready incidents
worst_performing_cells_rca_handoff.json,Worst cells ranked using throughput + CQI/MCS/BLER + anomaly evidence
worst_performing_pci_rca_handoff.json,PCI-only ranking; interpret with PCI reuse caution
02_eci_location_maps/anomalous_eci_approx_locations.geojson,Dashboard-ready approximate anomalous ECI/cell points
02_eci_location_maps/anomalous_eci_approx_locations_map.html,Interactive review map
statistical_threshold_calibration_report.csv,Data-driven threshold validation
fusion_component_empirical_validation.csv,Checks whether fusion components/bonuses are proportionate
ml_final_model_selection_summary.csv,Why final predictive models are kept vs validation-only
rca_json_schema_dictionary.csv,Compact JSON field dictionary
