category,file,path
preprocessing,activity_table.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\activity_table.csv
preprocessing,activity_type_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\activity_type_summary.csv
preprocessing,canonical_column_mapping.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\canonical_column_mapping.csv
preprocessing,cleaned_throughput_data_dictionary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\cleaned_throughput_data_dictionary.csv
preprocessing,cleaning_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\cleaning_summary.csv
preprocessing,column_family_summary_after_cleaning.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\column_family_summary_after_cleaning.csv
preprocessing,column_family_summary_before_cleaning.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\column_family_summary_before_cleaning.csv
preprocessing,download_activity_intervals_used.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\download_activity_intervals_used.csv
preprocessing,download_activity_window_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\download_activity_window_summary.csv
preprocessing,drive_clean_throughput_base.csv.gz,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\drive_clean_throughput_base.csv.gz
preprocessing,event_feature_causality_audit.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\event_feature_causality_audit.csv
preprocessing,event_summary_event_family.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\event_summary_event_family.csv
preprocessing,event_summary_Events_category.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\event_summary_Events_category.csv
preprocessing,event_summary_Events_subject.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\event_summary_Events_subject.csv
preprocessing,event_summary_Events_Tech.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\event_summary_Events_Tech.csv
preprocessing,event_summary_Events_titles.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\event_summary_Events_titles.csv
preprocessing,events_long.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\events_long.csv
preprocessing,kept_columns_after_cleaning.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\kept_columns_after_cleaning.csv
preprocessing,lte_dl_feature_table_clean_pre_anomaly.parquet,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\lte_dl_feature_table_clean_pre_anomaly.parquet
preprocessing,lte_dl_modeling_table.parquet,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\lte_dl_modeling_table.parquet
preprocessing,missing_threshold_impact.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\missing_threshold_impact.csv
preprocessing,output_index.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\output_index.csv
preprocessing,pre_anomaly_feature_table_leakage_guard.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\pre_anomaly_feature_table_leakage_guard.csv
preprocessing,pre_anomaly_leakage_guard_validation_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\pre_anomaly_leakage_guard_validation_summary.csv
preprocessing,preprocessing_run_metadata.json,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\preprocessing_run_metadata.json
preprocessing,raw_data_dictionary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\raw_data_dictionary.csv
preprocessing,rb_usage_quality_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\rb_usage_quality_summary.csv
preprocessing,removed_columns_reason_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\removed_columns_reason_summary.csv
preprocessing,removed_columns_report.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\removed_columns_report.csv
preprocessing,sampling_gap_validation_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\sampling_gap_validation_summary.csv
preprocessing,throughput_by_ca_condition_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\throughput_by_ca_condition_summary.csv
preprocessing,throughput_by_download_context_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\throughput_by_download_context_summary.csv
preprocessing,throughput_by_rb_demand_summary.csv,Throughput_Anomaly_Detection_Outputs\01_preprocessing_cleaning\throughput_by_rb_demand_summary.csv
statistical_csv,anomaly_flag_overlap_summary.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\anomaly_flag_overlap_summary.csv
statistical_csv,anomaly_method_summary.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\anomaly_method_summary.csv
statistical_csv,anomaly_percentage_qc_review.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\anomaly_percentage_qc_review.csv
statistical_csv,anomaly_score_distribution_qc.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\anomaly_score_distribution_qc.csv
statistical_csv,anomaly_summary_by_serving_pci.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\anomaly_summary_by_serving_pci.csv
statistical_csv,anomaly_summary_by_type_severity.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\anomaly_summary_by_type_severity.csv
statistical_csv,expected_throughput_group_p75.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\expected_throughput_group_p75.csv
statistical_csv,expected_throughput_group_radio_p75.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\expected_throughput_group_radio_p75.csv
statistical_csv,expected_throughput_group_rb_conditioned_p75.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\expected_throughput_group_rb_conditioned_p75.csv
statistical_csv,lte_dl_anomaly_audit_table_post_scoring.parquet,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\lte_dl_anomaly_audit_table_post_scoring.parquet
statistical_csv,lte_dl_session_anomaly_summary.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\lte_dl_session_anomaly_summary.csv
statistical_csv,lte_throughput_anomalies_baseline.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\lte_throughput_anomalies_baseline.csv
statistical_csv,lte_throughput_anomaly_candidates_all.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\lte_throughput_anomaly_candidates_all.csv
statistical_csv,lte_throughput_anomaly_output_schema.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\lte_throughput_anomaly_output_schema.csv
statistical_csv,p75_expected_throughput_diagnostics.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\p75_expected_throughput_diagnostics.csv
statistical_csv,p75_reliability_summary.csv,Throughput_Anomaly_Detection_Outputs\02_anomaly_detection\01_statistical_csv\p75_reliability_summary.csv
