serving_cell_key,serving_eci,serving_pci,serving_earfcn,approx_latitude,approx_longitude,location_uncertainty_radius_m,p90_observation_spread_m,anomaly_gps_rows,sessions,max_incident_priority_0_100,dominant_case,coverage_or_planning_review,location_reliability,location_is_tower_coordinate,location_method
ECI:1069373.0,1069373.0,135.0,40790.0,-17.7726621,177.4070924,469.495064764212,469.495064764212,29,2,78.41,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1078590.0,1078590.0,163.0,40790.0,-17.6489321,177.44411235,288.02449207082,288.02449207082,24,2,78.33,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1067153.0,1067153.0,338.0,41384.0,-17.77684516,177.432535605,304.7775404513755,304.7775404513755,20,6,77.27,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1072439.0,1072439.0,394.0,41384.0,-17.771699245,177.42592524,852.9372517291732,852.9372517291732,18,3,76.92,ca_underperformance,True,LOW,False,anomaly_observation_centroid
EARFCN:1850.0|PCI:230.0,,230.0,1850.0,-17.6158366,177.4576468,0.0,0.0,1,1,76.35,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1065015.0,1065015.0,469.0,41384.0,-17.812025815,177.443056985,98.62278718545731,98.62278718545731,2,2,75.6,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:3642943.0,3642943.0,313.0,41384.0,-17.6304788,177.4424698,181.88150716418286,181.88150716418286,31,5,75.43,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1065506.0,1065506.0,322.0,1850.0,-17.78942887,177.42703991,137.9324470656559,137.9324470656559,5,1,75.3,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1066294.0,1066294.0,487.0,41384.0,-17.739072725,177.45419496,2786.890600182036,2786.890600182036,56,9,75.12,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1081375.0,1081375.0,454.0,1850.0,-17.6767834,177.4061108,723.8116595886263,723.8116595886263,17,3,74.81,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1072446.0,1072446.0,394.0,40790.0,-17.76952385,177.4269644,579.9913848807075,579.9913848807075,18,1,74.38,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1071136.0,1071136.0,338.0,1850.0,-17.7371849,177.459908,0.02135301401686321,0.02135301401686321,34,2,74.15,ca_underperformance,True,HIGH,False,anomaly_observation_centroid
ECI:3638838.0,3638838.0,254.0,40988.0,-17.62707,177.4663394,411.73018601814385,411.73018601814385,13,2,73.97,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1064759.0,1064759.0,149.0,41384.0,-17.8070401,177.4181157,12.524545877540708,12.524545877540708,23,4,73.92,ca_underperformance,True,HIGH,False,anomaly_observation_centroid
ECI:1068575.0,1068575.0,122.0,1850.0,-17.746794325,177.44464355,227.47611710040374,227.47611710040374,20,1,73.81,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1065505.0,1065505.0,321.0,1850.0,-17.783592634999998,177.42865783000002,6.447491840387758,6.447491840387758,2,1,73.73,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1067060.0,1067060.0,129.0,41186.0,-17.776664500000003,177.4320088,224.68122555350385,224.68122555350385,22,3,73.72,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1065268.0,1065268.0,146.0,41186.0,-17.796832,177.40739706,32.07660141054618,32.07660141054618,41,3,73.68,radio_limited_degradation,True,HIGH,False,anomaly_observation_centroid
ECI:1076540.0,1076540.0,141.0,40790.0,-17.606169715,177.443609735,20.618376295591638,20.618376295591638,2,1,73.64,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1072199.0,1072199.0,210.0,9310.0,-17.76173269,177.46507949,0.0,0.0,1,1,73.41,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1072702.0,1072702.0,394.0,40790.0,-17.780715305,177.43060671,102.75930039119169,102.75930039119169,18,2,73.32,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:3623958.0,3623958.0,155.0,500.0,-17.77317708,177.3794864,264.7930446882654,264.7930446882654,5,3,73.26,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1065535.0,1065535.0,394.0,40988.0,-17.78080689,177.432206335,54.91647752123505,54.91647752123505,6,1,73.23,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1076797.0,1076797.0,185.0,40790.0,-17.60334888,177.44961775000002,121.79670194813374,121.79670194813374,6,2,73.17,ca_underperformance,False,MEDIUM,False,anomaly_observation_centroid
ECI:3638848.0,3638848.0,254.0,41384.0,-17.626646100000002,177.4651164,599.062987376693,599.062987376693,22,3,73.09,ca_underperformance,True,LOW,False,anomaly_observation_centroid
EARFCN:41186.0|PCI:151.0,,151.0,41186.0,-17.8116013,177.3998509,0.0,0.0,1,1,72.16,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1072704.0,1072704.0,395.0,40988.0,-17.7809412,177.43368277,38.64190191871323,38.64190191871323,11,1,72.1,ca_underperformance,True,HIGH,False,anomaly_observation_centroid
ECI:1068313.0,1068313.0,50.0,356.0,-17.7481703,177.4553386,0.0,0.0,1,1,71.51,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1069336.0,1069336.0,135.0,356.0,-17.78062541,177.41386215,168.9434830306747,168.9434830306747,5,1,71.32,ca_underperformance,False,MEDIUM,False,anomaly_observation_centroid
ECI:1077780.0,1077780.0,165.0,500.0,-17.6310986,177.45456668,356.920086835666,356.920086835666,16,5,71.23,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1064756.0,1064756.0,149.0,41186.0,-17.80922389,177.41292875,880.6725477688203,880.6725477688203,7,4,71.19,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1067839.0,1067839.0,128.0,40988.0,-17.77381651,177.4557547,433.3890170786966,433.3890170786966,17,2,71.11,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1069516.0,1069516.0,403.0,356.0,-17.779044755,177.42532592999999,20.113972179154395,20.113972179154395,4,1,71.08,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1076426.0,1076426.0,375.0,500.0,-17.61078999,177.461520215,752.0734661877468,752.0734661877468,30,4,70.99,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:3625798.0,3625798.0,115.0,9310.0,-17.75350881,177.453664915,168.34678500380335,168.34678500380335,28,2,70.98,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
EARFCN:40790.0|PCI:120.0,,120.0,40790.0,-17.74493263,177.43975535,0.0,0.0,1,1,70.75,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1079613.0,1079613.0,345.0,40790.0,-17.62297957,177.4349006,107.18379096906371,107.18379096906371,11,2,70.59,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1069374.0,1069374.0,137.0,40790.0,-17.77935821,177.41171072,979.7346182713179,979.7346182713179,11,3,70.29,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1081630.0,1081630.0,354.0,1850.0,-17.63582129,177.43141131,24.249601755492243,24.249601755492243,3,1,70.11,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1066772.0,1066772.0,157.0,500.0,-17.77270609,177.37426741,264.42839131524136,264.42839131524136,3,2,69.97,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:3640375.0,3640375.0,275.0,40988.0,-17.6319169,177.45564708,451.2625498616442,451.2625498616442,17,4,69.95,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1067828.0,1067828.0,127.0,41186.0,-17.78486397,177.42824837,21.83283970776513,21.83283970776513,5,1,69.4,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1065271.0,1065271.0,146.0,41384.0,-17.79672195,177.40751801,967.7738312653079,967.7738312653079,12,3,69.38,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1070391.0,1070391.0,470.0,41384.0,-17.80732475,177.452334025,98.88129059577287,98.88129059577287,4,1,69.15,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
EARFCN:41186.0|PCI:124.0,,124.0,41186.0,-17.76493678,177.44729012,0.0,0.0,1,1,69.12,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1067570.0,1067570.0,151.0,41186.0,-17.811601305,177.3998509,249.58931586635694,249.58931586635694,48,5,68.97,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:3638808.0,3638808.0,254.0,500.0,-17.62752269,177.46377827,28.695715083836316,28.695715083836316,2,1,68.95,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:3638847.0,3638847.0,253.0,41384.0,-17.6229909,177.46680211,99.85909766495966,99.85909766495966,5,1,68.91,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1082166.0,1082166.0,140.0,41384.0,-17.611307,177.45344899,552.5274155374851,552.5274155374851,11,4,68.68,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1073216.0,1073216.0,430.0,40988.0,-17.796731010000002,177.447838525,521.8466924467868,521.8466924467868,4,2,68.39,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1065524.0,1065524.0,133.0,41186.0,-17.7850793,177.4228236,297.58524947424803,297.58524947424803,11,2,68.33,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1072445.0,1072445.0,395.0,40790.0,-17.768251614999997,177.435181345,417.62785079742434,417.62785079742434,4,2,68.28,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1066034.0,1066034.0,124.0,41186.0,-17.7665226,177.44771125,299.64367515740906,299.64367515740906,54,5,68.16,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
EARFCN:40988.0|PCI:158.0,,158.0,40988.0,-17.77489575,177.3751776,82.65367095507985,82.65367095507985,2,2,68.16,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:3640345.0,3640345.0,275.0,500.0,-17.6285503,177.4569063,0.0,0.0,1,1,68.14,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1066036.0,1066036.0,125.0,41186.0,-17.76525337,177.44398322,576.7466223577509,576.7466223577509,15,2,68.04,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:3625800.0,3625800.0,114.0,9310.0,-17.7536669,177.45097588,70.34479518855201,70.34479518855201,13,2,67.89,radio_limited_degradation,True,HIGH,False,anomaly_observation_centroid
ECI:3638837.0,3638837.0,253.0,40988.0,-17.617239984999998,177.46434756000002,373.0491256348804,373.0491256348804,16,4,67.84,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:3643080.0,3643080.0,310.0,356.0,-17.6293583,177.440515,16.757453365183984,16.757453365183984,6,2,67.68,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1081653.0,1081653.0,315.0,41384.0,-17.6313312,177.4399178,145.46821043300676,145.46821043300676,7,2,67.63,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1064755.0,1064755.0,148.0,41186.0,-17.813111505000002,177.43487388,1466.364971965241,1466.364971965241,36,8,67.59,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1067841.0,1067841.0,127.0,40988.0,-17.782193030000002,177.449653165,455.5481510532053,455.5481510532053,14,2,67.46,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:3640372.0,3640372.0,272.0,40790.0,-17.63046971,177.453914505,533.696848878737,533.696848878737,4,2,67.42,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1081652.0,1081652.0,356.0,41186.0,-17.6412115,177.4212968,1022.6342908858877,1022.6342908858877,13,3,67.19,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1073460.0,1073460.0,82.0,41186.0,-17.769947,177.4875485,34.57954461854886,34.57954461854886,7,1,67.13,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
EARFCN:40988.0|PCI:351.0,,351.0,40988.0,-17.6259577,177.47975582,0.0,0.0,1,1,67.04,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1070356.0,1070356.0,333.0,500.0,-17.7820418,177.4892468,0.0,0.0,1,1,67.04,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1066814.0,1066814.0,156.0,40790.0,-17.776903400000002,177.36828265,539.410658271217,539.410658271217,16,2,66.94,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1077825.0,1077825.0,167.0,40988.0,-17.63309209,177.4542945,509.8613289005079,509.8613289005079,47,7,66.91,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1067148.0,1067148.0,339.0,41186.0,-17.77346155,177.4340401,112.59838472391377,112.59838472391377,16,1,66.77,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1066816.0,1066816.0,158.0,40988.0,-17.775371745,177.37534552,320.76389544930515,320.76389544930515,18,5,66.64,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1066048.0,1066048.0,123.0,40988.0,-17.76906107,177.44018496,0.005391509251889438,0.005391509251889438,22,2,66.53,radio_limited_degradation,True,HIGH,False,anomaly_observation_centroid
ECI:1065012.0,1065012.0,469.0,41186.0,-17.81433288,177.43574818,10.786979697413512,10.786979697413512,3,1,66.53,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1078583.0,1078583.0,163.0,41384.0,-17.6470774,177.43927663,748.9539046413537,748.9539046413537,23,4,66.45,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:3635988.0,3635988.0,230.0,500.0,-17.6154999,177.46544908,9.548993301445465,9.548993301445465,5,1,66.18,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:3638804.0,3638804.0,250.0,500.0,-17.619352980000002,177.4643918,483.4740855237834,483.4740855237834,10,2,66.18,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1073174.0,1073174.0,431.0,500.0,-17.7892713,177.441017,445.40376441150033,445.40376441150033,9,1,66.11,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1068338.0,1068338.0,49.0,41186.0,-17.74446573,177.4569019,0.0,0.0,1,1,65.99,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1065269.0,1065269.0,144.0,41384.0,-17.805688,177.4149036,180.75368655714973,180.75368655714973,17,3,65.98,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1064509.0,1064509.0,288.0,40790.0,-17.8159711,177.3955937,0.015352927855225991,0.015352927855225991,7,2,65.96,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1069126.0,1069126.0,138.0,9310.0,-17.789025835,177.394103055,655.995100024852,655.995100024852,38,4,65.66,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1065675.0,1065675.0,321.0,356.0,-17.7799223,177.42636144,295.3154286580656,295.3154286580656,7,2,65.5,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:3638807.0,3638807.0,253.0,500.0,-17.6218325,177.46724925,59.08610637423625,59.08610637423625,4,1,65.5,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1082689.0,1082689.0,16.0,40988.0,-17.644064885,177.433009855,38.47002472740843,38.47002472740843,6,1,65.29,ca_underperformance,False,MEDIUM,False,anomaly_observation_centroid
ECI:1069080.0,1069080.0,140.0,356.0,-17.795900605,177.39659968,1116.7896488780054,1116.7896488780054,12,3,65.15,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1067286.0,1067286.0,212.0,500.0,-17.76251478,177.46458487,0.0,0.0,1,1,65.11,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1081376.0,1081376.0,455.0,1850.0,-17.669092165000002,177.40758456,526.4359312406306,526.4359312406306,16,2,65.06,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1073726.0,1073726.0,363.0,40790.0,-17.7968343,177.4070941,458.28664492464713,458.28664492464713,13,2,64.94,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1066038.0,1066038.0,123.0,41384.0,-17.76949527,177.4391596,426.9724677000455,426.9724677000455,24,3,64.89,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1068615.0,1068615.0,122.0,9310.0,-17.76386648,177.44083012,391.9002404955508,391.9002404955508,7,3,64.79,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1065020.0,1065020.0,148.0,40790.0,-17.80064025,177.452741745,46.77865081735762,46.77865081735762,6,1,64.79,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1079366.0,1079366.0,320.0,9310.0,-17.6625847,177.4057059,23.996841928600055,23.996841928600055,5,1,64.73,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1082165.0,1082165.0,139.0,41384.0,-17.6039866,177.45316352,447.793912181657,447.793912181657,15,5,64.53,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
