incident_id,session_id,start_time,end_time,serving_cell_key,serving_pci,serving_eci,latitude,longitude,location_reliability,location_uncertainty_radius_m,detection_case,dominant_statistical_type,dominant_ml_type,coverage_or_planning_review,peak_row_priority_0_100,episode_adjusted_priority_0_100,incident_final_priority_0_100,priority_score_0_100,impact_score_0_100,detection_confidence_0_100,persistence_score_0_100,severity,requires_human_review,lte_rank,mimo_layer_utilization_pct,mimo_throughput_gain_pct,serving_minus_best_neighbor_rsrp,near_handover_mobility_flag,handover_mobility_count_pm5s,ho_dwell_time_s,ue_speed_kmh,near_rach_failure_flag,rach_attempt_count,rach_access_delay_ms,rach_failure_rate_pct,rach_reason,cell_prb_utilization_pct,neighbor_cell_availability
INC-000001,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,2025-08-26 23:37:42+02:00,2025-08-26 23:37:42+02:00,ECI:1067720.0,351.0,1067720.0,-17.8159714,177.3955939,LOW,0.0,radio_limited_degradation,radio_limited_degradation,normal,True,76.65,60.54,48.22,48.22,58.59,35.54,13.17,Medium,False,1.0,0.0,0.0,9.792663999999988,False,0.0,2.0,0.0001228923210874,False,6.0,,0.0,,11.0,100.0
INC-000002,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,2025-08-26 23:38:05+02:00,2025-08-26 23:38:06+02:00,ECI:1065267.0,145.0,1065267.0,-17.81597139,177.395593795,LOW,0.0012315062311042094,radio_limited_degradation,radio_limited_degradation,normal,True,57.63,51.85,47.29,47.29,42.85,52.71,19.67,Medium,False,2.0,96.8371212050871,96.83712120508713,2.947811999999999,False,0.0,22.5,4.138317137858394e-07,False,0.0,4.0,,Connection Request,56.5,100.0
INC-000003,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,2025-08-26 23:39:20+02:00,2025-08-26 23:39:21+02:00,ECI:1065280.0,145.0,1065280.0,-17.8159712,177.3955936,LOW,0.0,ca_underperformance,ca_underperformance,ml_quantile_p75_resource_underperformance,False,76.7,64.05,56.94,56.94,46.18,70.08,19.67,Medium,False,1.5,50.5,50.5,-0.063804999999995,False,0.0,0.5,0.00038521276292155,True,68.0,4.0,80.88235294117646,Radio link Failure,81.5,100.0
INC-000004,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,2025-08-26 23:39:27+02:00,2025-08-26 23:39:27+02:00,ECI:1064509.0,288.0,1064509.0,-17.8159712,177.3955937,LOW,0.0,temporal_local_drop,sudden_drop,normal,False,73.55,62.72,54.79,54.79,49.76,60.93,13.17,Medium,False,1.0,0.0,0.0,7.679114999999996,False,0.0,0.0,0.000604226894211,True,68.0,4.0,80.88235294117646,Radio link Failure,63.0,100.0
INC-000005,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:39:49+02:00,2025-08-26 23:39:49+02:00,EARFCN:40790.0|PCI:288.0,288.0,,-17.8159711,177.3955936,LOW,0.0,ca_underperformance,ca_underperformance,ml_quantile_p75_resource_underperformance,False,80.75,68.12,59.23,59.23,46.48,74.81,13.17,Medium,False,2.0,100.0,100.0,2.886459000000002,False,0.0,0.0,0.0059896013699471,False,0.0,,,,87.5,100.0
INC-000006,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:39:50+02:00,2025-08-26 23:39:50+02:00,ECI:1064509.0,288.0,1064509.0,-17.81597115,177.39559364,LOW,0.0,ca_underperformance,ca_underperformance,ml_quantile_p75_resource_underperformance,False,72.49,68.68,64.42,64.42,39.64,94.7,13.17,Medium,False,2.0,95.90909095909092,95.90909095909093,3.6087599999999895,False,0.0,0.0,0.0,False,0.0,,,,77.0,100.0
INC-000007,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:40:01+02:00,2025-08-26 23:40:01+02:00,ECI:1064509.0,288.0,1064509.0,-17.8159711,177.3955937,LOW,0.0,ca_underperformance,ca_underperformance,ml_quantile_p75_resource_underperformance,False,75.07,70.61,65.96,65.96,39.77,97.98,13.17,High,False,2.0,98.5,98.50000000000001,6.964119999999994,False,0.0,11.0,0.0050640534609556,False,0.0,,,,88.5,100.0
INC-000008,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:40:15+02:00,2025-08-26 23:40:15+02:00,ECI:1064509.0,288.0,1064509.0,-17.8159711,177.3955937,LOW,0.0,radio_limited_degradation,radio_limited_degradation,normal,True,70.55,60.47,53.09,53.09,46.79,60.78,13.17,Medium,False,2.0,97.5,97.50000000000001,6.718685999999991,False,0.0,25.0,1.1140240729901052e-08,False,0.0,,,,1.0,100.0
INC-000009,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:41:14+02:00,2025-08-26 23:41:14+02:00,ECI:1064509.0,288.0,1064509.0,-17.8159711,177.3955937,LOW,0.0,radio_limited_degradation,radio_limited_degradation,normal,True,71.13,60.91,53.44,53.44,46.79,61.57,13.17,Medium,False,2.0,95.0,95.0,2.535415999999998,False,0.0,84.0,1.098888165250271e-13,False,0.0,,,,2.0,100.0
INC-000010,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:41:35+02:00,2025-08-26 23:41:36+02:00,ECI:1064509.0,288.0,1064509.0,-17.815971,177.3955936,LOW,0.0,radio_limited_degradation,radio_limited_degradation,normal,True,80.15,68.66,60.32,60.32,54.3,67.68,19.67,Medium,False,1.5,60.0,60.0,3.3150400000000033,False,0.0,105.5,1.4505464420722092e-06,False,0.0,,,,9.0,100.0
INC-000011,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:42:12+02:00,2025-08-26 23:42:12+02:00,ECI:1065267.0,145.0,1065267.0,-17.815971,177.3955936,LOW,0.0,ca_underperformance,ca_underperformance,normal,False,66.78,57.64,51.01,51.01,41.68,62.42,13.17,Medium,False,2.0,68.82353,68.82353,-1.0562500000000057,True,4.0,1.0,0.001845980877988,False,15.0,4.0,0.0,Handover,90.5,100.0
INC-000012,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:42:55+02:00,2025-08-26 23:42:55+02:00,ECI:1065267.0,145.0,1065267.0,-17.8159709,177.3955934,LOW,0.0,radio_limited_degradation,radio_limited_degradation,normal,True,63.86,55.45,49.2,49.2,43.41,56.28,13.17,Medium,False,2.0,99.0,99.0,6.538885000000008,True,2.0,44.0,0.0044417642056941,False,10.0,4.0,0.0,Handover,37.0,100.0
INC-000013,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:04+02:00,2025-08-26 23:43:04+02:00,ECI:1065267.0,151.0,1065267.0,-17.8157187,177.3958836,LOW,0.0,radio_limited_degradation,radio_limited_degradation,normal,True,68.81,59.16,52.17,52.17,43.41,62.88,13.17,Medium,False,1.0,67.77778,67.77778,-2.192059999999998,True,8.0,0.0,8.521203994750977,False,30.0,4.0,0.0,Handover,53.5,100.0
INC-000014,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:18+02:00,2025-08-26 23:43:21+02:00,ECI:1065267.0,145.0,1065267.0,-17.814637665,177.396933415,LOW,16.15610988394129,ca_underperformance,ca_underperformance,normal,False,76.64,61.56,54.22,54.22,45.86,64.42,14.67,Medium,False,2.0,72.2,72.2,1.692149999999998,True,6.0,2.0,36.738,False,25.0,4.0,0.0,Handover,35.0,100.0
INC-000015,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:37+02:00,2025-08-26 23:43:37+02:00,ECI:1067570.0,151.0,1067570.0,-17.81350226,177.39803618,LOW,0.0,temporal_local_drop,sudden_drop,normal,False,77.87,65.96,57.37,57.37,49.82,66.6,13.17,Medium,False,2.0,100.0,100.0,7.1303199999999975,True,2.0,10.0,39.492,False,15.0,4.0,0.0,Handover,0.5,100.0
INC-000016,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:52+02:00,2025-08-26 23:43:52+02:00,ECI:1064756.0,151.0,1064756.0,-17.81249118,177.39902101,LOW,0.0,temporal_local_drop,sudden_drop,normal,False,74.67,63.56,55.53,55.53,47.69,65.11,13.17,Medium,False,2.0,96.66666661,96.66666660999998,7.394300000000001,False,0.0,8.0,39.024002,False,10.0,4.0,0.0,Handover,27.500000000000004,100.0
INC-000017,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,2025-08-26 23:44:17+02:00,2025-08-26 23:44:18+02:00,ECI:1067570.0,151.0,1067570.0,-17.81160131,177.39985085,LOW,0.0,temporal_local_drop,rolling_local_drop,normal,False,73.35,62.57,55.66,55.66,48.55,64.35,19.67,Medium,False,2.0,99.375,99.375,7.144022,False,0.0,8.5,0.0,False,0.0,,,,11.0,100.0
INC-000018,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,2025-08-26 23:44:32+02:00,2025-08-26 23:44:34+02:00,ECI:1067570.0,151.0,1067570.0,-17.8116013,177.3998509,LOW,0.0,radio_limited_degradation,radio_limited_degradation,normal,True,79.34,64.62,56.57,56.57,48.66,66.23,14.67,Medium,False,2.0,98.88888890944443,98.88888890944443,8.744301999999998,False,0.0,24.0,3.4615654787018e-08,False,0.0,,,,17.0,100.0
INC-000019,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,2025-08-26 23:44:44+02:00,2025-08-26 23:44:48+02:00,ECI:1067570.0,151.0,1067570.0,-17.81160131,177.39985085,LOW,0.004327033331331814,radio_limited_degradation,radio_limited_degradation,normal,True,88.13,71.86,63.1,63.1,54.32,73.84,21.17,Medium,False,2.0,98.18181806181818,98.1818180618182,10.260630000000006,False,0.0,38.0,0.0,False,0.0,,,,27.500000000000004,100.0
INC-000020,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,2025-08-26 23:44:56+02:00,2025-08-26 23:44:56+02:00,ECI:1067570.0,151.0,1067570.0,-17.8116013,177.3998509,LOW,0.0,temporal_local_drop,rb_conditioned_underperformance,ml_hgb_strict_causal_temporal_underperformance,False,75.36,70.83,66.02,66.02,43.04,94.11,13.17,High,False,2.0,99.54545453668182,99.54545453668182,6.185540000000003,False,0.0,47.0,9.116951036345147e-15,False,0.0,,,,62.5,100.0
INC-000021,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,2025-08-26 23:45:09+02:00,2025-08-26 23:45:10+02:00,ECI:1067570.0,151.0,1067570.0,-17.811601305,177.399850875,LOW,0.0027043958321114315,radio_limited_degradation,radio_limited_degradation,normal,True,83.11,71.05,62.11,62.11,57.7,67.5,19.67,Medium,False,1.5,45.0,44.99999999999999,6.667429999999996,False,0.0,60.5,4.558475518172574e-15,False,0.0,,,,0.5,100.0
