rank,incident_id,detection_case,incident_final_priority_0_100,peak_row_priority_0_100,html_file,path
1,INC-000442,radio_limited_degradation,75.3,91.57,radio_limited_degradation_top_01_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\radio_limited_degradation_top_01_interactive.html
2,INC-000547,ca_underperformance,78.41,94.1,ca_underperformance_top_02_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\ca_underperformance_top_02_interactive.html
3,INC-000345,temporal_local_drop,73.26,87.93,temporal_local_drop_top_03_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\temporal_local_drop_top_03_interactive.html
4,INC-000328,temporal_sudden_drop,66.64,76.25,temporal_sudden_drop_top_04_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\temporal_sudden_drop_top_04_interactive.html
5,INC-001334,rb_conditioned_expected_underperformance,67.19,77.53,rb_conditioned_expected_underperformance_top_05_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\rb_conditioned_expected_underperformance_top_05_interactive.html
6,INC-000415,radio_condition_expected_underperformance,43.82,65.28,radio_condition_expected_underperformance_top_06_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\radio_condition_expected_underperformance_top_06_interactive.html
7,INC-000840,ca_underperformance,78.33,96.95,ca_underperformance_top_07_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\ca_underperformance_top_07_interactive.html
8,INC-000476,ca_underperformance,77.27,95.08,ca_underperformance_top_08_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\ca_underperformance_top_08_interactive.html
9,INC-000662,radio_limited_degradation,75.12,91.25,radio_limited_degradation_top_09_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\radio_limited_degradation_top_09_interactive.html
10,INC-000667,radio_limited_degradation,73.81,94.43,radio_limited_degradation_top_10_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\radio_limited_degradation_top_10_interactive.html
11,INC-000458,temporal_local_drop,72.1,86.74,temporal_local_drop_top_11_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\temporal_local_drop_top_11_interactive.html
12,INC-001110,temporal_local_drop,71.23,84.34,temporal_local_drop_top_12_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\temporal_local_drop_top_12_interactive.html
13,INC-000327,rb_conditioned_expected_underperformance,66.2,75.4,rb_conditioned_expected_underperformance_top_13_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\rb_conditioned_expected_underperformance_top_13_interactive.html
14,INC-000528,rb_conditioned_expected_underperformance,64.02,71.85,rb_conditioned_expected_underperformance_top_14_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\rb_conditioned_expected_underperformance_top_14_interactive.html
15,INC-000823,temporal_sudden_drop,56.94,78.5,temporal_sudden_drop_top_15_interactive.html,Throughput_Anomaly_Detection_Outputs\04_rca_handoff_final\01_top_anomaly_case_plots\interactive_html\temporal_sudden_drop_top_15_interactive.html
