case,rank_in_case,operational_incident_id,final_episode_id,source_index,incident_final_priority_0_100,peak_row_priority_0_100,actual_tp,radio_p75_gap,rb_p75_gap,rolling_drop_gap,previous_sample_drop_gap
balanced_ml_only_supervised_review,1,INC-000170,LTE-TP-EP-000220,34993,42.29,55.64,15.382952,16.835162999999998,175.02237300000002,-1.9791799999999995,3.9062400000000004
balanced_ml_only_supervised_review,2,INC-000432,LTE-TP-EP-000630,41374,51.86,55.39,30.009735,45.810695,50.0269125,22.770094999999998,15.68092
ca_underperformance,1,INC-000457,LTE-TP-EP-000665,41878,67.47,98.96,1.223552,110.57126925,108.167028,150.38763799999998,173.041158
ca_underperformance,2,INC-001023,LTE-TP-EP-001515,56065,73.31,97.83,2.275456,118.868004,102.22023399999999,79.961474,142.328674
radio_condition_expected_underperformance,1,INC-000415,LTE-TP-EP-000601,40381,43.82,65.28,39.71052,81.43294,64.78517,24.56188999999999,5.738301999999997
radio_condition_expected_underperformance,2,INC-000417,LTE-TP-EP-000603,40463,45.92,64.12,36.96901,84.17445000000001,67.52668,24.350430000000003,17.930484
radio_limited_degradation,1,INC-000667,LTE-TP-EP-000946,45983,73.81,94.43,0.214056,135.355244,34.020264,134.324704,134.324704
radio_limited_degradation,2,INC-000466,LTE-TP-EP-000676,41979,71.18,94.38,5.86572,113.1633225,102.35495225,87.492625,34.376104999999995
rb_conditioned_expected_underperformance,1,INC-001334,LTE-TP-EP-002007,62673,67.19,77.53,16.763111,88.95899650000001,79.47809400000001,0.4936410000000002,-4.083294999999998
rb_conditioned_expected_underperformance,2,INC-000528,LTE-TP-EP-000766,43304,64.02,71.85,28.667728,77.05437950000001,106.43897450000001,3.707761999999999,-12.109617
rb_efficiency_underperformance,1,INC-000395,LTE-TP-EP-000562,39530,61.42,65.56,0.644688,16.017576000000002,16.2111405,4.331335999999999,-0.14633600000000002
rb_efficiency_underperformance,2,INC-000378,LTE-TP-EP-000543,39447,55.31,65.46,1.028504,15.63376,15.827324499999998,5.426356,0.37351199999999984
temporal_local_drop,1,INC-000667,LTE-TP-EP-000945,45977,73.81,92.67,4.69228,130.87702,102.15730500000001,129.84647999999999,167.41546
temporal_local_drop,2,INC-000451,LTE-TP-EP-000658,41820,65.53,92.04,0.753904,99.366196,73.37289849999999,114.853376,106.92869599999999
temporal_sudden_drop,1,INC-000823,LTE-TP-EP-001176,50103,56.94,78.5,29.87156,93.76199,104.99734,22.118342000000002,81.83738
temporal_sudden_drop,2,INC-000538,LTE-TP-EP-000779,43491,64.79,77.17,39.13451,79.31327999999999,99.1217925,11.687946000000004,56.04983000000001
