model,split,fold,rows,mae_mbps,rmse_mbps,r2_mbps,mae_log,rmse_log,r2_log,pinball_loss_log,empirical_coverage,coverage_error_from_target
HGB_resource_conditioned_Q50,fold_reference_train,1,25412,7.740663410652779,11.536018568154246,0.9361140284185265,0.1840502121001278,0.24737778365862423,0.9556014253845978,,,
HGB_resource_conditioned_Q50,fold_validation,1,6445,9.593835764393285,14.32599179280891,0.8873471028687226,0.2630560553227125,0.37314539453935863,0.9036943915385114,,,
HGB_resource_conditioned_Q50,fold_reference_train,2,25418,7.756857268489382,11.532895436290254,0.9366325294395399,0.1871412374577616,0.251837596785547,0.9542312919131138,,,
HGB_resource_conditioned_Q50,fold_validation,2,6445,9.437890315919086,13.624879643099945,0.8947389066247112,0.25089460599453606,0.3545147617391267,0.9123027417805316,,,
HGB_resource_conditioned_Q50,fold_reference_train,3,25426,7.7574618009920275,11.536907332851733,0.9357606263606478,0.18672570252509463,0.25119744503066566,0.9539763517418409,,,
HGB_resource_conditioned_Q50,fold_validation,3,6443,9.73306628374251,14.811326390388837,0.882980350461805,0.2544772289727084,0.35889834480250365,0.9135116074513515,,,
HGB_resource_conditioned_Q50,fold_reference_train,4,25414,7.604270928212857,11.290477399703287,0.9326894842288999,0.1881053496767053,0.2527950412049287,0.9547007484254024,,,
HGB_resource_conditioned_Q50,fold_validation,4,6444,10.149117124151578,15.191649993263251,0.909153247650333,0.2453703712290872,0.35205301253612975,0.9059394800830691,,,
HGB_resource_conditioned_Q50,fold_reference_train,5,25401,7.668859231650041,11.456712478028452,0.9346743038942296,0.1848610527183893,0.24951494938998425,0.9546899296860394,,,
HGB_resource_conditioned_Q50,fold_validation,5,6461,10.013133743491505,14.824083754889047,0.8964785881717492,0.2602507450219058,0.3610022816426781,0.9117480281272522,,,
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,1,25412,12.420803403031165,18.17611482269226,0.8414027230843555,0.31708306689460647,0.4503922708214456,0.8528265410002616,0.09371791232777603,0.7827404375885408,0.03274043758854084
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,1,6445,12.702565355117823,18.687899913703813,0.8083035951373244,0.36211095730685106,0.5303327786732451,0.8054674188419815,0.11027227343983936,0.7503491078355314,0.000349107835531437
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,2,25418,12.484249850493299,18.41570215567485,0.8384279529217433,0.32339581455672345,0.4624424830851315,0.8456726247172276,0.0954391263892704,0.7782673695806122,0.028267369580612156
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,2,6445,13.240787121022082,18.971393052712024,0.7959197528610453,0.35397342242304786,0.5149236307343659,0.8149866724785533,0.1069585039624527,0.773467804499612,0.023467804499612055
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,3,25426,12.42607560657219,18.11830026346694,0.8415627139633993,0.3200510257096901,0.45632994453833287,0.8481172182120948,0.09485920842912912,0.7796350192716117,0.029635019271611718
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,3,6443,13.149440515561064,19.44451735994467,0.7983188895120152,0.36002776272778797,0.527715201949813,0.8130118327608051,0.10670152785083108,0.7682756479900668,0.018275647990066757
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,4,25414,12.238150157131853,17.862833031568634,0.8315158759222916,0.3255000910138619,0.4619087420938028,0.8487601322017276,0.09636038505457631,0.7817344770598883,0.0317344770598883
GradientBoosting_resource_conditioned_Q75_calibrated,fold_validation,4,6444,13.979627568302476,20.167606199313376,0.8398937743184529,0.352538887908931,0.5269696827763689,0.789252463882813,0.10642413131083425,0.7568280571073868,0.006828057107386765
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,5,25401,12.465058893255936,18.305651202598604,0.83322368093529,0.3211998088938547,0.4590613747815122,0.8466290526674549,0.09460056227164522,0.7823314042754222,0.03233140427542225
