condition,value,rows,empirical_q75_coverage,coverage_error_from_0_75,calibration_status,pinball_loss_log,median_actual_mbps,median_q75_expected_mbps
rb_usage_bucket,below_median_rb_usage,7932,0.7642460917801311,0.014246091780131143,OK,0.11989566167582577,30.779000499999995,41.6142854649362
rb_usage_bucket,high_rb_usage,8123,0.7476301858919119,-0.0023698141080881197,OK,0.07156284762404717,83.39938999999995,98.50796324748922
rb_usage_bucket,low_rb_usage,8134,0.7723137447750185,0.022313744775018463,OK,0.14036833761084336,10.35814,15.229821547507942
rb_usage_bucket,medium_rb_usage,8049,0.7540067089079389,0.004006708907938861,OK,0.1014400701288193,55.35194399999999,70.72730586257963
ca_condition_label,2CC_CA,22195,0.7616580310880829,0.011658031088082943,OK,0.10736794965692158,49.34956699999999,62.13546993549373
ca_condition_label,3CC_or_more_CA,1351,0.6794966691339749,-0.07050333086602512,REVIEW,0.10082088771845456,94.20584999999997,113.86950300806299
ca_condition_label,single_carrier,8692,0.7665669581224114,0.01656695812241138,OK,0.11174918549393063,18.367663999999998,23.327536670763436
sinr_bin,Excellent,11886,0.7482752818441865,-0.0017247181558135427,OK,0.09439421031605452,69.93437250000001,84.98454153547141
sinr_bin,Fair,11675,0.7643683083511777,0.01436830835117775,OK,0.12097505749351102,19.743495999999997,25.745553022467565
sinr_bin,Good,8209,0.7652576440492143,0.015257644049214258,OK,0.10638199052602433,41.721810000000005,51.55922729078981
sinr_bin,Poor,468,0.8247863247863247,0.07478632478632474,REVIEW,0.17718256832212148,4.480792,10.307052519960333
rsrp_bin,Excellent,10190,0.7512266928361139,0.001226692836113874,OK,0.10021679052334762,64.37445250000002,80.32313665598258
rsrp_bin,Fair,11336,0.7716125617501765,0.02161256175017645,OK,0.11613358869757683,20.507636499999997,26.447346100796675
rsrp_bin,Good,10502,0.7528089887640449,0.002808988764044895,OK,0.10616063800442174,46.010532999999995,57.41706016041748
rsrp_bin,Poor,210,0.8476190476190476,0.0976190476190476,REVIEW,0.18079097631034088,1.062284,4.456863601293579
serving_band,1.0,4970,0.7062374245472837,-0.043762575452716335,OK,0.11976561519851757,42.632755,52.197874049461305
serving_band,3.0,4086,0.7435144395496819,-0.0064855604503181175,OK,0.10847546522621575,36.205072,44.38015456229544
serving_band,28.0,1466,0.7585266030013642,0.008526603001364208,OK,0.13361788901419633,29.8652435,39.538329452285765
serving_band,41.0,21716,0.7748204089150856,0.024820408915085634,OK,0.10389643113420934,38.79119250000001,48.95618842111244
serving_earfcn,356.0,1272,0.684748427672956,-0.06525157232704404,REVIEW,0.15738134648037594,18.5945555,24.918824089302788
serving_earfcn,500.0,3698,0.7136289886425095,-0.036371011357490546,OK,0.10682694289172366,54.26190750000001,64.07460182106848
serving_earfcn,1850.0,4086,0.7435144395496819,-0.0064855604503181175,OK,0.10847546522621575,36.205072,44.38015456229544
serving_earfcn,9310.0,1466,0.7585266030013642,0.008526603001364208,OK,0.13361788901419633,29.8652435,39.538329452285765
serving_earfcn,40790.0,4680,0.7645299145299145,0.014529914529914478,OK,0.09923888600982674,46.257584,57.96462600225878
serving_earfcn,40988.0,4014,0.7872446437468859,0.03724464374688585,OK,0.1226978809334627,39.2779865,54.5656598142787
serving_earfcn,41186.0,4399,0.7654012275517162,0.015401227551716246,OK,0.1015584130801381,38.644062000000005,48.2510054120018
serving_earfcn,41384.0,8623,0.779427113533573,0.02942711353357297,OK,0.09886491462113581,35.011257,42.06033264850817
