incident_id,session_id,start_time,end_time,serving_cell_key,serving_pci,detection_case,priority_score_0_100,impact_score_0_100,detection_confidence_0_100,severity,requires_human_review
INC-000808,542020041221088+20250828124043+Fiji-Nadi-LTE-DL-D!20250828124009,2025-08-28 02:38:34+02:00,2025-08-28 02:38:36+02:00,ECI:3642943.0,313.0,ca_underperformance,97.71,96.06,99.73,High,False
INC-000343,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,2025-08-27 03:05:08+02:00,2025-08-27 03:05:08+02:00,ECI:1072704.0,395.0,ca_underperformance,97.68,98.09,97.17,Critical,False
INC-000670,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,2025-08-28 00:49:04+02:00,2025-08-28 00:49:04+02:00,ECI:1078590.0,163.0,ca_underperformance,96.95,94.46,100.0,Critical,False
INC-000351,542020041221088+20250827134247+Fiji-Nadi-LTE-DL-D!20250827130749,2025-08-27 03:06:58+02:00,2025-08-27 03:06:59+02:00,ECI:1072702.0,394.0,radio_limited_degradation,94.38,89.79,100.0,Critical,False
INC-000418,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,2025-08-27 03:41:27+02:00,2025-08-27 03:41:35+02:00,ECI:1069373.0,135.0,radio_limited_degradation,93.32,97.63,89.83,High,False
INC-000347,542020041221088+20250827134247+Fiji-Nadi-LTE-DL-D!20250827130749,2025-08-27 03:06:08+02:00,2025-08-27 03:06:10+02:00,ECI:1072702.0,394.0,radio_limited_degradation,92.0,94.74,88.66,Critical,False
INC-000898,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,2025-08-28 03:13:40+02:00,2025-08-28 03:13:40+02:00,ECI:3638848.0,254.0,temporal_local_drop,91.45,88.95,94.5,Critical,False
INC-000336,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,2025-08-27 03:04:10+02:00,2025-08-27 03:04:10+02:00,ECI:1065535.0,394.0,temporal_local_drop,90.72,91.4,89.89,Critical,False
INC-000931,542020041221088+20250828133556+Fiji-Nadi-LTE-DL-D!20250828132602,2025-08-28 03:24:27+02:00,2025-08-28 03:24:28+02:00,ECI:3638807.0,253.0,temporal_local_drop,89.06,86.52,95.19,High,False
INC-000243,542020041221088+20250827123738+Fiji-Nadi-LTE-DL-D!20250827115101,2025-08-27 01:49:05+02:00,2025-08-27 01:49:05+02:00,ECI:1066772.0,157.0,rb_conditioned_expected_underperformance,75.28,55.05,100.0,High,False
INC-000655,542020041221088+20250828104547+Fiji-Nadi-LTE-DL-D!20250828104505,2025-08-28 00:44:54+02:00,2025-08-28 00:44:54+02:00,ECI:3643082.0,312.0,temporal_sudden_drop,74.01,60.91,90.02,High,False
INC-000398,542020041221088+20250827135549+Fiji-Nadi-LTE-DL-D!20250827133724,2025-08-27 03:35:58+02:00,2025-08-27 03:35:59+02:00,ECI:1065524.0,361.0,temporal_sudden_drop,73.19,57.71,92.11,High,False
INC-001056,542020041221088+20250828144319+Fiji-Nadi-LTE-DL-D!20250828144243,2025-08-28 04:42:29+02:00,2025-08-28 04:42:29+02:00,ECI:1081652.0,356.0,rb_conditioned_expected_underperformance,72.18,69.8,75.1,High,False
INC-000306,542020041221088+20250827132825+Fiji-Nadi-LTE-DL-D!20250827122826,2025-08-27 02:27:40+02:00,2025-08-27 02:27:41+02:00,ECI:1064759.0,149.0,radio_condition_expected_underperformance,65.96,56.33,77.72,High,False
INC-000988,542020041221088+20250828140157+Fiji-Nadi-LTE-DL-D!20250828135953,2025-08-28 03:58:42+02:00,2025-08-28 03:58:43+02:00,ECI:1080085.0,196.0,radio_condition_expected_underperformance,62.04,61.69,63.85,Medium,False
