case,rank_in_case,source_index,priority,actual_tp,radio_p75_gap,rb_p75_gap,rolling_drop_gap,previous_sample_drop_gap
ca_underperformance,1,56065,97.71,2.275456,118.868004,102.22023399999999,79.961474,142.328674
ca_underperformance,2,41878,97.68,1.223552,110.57126925,108.167028,150.38763799999998,173.041158
radio_condition_expected_underperformance,1,40382,65.96,38.774494,82.368966,65.72119599999999,25.497915999999996,0.9360260000000054
radio_condition_expected_underperformance,2,40381,64.82,39.71052,81.43294,64.78517,24.56188999999999,5.738301999999997
radio_limited_degradation,1,41979,94.38,5.86572,113.1633225,102.35495225,87.492625,34.376104999999995
radio_limited_degradation,2,43618,93.32,1.115152,117.332638,18.177048000000003,134.514348,142.705498
rb_conditioned_expected_underperformance,1,50362,83.58,17.857063,100.590727,120.39923950000001,2.9638085000000025,
rb_conditioned_expected_underperformance,2,38223,75.28,69.44632,107.39948,147.78719999999998,57.40299,57.40299
rb_efficiency_underperformance,1,39530,63.26,0.644688,16.017576000000002,16.2111405,4.331335999999999,-0.14633600000000002
rb_efficiency_underperformance,2,39447,62.46,1.028504,15.63376,15.827324499999998,5.426356,0.37351199999999984
strict_ml_only_supervised_review,1,41374,57.82,30.009735,45.810695,50.0269125,22.770094999999998,15.68092
temporal_local_drop,1,45977,91.67,4.69228,130.87702,102.15730500000001,129.84647999999999,167.41546
temporal_local_drop,2,57991,91.45,0.933784,69.8150345,43.755101499999995,81.38394199999999,97.833486
temporal_sudden_drop,1,43491,77.17,39.13451,79.31327999999999,99.1217925,11.687946000000004,56.04983000000001
temporal_sudden_drop,2,44320,76.2,37.035686,66.698677,72.508069,0.0,110.66544400000001
