id,timestamp,id_route_test_label,id_test_type,Activity.DNS Resolution Time,Activity.Remote Address,Activity.Remote IPs,Activity.Source Ports,Activity.Sub Activity,Activity.TTFB,Activity.Error,Activity.Band,Activity.LCI,Activity.ARFCN,Activity.Private IP,Activity.Activity,Activity.Connection Reset,Activity.Duplicated ACK,Activity.Duration,Activity.End TimeStamp,Activity.Fast Retransmission,Activity.Out of Order,Activity.Packet Loss Rate,Activity.Power,Activity.Public IP,Activity.Quality,Activity.SINR,Activity.Size,Activity.Spurious Retransmission,Activity.Start TimeStamp,Activity.Status,Activity.TCP Window Update,Activity.Tech,Activity.Throughput,Activity.Throughput WIFI,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825121610+Fiji-Nadi-MO-D!20250825121533,2025-08-25 02:15:24+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,321.0,3166.4920812807773,10.39.241.237,MO Call,-1.9215400332969286e-10,2.470974395569421e-10,103650.34290571032,2025-08-25T02:15:24.901000+02:00,9.322124642613475e-10,-5.34942810447724e-10,1.1669290384592525e-09,-87.037729112073,82.132.246.198,-11.706504126265278,6.645258653853402,2950.132894705027,-1.8194886421936348e-09,2025-08-25T02:13:41.754000+02:00,Success,8.28524405266053e-10,HSPA+,-97.59904662467497,16.417620215085716,2025-08-25 02:13:41.754000+02:00,2025-08-25 02:15:24.901000+02:00
542020041221088+20250825122130+Fiji-Nadi-MO-D!20250825121929,2025-08-25 02:19:18+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,321.0,3271.3204139690015,10.49.17.239,MO Call,8.698535099062118e-10,5.900446896356545e-10,105006.55185625542,2025-08-25T02:19:18.333000+02:00,2.335128244082802e-09,1.2410938614927125e-09,-1.1630913307497986e-09,-85.50732997968373,82.132.212.215,-13.428408849188289,5.560405426315766,-2245.087607620914,1.7855732131838392e-09,2025-08-25T02:17:33.189000+02:00,Success,-1.419686046630253e-09,HSPA+,-13.324436828611312,1.2951062221616914,2025-08-25 02:17:33.189000+02:00,2025-08-25 02:19:18.333000+02:00
542020041221088+20250825122951+Fiji-Nadi-MO-D!20250825122134,2025-08-25 02:21:23+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,207.0,3188.733249567441,10.29.21.111,MO Call,5.294942111068478e-10,-4.402559711463243e-10,104213.59662119384,2025-08-25T02:21:23.646000+02:00,3.328221940213495e-11,-1.1026725633851991e-09,-2.582698248985284e-10,-79.5615228913959,82.132.233.116,-9.21262286406677,8.563521182633494,-7305.37139011458,-1.3421498067531e-09,2025-08-25T02:19:38.479000+02:00,Success,2.3997605346234897e-09,HSPA+,66.0837961180796,39.24958983576041,2025-08-25 02:19:38.479000+02:00,2025-08-25 02:21:23.646000+02:00
542020041221088+20250825123812+Fiji-Nadi-MO-D!20250825122338,2025-08-25 02:23:26+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,168.0,2862.2636883172427,10.29.25.251,MO Call,1.0375945010393484e-09,-5.364872328895752e-10,103557.38429127357,2025-08-25T02:23:26.999000+02:00,-1.2017032233456455e-10,3.5408903821728684e-10,2.954673843087012e-10,-66.76248966676707,82.132.228.223,-8.18016034195169,11.950171280674287,5974.482541623864,6.429976688186288e-10,2025-08-25T02:21:43.859000+02:00,Success,-2.0848492797568302e-10,HSPA+,116.11897661035215,8.077748001448601,2025-08-25 02:21:43.859000+02:00,2025-08-25 02:23:26.999000+02:00
542020041221088+20250825124252+Fiji-Nadi-MO-D!20250825122542,2025-08-25 02:25:31+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,2896.926889376203,10.49.38.44,MO Call,-5.55444928675161e-10,1.2103495061495265e-09,103062.91117858002,2025-08-25T02:25:31.151000+02:00,5.121814153130074e-10,1.2634847676048288e-10,-1.9455976352303784e-09,-67.02669732146367,82.132.223.12,-7.900152766547287,6.616308177564102,-47.0308442311258,4.4695451536890254e-10,2025-08-25T02:23:47.011000+02:00,Success,-8.624345683486446e-11,HSPA+,73.36185592808876,-18.62484489068393,2025-08-25 02:23:47.011000+02:00,2025-08-25 02:25:31.151000+02:00
542020041221088+20250825124333+Fiji-Nadi-MO-D!20250825122745,2025-08-25 02:27:34+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3024.114030320859,10.49.42.86,MO Call,-2.4549667119438363e-09,5.103085428871297e-10,102070.30820916197,2025-08-25T02:27:34.200000+02:00,2.403538209275581e-12,1.5995800088847134e-09,2.0458334428332233e-10,-72.74643912047735,82.132.236.54,-10.496903851669781,14.21173451563912,-1486.5802892718416,8.199578476829102e-10,2025-08-25T02:25:51.028000+02:00,Success,9.047182751717831e-10,HSPA,-32.86273741453694,-12.329659752661264,2025-08-25 02:25:51.028000+02:00,2025-08-25 02:27:34.200000+02:00
542020041221088+20250825124413+Fiji-Nadi-MO-D!20250825122953,2025-08-25 02:29:42+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3261.599488515478,10.49.46.158,MO Call,1.2942880406553242e-09,-1.675408612589872e-09,108074.23566201146,2025-08-25T02:29:42.429000+02:00,4.813964182797871e-11,5.023912248325701e-10,-2.082572236910827e-09,-86.96456700789099,82.132.229.162,-12.606172714101126,10.38962583776725,5891.4778645293445,-7.470979587758561e-10,2025-08-25T02:27:54.277000+02:00,Success,4.3512423772865516e-10,HSPA,7.917797664195334,-28.794264401026997,2025-08-25 02:27:54.277000+02:00,2025-08-25 02:29:42.429000+02:00
542020041221088+20250825124814+Fiji-Nadi-MO-D!20250825123159,2025-08-25 02:31:48+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3035.4906130256704,10.49.50.198,MO Call,-5.801779484622399e-10,1.6149691109443466e-09,104871.01079901643,2025-08-25T02:31:48.137000+02:00,1.872873913370735e-10,8.75598194423084e-10,-1.1974228600879185e-10,-86.0579294615537,197.231.207.229,-9.688880741613723,8.195315550223297,2269.852296335288,1.5361947176900494e-10,2025-08-25T02:30:03.005000+02:00,Success,9.699973657973348e-10,HSPA,100.74930965862968,-7.230667421379533,2025-08-25 02:30:03.005000+02:00,2025-08-25 02:31:48.137000+02:00
542020041221088+20250825125635+Fiji-Nadi-MO-D!20250825123404,2025-08-25 02:33:53+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,211.0,3172.337913473198,10.29.47.163,MO Call,-1.1486302771468469e-09,-1.1646558795043778e-09,104933.75810251501,2025-08-25T02:33:53.748000+02:00,-3.6973433723662974e-10,4.5047033901641247e-10,-3.338549029000958e-10,-65.89378402104856,156.175.7.142,-10.438976588990666,13.450646947616299,2372.2666902409487,-1.1691497516052792e-09,2025-08-25T02:32:08.602000+02:00,Success,-2.858946013135279e-09,HSPA,129.74939777729168,93.85298882259967,2025-08-25 02:32:08.602000+02:00,2025-08-25 02:33:53.748000+02:00
542020041221088+20250825133001+Fiji-Nadi-MO-D!20250825123609,2025-08-25 02:35:58+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,410.0,3624.519226364513,10.59.218.44,MO Call,1.2110938232611396e-09,4.39661151323262e-10,103436.07208641319,2025-08-25T02:35:58.764000+02:00,1.191024047721518e-09,-7.483060095711472e-10,1.6082422703521885e-09,-77.84610331281402,82.132.233.116,-10.221889668419085,12.168735637751821,6060.373700659222,9.979162320839603e-10,2025-08-25T02:34:15.616000+02:00,Success,4.716938470163869e-11,HSPA,-56.339508399942304,-58.492221107972206,2025-08-25 02:34:15.616000+02:00,2025-08-25 02:35:58.764000+02:00
