dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values,is_protected,remove_reason
drive_raw,Activity.DNS Resolution Time,Activity,float64,2,32472,99.994,2,100.0,"['117.77252289096776', '702.2598539449112']",117.77252289096776,702.2598539449112,410.0161884179395,413.29495530586996,,True,
drive_raw,Activity.Remote Address,Activity,object,2,32472,99.994,2,100.0,"['syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)', 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.5)']",,,,,"{'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)': 1, 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.5)': 1}",True,
drive_raw,Activity.Remote IPs,Activity,object,2,32472,99.994,2,100.0,"['syd.download.datapacket.com/143.244.62.9', 'syd.download.datapacket.com/143.244.62.9$$$$syd.download.datapacket.com/143.244.62.5']",,,,,"{'syd.download.datapacket.com/143.244.62.9': 1, 'syd.download.datapacket.com/143.244.62.9$$$$syd.download.datapacket.com/143.244.62.5': 1}",True,
drive_raw,Activity.Source Ports,Activity,object,2,32472,99.994,2,100.0,"['44460$$$$44464$$$$44470$$$$44262$$$$44274$$$$44284', '41372$$$$44640$$$$37408$$$$41804$$$$41818$$$$48212$$$$47388']",,,,,"{'44460$$$$44464$$$$44470$$$$44262$$$$44274$$$$44284': 1, '41372$$$$44640$$$$37408$$$$41804$$$$41818$$$$48212$$$$47388': 1}",True,
drive_raw,Activity.Sub Activity,Activity,object,2,32472,99.994,1,50.0,"['https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin']",,,,,{'https://syd.download.datapacket.com/10000mb.bin': 2},True,
drive_raw,Activity.TTFB,Activity,float64,2,32472,99.994,2,100.0,"['2007.66450087456', '10327.808959314789']",2007.66450087456,10327.808959314789,6167.736730094674,5883.230567014761,,True,
drive_raw,Activity.Error,Activity,object,23,32451,99.929,3,13.043,"['Call Block', 'Call Block', 'Call Block', 'Call Block', 'Call Block']",,,,,"{'Call Block': 20, 'Timeout': 2, 'Call Drop': 1}",True,
drive_raw,Throughput.HTTP_DL,Throughput,float64,185,32289,99.43,185,100.0,"['21.477179564202704', '22.576890766738636', '30.288802086945985', '28.401287672773872', '8.335631694605818']",-1.1626967741812537,115.63854394069958,30.991498087664553,17.99350095501933,,True,
drive_raw,Throughput.Physical_DL,Throughput,float64,185,32289,99.43,185,100.0,"['24.242401312003576', '26.339817839651463', '32.91918190153225', '31.206718139848036', '9.164465491091606']",-2.772817947139396,124.37755991867705,34.717038698289706,20.52917156056123,,True,
drive_raw,Activity.Band,Activity,object,239,32235,99.264,6,2.51,"['8.0', '8.0', '8.0', '8.0', '8.0']",,,,,"{'8.0': 220, '41.0': 8, '8': 6, '-': 2, '1.0': 2}",True,
