file,folder,size,path
activity_table.csv,01_preprocessing_cleaning,164.53 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/activity_table.csv
activity_type_summary.csv,01_preprocessing_cleaning,51.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/activity_type_summary.csv
canonical_column_mapping.csv,01_preprocessing_cleaning,1.58 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/canonical_column_mapping.csv
cleaned_throughput_data_dictionary.csv,01_preprocessing_cleaning,74.22 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/cleaned_throughput_data_dictionary.csv
cleaning_summary.csv,01_preprocessing_cleaning,172.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/cleaning_summary.csv
column_family_summary_after_cleaning.csv,01_preprocessing_cleaning,1.14 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/column_family_summary_after_cleaning.csv
column_family_summary_before_cleaning.csv,01_preprocessing_cleaning,719.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/column_family_summary_before_cleaning.csv
download_activity_intervals_used.csv,01_preprocessing_cleaning,695.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/download_activity_intervals_used.csv
download_activity_window_summary.csv,01_preprocessing_cleaning,165.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/download_activity_window_summary.csv
drive_clean_throughput_base.csv.gz,01_preprocessing_cleaning,21.76 MB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/drive_clean_throughput_base.csv.gz
event_feature_causality_audit.csv,01_preprocessing_cleaning,2.31 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/event_feature_causality_audit.csv
event_summary_Events_Tech.csv,01_preprocessing_cleaning,57.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/event_summary_Events_Tech.csv
event_summary_Events_category.csv,01_preprocessing_cleaning,67.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/event_summary_Events_category.csv
event_summary_Events_subject.csv,01_preprocessing_cleaning,171.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/event_summary_Events_subject.csv
event_summary_Events_titles.csv,01_preprocessing_cleaning,2.62 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/event_summary_Events_titles.csv
event_summary_event_family.csv,01_preprocessing_cleaning,194.00 B,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/event_summary_event_family.csv
events_long.csv,01_preprocessing_cleaning,12.66 MB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/events_long.csv
kept_columns_after_cleaning.csv,01_preprocessing_cleaning,65.87 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/kept_columns_after_cleaning.csv
lte_dl_feature_table_clean_pre_anomaly.parquet,01_preprocessing_cleaning,696.34 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/lte_dl_feature_table_clean_pre_anomaly.parquet
lte_dl_modeling_table.parquet,01_preprocessing_cleaning,696.34 KB,/data/outputs/session_09e2082f46c3/01_preprocessing_cleaning/lte_dl_modeling_table.parquet
