ca_condition_label,carrier_count,rows,mean,p10,p25,median,p75,p90,pct_below_10
unknown_carrier_count,0.9148023980813499,1,43.315,43.315,43.315,43.315,43.315,43.315,0.0
unknown_carrier_count,0.9148038795677933,1,30.082,30.082,30.082,30.082,30.082,30.082,0.0
unknown_carrier_count,0.9415627370442237,1,25.661,25.661,25.661,25.661,25.661,25.661,0.0
unknown_carrier_count,0.9428785908815744,1,32.686,32.686,32.686,32.686,32.686,32.686,0.0
unknown_carrier_count,0.9435805642913772,1,2.021,2.021,2.021,2.021,2.021,2.021,100.0
unknown_carrier_count,0.9441384322860041,1,32.482,32.482,32.482,32.482,32.482,32.482,0.0
unknown_carrier_count,0.9443189334607148,1,31.421,31.421,31.421,31.421,31.421,31.421,0.0
unknown_carrier_count,0.9444418214659865,1,18.61,18.61,18.61,18.61,18.61,18.61,0.0
unknown_carrier_count,0.9445968635758113,1,23.03,23.03,23.03,23.03,23.03,23.03,0.0
unknown_carrier_count,0.9446205964236098,1,48.015,48.015,48.015,48.015,48.015,48.015,0.0
unknown_carrier_count,0.9453916399633854,1,26.839,26.839,26.839,26.839,26.839,26.839,0.0
unknown_carrier_count,0.9462998955500775,1,25.661,25.661,25.661,25.661,25.661,25.661,0.0
unknown_carrier_count,0.9499525463651327,1,40.68,40.68,40.68,40.68,40.68,40.68,0.0
unknown_carrier_count,0.9500529300164694,1,31.132,31.132,31.132,31.132,31.132,31.132,0.0
unknown_carrier_count,0.9502107372396372,1,33.283,33.283,33.283,33.283,33.283,33.283,0.0
unknown_carrier_count,0.9511321023947963,1,24.698,24.698,24.698,24.698,24.698,24.698,0.0
unknown_carrier_count,0.9538641932123437,1,29.593,29.593,29.593,29.593,29.593,29.593,0.0
unknown_carrier_count,0.955656351798213,1,29.311,29.311,29.311,29.311,29.311,29.311,0.0
unknown_carrier_count,0.9575484132772568,1,35.998,35.998,35.998,35.998,35.998,35.998,0.0
unknown_carrier_count,0.9597928790748378,1,53.383,53.383,53.383,53.383,53.383,53.383,0.0
unknown_carrier_count,0.9605417833638138,1,81.944,81.944,81.944,81.944,81.944,81.944,0.0
unknown_carrier_count,0.9610260821412347,1,42.53,42.53,42.53,42.53,42.53,42.53,0.0
unknown_carrier_count,0.9620967702730798,1,38.725,38.725,38.725,38.725,38.725,38.725,0.0
unknown_carrier_count,0.9625626880973255,1,26.025,26.025,26.025,26.025,26.025,26.025,0.0
unknown_carrier_count,0.9632301210861206,1,33.699,33.699,33.699,33.699,33.699,33.699,0.0
unknown_carrier_count,0.9632630826496759,1,33.65,33.65,33.65,33.65,33.65,33.65,0.0
unknown_carrier_count,0.9640516743892191,1,38.761,38.761,38.761,38.761,38.761,38.761,0.0
unknown_carrier_count,0.9647066465451619,1,35.657,35.657,35.657,35.657,35.657,35.657,0.0
unknown_carrier_count,0.9653095250053317,1,30.116,30.116,30.116,30.116,30.116,30.116,0.0
unknown_carrier_count,0.9653936142469132,1,15.862,15.862,15.862,15.862,15.862,15.862,0.0
unknown_carrier_count,0.9654398100477595,1,30.137,30.137,30.137,30.137,30.137,30.137,0.0
unknown_carrier_count,0.9658025313911985,1,37.14,37.14,37.14,37.14,37.14,37.14,0.0
unknown_carrier_count,0.966167169724162,1,41.634,41.634,41.634,41.634,41.634,41.634,0.0
unknown_carrier_count,0.9670789262001093,1,29.042,29.042,29.042,29.042,29.042,29.042,0.0
unknown_carrier_count,0.9672761784452939,1,33.409,33.409,33.409,33.409,33.409,33.409,0.0
unknown_carrier_count,0.969362482935945,1,32.258,32.258,32.258,32.258,32.258,32.258,0.0
unknown_carrier_count,0.9704192801821939,1,24.224,24.224,24.224,24.224,24.224,24.224,0.0
unknown_carrier_count,0.9711730984744252,1,32.075,32.075,32.075,32.075,32.075,32.075,0.0
unknown_carrier_count,0.971533042379093,1,70.206,70.206,70.206,70.206,70.206,70.206,0.0
unknown_carrier_count,0.9716197034353912,1,48.572,48.572,48.572,48.572,48.572,48.572,0.0
unknown_carrier_count,0.9728136077072652,1,24.605,24.605,24.605,24.605,24.605,24.605,0.0
unknown_carrier_count,0.9728251648751026,1,17.213,17.213,17.213,17.213,17.213,17.213,0.0
unknown_carrier_count,0.9730041267368199,1,30.477,30.477,30.477,30.477,30.477,30.477,0.0
unknown_carrier_count,0.9730905516571884,1,29.189,29.189,29.189,29.189,29.189,29.189,0.0
unknown_carrier_count,0.9733378687263818,1,51.035,51.035,51.035,51.035,51.035,51.035,0.0
unknown_carrier_count,0.9737634586570659,1,20.667,20.667,20.667,20.667,20.667,20.667,0.0
unknown_carrier_count,0.9741750468336393,1,25.298,25.298,25.298,25.298,25.298,25.298,0.0
unknown_carrier_count,0.9742134891827872,1,27.532,27.532,27.532,27.532,27.532,27.532,0.0
unknown_carrier_count,0.9747661299560418,1,28.45,28.45,28.45,28.45,28.45,28.45,0.0
unknown_carrier_count,0.9748445691148788,1,42.179,42.179,42.179,42.179,42.179,42.179,0.0
unknown_carrier_count,0.9749750923247413,1,44.973,44.973,44.973,44.973,44.973,44.973,0.0
unknown_carrier_count,0.9758602081592146,1,33.033,33.033,33.033,33.033,33.033,33.033,0.0
unknown_carrier_count,0.9763102322566398,1,80.63,80.63,80.63,80.63,80.63,80.63,0.0
unknown_carrier_count,0.9778745454179237,1,31.117,31.117,31.117,31.117,31.117,31.117,0.0
unknown_carrier_count,0.9779186573014685,1,22.205,22.205,22.205,22.205,22.205,22.205,0.0
unknown_carrier_count,0.9785933471879122,1,50.602,50.602,50.602,50.602,50.602,50.602,0.0
unknown_carrier_count,0.9790503539144526,1,30.587,30.587,30.587,30.587,30.587,30.587,0.0
unknown_carrier_count,0.979422608562888,1,38.891,38.891,38.891,38.891,38.891,38.891,0.0
unknown_carrier_count,0.9795522773389569,1,4.506,4.506,4.506,4.506,4.506,4.506,100.0
