independent_trigger_count,context_flag_count,rows,anomaly_rows,mean_score,median_score,median_tp
0,0,274,0,0.0,0.0,41.346
0,1,64,0,0.0,0.0,26.74
0,2,5,0,0.0,0.0,20.357
1,0,4,4,53.5,54.0,37.773
1,1,12,12,51.175,50.0,24.268
1,2,10,10,39.89,29.65,16.333
1,3,4,4,56.75,59.0,19.56
1,4,5,5,37.9,41.0,0.688
1,5,2,2,41.35,41.35,1.382
2,2,3,3,58.7,54.5,13.133
2,3,3,3,60.833,60.5,15.352
2,4,5,5,76.86,75.8,3.236
2,5,8,8,77.762,84.7,4.159
2,6,4,4,84.0,85.35,2.798
3,3,4,4,76.75,76.45,12.472
4,3,5,5,89.14,89.9,4.588
