anomaly_type,anomaly_severity,anomalies,episodes,mean_score,mean_actual_tp,mean_expected_tp,mean_expected_radio_p75,mean_expected_rb_conditioned_p75,mean_rb_usage,mean_throughput_per_rb,mean_gap
sudden_drop,Medium,20,20,52.54,25.25,53.571,53.571,44.819,102.847,0.286,28.321
sudden_drop,High,8,8,81.4,5.947,68.18,68.18,46.973,63.122,0.309,62.233
radio_limited_degradation,High,6,6,86.317,1.744,52.872,52.872,34.889,32.005,-1.58,51.127
ca_underperformance,High,6,5,82.25,8.867,70.214,70.214,67.592,147.052,0.066,61.347
rb_conditioned_underperformance,High,4,4,65.8,21.16,74.089,74.089,78.631,167.902,0.126,52.929
rolling_local_drop,High,3,3,66.733,7.939,51.074,51.074,39.234,90.038,0.083,43.135
radio_limited_degradation,Medium,2,2,56.5,12.99,36.313,36.313,24.64,74.036,0.176,23.323
rolling_local_drop,Medium,2,2,52.25,19.054,36.743,36.743,26.921,62.886,0.313,17.689
rb_efficiency_underperformance,Critical,1,1,93.6,1.4,62.465,62.465,68.421,106.09,0.013,61.065
rb_efficiency_underperformance,High,1,1,89.9,1.782,36.313,36.313,46.701,94.202,0.019,34.531
radio_p75_underperformance,High,1,1,60.5,18.387,62.465,62.465,68.421,131.332,0.14,44.078
radio_p75_underperformance,Medium,1,1,57.0,18.278,62.465,62.465,68.421,160.281,0.114,44.187
