sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Fair,Fair,1.0,,,36.31305223888564,27.581263417872492,27.623484101450835,144,31.585509980216504,38.73488577855031,7.1493757983338035,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,2.0,,,62.464923791031794,47.355932078204546,44.953565029770644,80,55.008776699597014,66.51022794102303,11.501451241426018,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected",all_valid_lte_dl_rows,radio_condition
Good,Fair,1.0,,,36.006173492679416,31.49542114679928,31.74632584520256,81,34.90546168328142,40.05773955709195,5.152277873810526,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected",all_valid_lte_dl_rows,radio_condition
Excellent,Fair,2.0,,,108.96080341052915,84.97841003208428,85.36901726324885,41,92.88179807140473,116.91703868691584,24.035240615511114,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,,1.0,,,36.31305223888564,27.581263417872492,27.623484101450835,144,31.585509980216504,38.73488577855031,7.1493757983338035,4,"sinr_bin_for_expected,carrier_count_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,,2.0,,,62.464923791031794,47.355932078204546,44.953565029770644,80,55.008776699597014,66.51022794102303,11.501451241426018,4,"sinr_bin_for_expected,carrier_count_for_expected",all_valid_lte_dl_rows,radio_condition
Good,,1.0,,,36.006173492679416,31.49542114679928,31.74632584520256,81,34.90546168328142,40.05773955709195,5.152277873810526,4,"sinr_bin_for_expected,carrier_count_for_expected",all_valid_lte_dl_rows,radio_condition
Excellent,,2.0,,,106.14538642026594,81.99920472972339,79.37427455959032,62,89.82343575231165,116.1571797008633,26.333743948551643,4,"sinr_bin_for_expected,carrier_count_for_expected",all_valid_lte_dl_rows,radio_condition
,,1.0,,,37.172646518569856,29.752559474677778,30.628731383929466,248,35.14192852037574,40.13288049740045,4.990951977024707,5,carrier_count_for_expected,all_valid_lte_dl_rows,radio_condition
,,2.0,,,80.5955273998368,54.70803034586084,57.18430766747529,164,70.30285897438168,87.54117730129303,17.238318326911354,5,carrier_count_for_expected,all_valid_lte_dl_rows,radio_condition
,,,,,50.82461320786116,33.45355957353044,41.1993976715545,412,46.68729935864987,57.978478039948165,11.291178681298298,6,GLOBAL,all_valid_lte_dl_rows,radio_condition
