sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Fair,Fair,1.0,,,below_median_rb_usage,36.44880219414222,29.97154901132436,31.15644610519688,60,34.41725265071216,39.0805307843546,4.663278133642443,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,1.0,,,low_rb_usage,24.63994399743227,18.285247432319515,18.144884281531116,52,20.515628463924894,26.918551454805066,6.402922990880171,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,1.0,,,medium_rb_usage,46.70130864847751,37.615409060540166,36.40190505179654,32,40.92621743532434,50.344876725566934,9.418659290242594,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,,,high_rb_usage,65.93225724254272,53.929873792186136,53.27318508977051,57,60.99254231210596,69.40482028977027,8.41227797766431,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Good,Fair,1.0,,,below_median_rb_usage,39.81123032404463,32.984344141313485,34.739027348545285,36,33.73914106300705,43.35614748375712,9.617006420750073,3,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,,1.0,,,below_median_rb_usage,36.44880219414222,29.97154901132436,31.15644610519688,60,34.41725265071216,39.0805307843546,4.663278133642443,4,"sinr_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,,1.0,,,low_rb_usage,24.63994399743227,18.285247432319515,18.144884281531116,52,20.515628463924894,26.918551454805066,6.402922990880171,4,"sinr_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,,1.0,,,medium_rb_usage,46.70130864847751,37.615409060540166,36.40190505179654,32,40.92621743532434,50.344876725566934,9.418659290242594,4,"sinr_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,,2.0,,,high_rb_usage,65.93225724254272,53.929873792186136,53.27318508977051,57,60.99254231210596,69.40482028977027,8.41227797766431,4,"sinr_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Good,,1.0,,,below_median_rb_usage,39.81123032404463,32.984344141313485,34.739027348545285,36,33.73914106300705,43.35614748375712,9.617006420750073,4,"sinr_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Excellent,,2.0,,,high_rb_usage,116.7270739404027,96.52552342737675,97.28685117395669,34,106.74701614855988,122.00259451982203,15.255578371262146,4,"sinr_bin_for_expected,carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
,,1.0,,,below_median_rb_usage,39.88847769193589,32.09035428275875,34.37943771198986,103,36.41765411496549,41.89481076792037,5.477156652954882,5,"carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
,,1.0,,,low_rb_usage,29.201226340433465,23.434020412408767,23.498425915014582,95,27.436165199145872,31.81367095125307,4.377505752107197,5,"carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
,,1.0,,,medium_rb_usage,42.89591124628086,36.23784997413348,36.44985673906333,50,40.38079792223362,48.2591836615313,7.878385739297684,5,"carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
,,2.0,,,high_rb_usage,89.44143203969942,63.60017680629332,66.826962669466,103,82.22692533926308,105.9670393443349,23.74011400507183,5,"carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
,,2.0,,,medium_rb_usage,68.42137275067724,39.738991335085295,46.34796696735025,53,55.48631239416858,73.9359125140991,18.449600119930523,5,"carrier_count_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
,,,,,,50.82461320786116,33.45355957353044,41.1993976715545,412,46.68729935864987,57.978478039948165,11.291178681298298,6,GLOBAL,all_valid_lte_dl_rows,rb_conditioned
