column,feature_type
session_elapsed_seconds,numeric
speed,numeric
location_accuracy,numeric
altitude,numeric
distance_from_prev_m,numeric
lte_rsrp,numeric
lte_rsrq,numeric
lte_sinr,numeric
lte_rssi,numeric
carrier_count,numeric
lte_agg_bandwidth_dl,numeric
lte_bandwidth_dl,numeric
scell1_rsrp,numeric
scell1_rsrq,numeric
scell1_sinr,numeric
download_activity_window_raw_flag,numeric
download_analysis_window_flag,numeric
inactive_download_context_flag,numeric
serving_earfcn,categorical
serving_band,categorical
download_context_label,categorical
serving_pci,categorical
serving_eci,categorical
