view,column,kept_for_ml,reason,dtype,non_null_pct,unique_values
capability_pure,ml_hour_sin,False,constant or single-value feature,float64,100.0,1
capability_pure,ml_hour_cos,False,constant or single-value feature,float64,100.0,1
capability_pure,session_elapsed_seconds,True,kept,float64,100.0,124
capability_pure,speed,True,kept,float64,100.0,412
capability_pure,location_accuracy,True,kept,float64,100.0,412
capability_pure,altitude,True,kept,float64,100.0,412
capability_pure,distance_from_prev_m,True,kept,float64,99.27184466019418,409
capability_pure,lte_rsrp,True,kept,float64,100.0,412
capability_pure,lte_rsrq,True,kept,float64,100.0,412
capability_pure,lte_sinr,True,kept,float64,100.0,412
capability_pure,lte_rssi,True,kept,float64,100.0,412
capability_pure,carrier_count,True,kept,float64,100.0,412
capability_pure,lte_agg_bandwidth_dl,True,kept,float64,100.0,412
capability_pure,lte_bandwidth_dl,True,kept,float64,100.0,412
capability_pure,scell1_rsrp,True,kept,float64,38.83495145631068,160
capability_pure,scell1_rsrq,True,kept,float64,38.83495145631068,160
capability_pure,scell1_sinr,True,kept,float64,38.83495145631068,160
capability_pure,neighbor_count,False,constant or single-value feature,int64,100.0,1
capability_pure,best_neighbor_rsrp,False,constant or single-value feature,float64,0.0,0
capability_pure,strong_neighbor_count,False,constant or single-value feature,int64,100.0,1
capability_pure,serving_minus_best_neighbor_rsrp,False,constant or single-value feature,float64,0.0,0
capability_pure,neighbor_pci_count,False,constant or single-value feature,int64,100.0,1
capability_pure,ca_active_flag,False,missing,missing,,0
capability_pure,serving_earfcn,True,kept,float64,100.0,412
capability_pure,serving_band,True,kept,float64,100.0,412
capability_pure,id_test_type,False,constant or single-value feature,str,100.0,1
capability_pure,ca_condition_label,False,constant or single-value feature,str,100.0,1
capability,ml_hour_sin,False,constant or single-value feature,float64,100.0,1
capability,ml_hour_cos,False,constant or single-value feature,float64,100.0,1
capability,session_elapsed_seconds,True,kept,float64,100.0,124
capability,speed,True,kept,float64,100.0,412
capability,location_accuracy,True,kept,float64,100.0,412
capability,altitude,True,kept,float64,100.0,412
capability,distance_from_prev_m,True,kept,float64,99.27184466019418,409
capability,lte_rsrp,True,kept,float64,100.0,412
