column,dtype,used_by_any_model,models_using_column,decision,exclusion_reason,target_or_post_anomaly_pattern_flag,non_null_pct,unique_values
source_index,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
Activity.DNS Resolution Time,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Remote Address,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.48543689320388345,2
Activity.Remote IPs,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.48543689320388345,2
Activity.Source Ports,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.48543689320388345,2
Activity.Sub Activity,str,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,1
Activity.TTFB,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Error,str,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,1
Throughput.HTTP_DL,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,43.932038834951456,181
Throughput.Physical_DL,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,43.932038834951456,181
Activity.Band,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,1
Extra_KPIs.Attach Delay,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
LTE - SecondaryCell 1 - SCell1_EARFCN_UL,float64,False,,NOT_USED,not selected for any model objective,False,4.368932038834951,18
Activity.LCI,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.ARFCN,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Private IP,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.48543689320388345,1
Activity.Activity,str,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,1
Activity.Connection Reset,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Duplicated ACK,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Duration,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.End TimeStamp,str,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Fast Retransmission,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Out of Order,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Packet Loss Rate,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Power,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Public IP,str,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.48543689320388345,2
Activity.Quality,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.SINR,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Size,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Spurious Retransmission,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Start TimeStamp,str,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Status,str,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,1
Activity.TCP Window Update,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
Activity.Tech,str,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,1
Activity.Throughput,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.48543689320388345,2
Activity.Throughput WIFI,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,0.48543689320388345,2
