incident_id,session_id,start_time,end_time,serving_cell_key,serving_pci,detection_case,priority_score_0_100,impact_score_0_100,detection_confidence_0_100,severity,requires_human_review
INC-000001,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,2025-08-26 23:39:20+02:00,2025-08-26 23:39:21+02:00,ECI:1053537.6153115241,144.4246165279139,ca_underperformance,84.7,72.18,100.0,High,False
INC-000002,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:39:49+02:00,2025-08-26 23:39:50+02:00,EARFCN:40279.69684862522|PCI:289.9762236884399,289.9762236884399,ca_underperformance,85.33,77.61,94.76,High,False
INC-000003,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:40:00+02:00,2025-08-26 23:40:01+02:00,ECI:1042261.1911727148,276.456382851785,radio_limited_degradation,63.94,53.53,77.82,Medium,False
INC-000004,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:41:14+02:00,2025-08-26 23:41:14+02:00,ECI:1023639.2302296424,287.37994585447046,radio_limited_degradation,68.03,68.81,67.08,High,False
INC-000005,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:41:36+02:00,2025-08-26 23:41:36+02:00,ECI:1077615.6245422184,298.6086892967707,radio_limited_degradation,75.68,77.39,73.6,High,False
INC-000006,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:42:12+02:00,2025-08-26 23:42:12+02:00,ECI:1020731.1165892214,147.71974955627473,ca_underperformance,83.02,78.92,88.02,High,False
INC-000007,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:04+02:00,2025-08-26 23:43:04+02:00,ECI:1039259.6948490589,134.91628957100428,radio_limited_degradation,85.91,87.47,84.0,High,False
INC-000008,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:37+02:00,2025-08-26 23:43:37+02:00,ECI:1093924.7059057483,144.86572344692485,temporal_local_drop,72.63,73.15,72.0,High,False
INC-000009,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:52+02:00,2025-08-26 23:43:52+02:00,ECI:1058218.271904283,150.50945868626354,temporal_local_drop,74.12,72.28,76.38,High,False
INC-000010,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,2025-08-26 23:45:35+02:00,2025-08-26 23:45:35+02:00,ECI:1051903.8411665668,149.61112979929803,radio_limited_degradation,81.5,87.97,73.6,High,False
INC-000011,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,2025-08-26 23:45:43+02:00,2025-08-26 23:45:43+02:00,ECI:1108285.8257202513,140.62933831547522,temporal_local_drop,87.46,88.59,86.08,High,False
INC-000012,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,2025-08-26 23:45:52+02:00,2025-08-26 23:45:52+02:00,ECI:1121398.265881492,147.19439294927932,ca_underperformance,89.72,81.3,100.0,High,False
