sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Poor,Poor,1.0,41,41186,0.507204,0.16704799,1.0461021932258066,31,0.2890116,5.383144,5.0941323999999994,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Poor,Fair,2.0,1,500,23.14072375,10.638364,14.088347933333333,30,12.55037,26.00720925,13.45683925,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Poor,Fair,2.0,28,9310,6.928136,4.12216,6.301696971428571,49,4.922038005,11.692112,6.770073995,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Poor,Fair,2.0,3,1850,6.7064520000000005,5.129944,5.7450699935483875,31,5.543866,10.170937899999988,4.627071899999987,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,1.0,1,356,8.512372,4.6615079999999995,6.820170175,96,6.67672055,12.225889287499998,5.549168737499998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,1.0,1,500,21.385519,12.139888,14.897735776824033,233,19.242489,23.902872,4.6603829999999995,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,1.0,28,9310,8.516048000000001,5.951704,6.403484900502513,199,7.683304,9.7290856,2.0457815999999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,1.0,3,1850,21.671864,11.546192,14.037678094891422,373,19.204876825,22.926286799999996,3.7214099749999967,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,1.0,41,40790,20.831156999999997,12.408804,14.776105280149304,576,19.779793375,22.731123224999997,2.951329849999997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,1.0,41,40988,15.09808,8.2288475,10.971113749812734,267,13.05224095625,17.123251,4.07101004375,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,1.0,41,41186,22.690904000000003,12.634675999999999,14.578647680787038,432,20.25498705,24.15094050625,3.8959534562499982,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,1.0,41,41384,17.822172000000002,10.931336,12.501800252899224,903,16.8259899,19.1441138,2.3181239,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,2.0,1,356,18.13893575,9.145436,14.246840813207548,212,16.59318995,20.469021174999998,3.875831224999999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,2.0,1,500,43.970293999999996,21.5038835,27.602755251639344,488,39.906191856250004,46.7648171875,6.858625331249996,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
